😀	osinekile, ubuso obusinekile
🏄‍♂	indoda, indoda edlala isurfing, isurfing
🏄🏻‍♂	indoda, indoda edlala isurfing, indoda edlala isurfing: uhlobo-1-2, isurfing, uhlobo-1-2
🏄🏼‍♂	indoda, indoda edlala isurfing, indoda edlala isurfing: uhlobo-3, isurfing, uhlobo-3
🏄🏽‍♂	indoda, indoda edlala isurfing, indoda edlala isurfing: uhlobo-4, isurfing, uhlobo-4
🏄🏾‍♂	indoda, indoda edlala isurfing, indoda edlala isurfing: uhlobo-5, isurfing, uhlobo-5
🏄🏿‍♂	indoda, indoda edlala isurfing, indoda edlala isurfing: uhlobo-6, isurfing, uhlobo-6
🏄‍♀	isurfing, owesimame, owesimame odlala isurfing
🏄🏻‍♀	isurfing, owesimame, owesimame odlala isurfing, owesimame odlala isurfing: uhlobo-1-2, uhlobo-1-2
🏄🏼‍♀	isurfing, owesimame, owesimame odlala isurfing, owesimame odlala isurfing: uhlobo-3, uhlobo-3
🏄🏽‍♀	isurfing, owesimame, owesimame odlala isurfing, owesimame odlala isurfing: uhlobo-4, uhlobo-4
🏄🏾‍♀	isurfing, owesimame, owesimame odlala isurfing, owesimame odlala isurfing: uhlobo-5, uhlobo-5
🏄🏿‍♀	isurfing, owesimame, owesimame odlala isurfing, owesimame odlala isurfing: uhlobo-6, uhlobo-6
🚣	isikebhe, isithuthi, ukugwedla isikebhe, umuntu ogwedla isikebhe
🚣🏻	isikebhe, isithuthi, uhlobo-1-2, ukugwedla isikebhe, umuntu ogwedla isikebhe, umuntu ogwedla isikebhe: uhlobo-1-2
🚣🏼	isikebhe, isithuthi, uhlobo-3, ukugwedla isikebhe, umuntu ogwedla isikebhe, umuntu ogwedla isikebhe: uhlobo-3
🚣🏽	isikebhe, isithuthi, uhlobo-4, ukugwedla isikebhe, umuntu ogwedla isikebhe, umuntu ogwedla isikebhe: uhlobo-4
🚣🏾	isikebhe, isithuthi, uhlobo-5, ukugwedla isikebhe, umuntu ogwedla isikebhe, umuntu ogwedla isikebhe: uhlobo-5
🚣🏿	isikebhe, isithuthi, uhlobo-6, ukugwedla isikebhe, umuntu ogwedla isikebhe, umuntu ogwedla isikebhe: uhlobo-6
🚣‍♂	indoda, indoda egwedla isikebhe, isikebhe, ukugwedla isikebhe
🚣🏻‍♂	indoda, indoda egwedla isikebhe, indoda egwedla isikebhe: uhlobo-1-2, isikebhe, uhlobo-1-2, ukugwedla isikebhe
🚣🏼‍♂	indoda, indoda egwedla isikebhe, indoda egwedla isikebhe: uhlobo-3, isikebhe, uhlobo-3, ukugwedla isikebhe
🚣🏽‍♂	indoda, indoda egwedla isikebhe, indoda egwedla isikebhe: uhlobo-4, isikebhe, uhlobo-4, ukugwedla isikebhe
🚣🏾‍♂	indoda, indoda egwedla isikebhe, indoda egwedla isikebhe: uhlobo-5, isikebhe, uhlobo-5, ukugwedla isikebhe
🚣🏿‍♂	indoda, indoda egwedla isikebhe, indoda egwedla isikebhe: uhlobo-6, isikebhe, uhlobo-6, ukugwedla isikebhe
🚣‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, ukugwedla isikebhe
🚣🏻‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, owesimame ogwedla isikebhe: uhlobo-1-2, uhlobo-1-2, ukugwedla isikebhe
🚣🏼‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, owesimame ogwedla isikebhe: uhlobo-3, uhlobo-3, ukugwedla isikebhe
🚣🏽‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, owesimame ogwedla isikebhe: uhlobo-4, uhlobo-4, ukugwedla isikebhe
🚣🏾‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, owesimame ogwedla isikebhe: uhlobo-5, uhlobo-5, ukugwedla isikebhe
🚣🏿‍♀	isikebhe, owesimame, owesimame ogwedla isikebhe, owesimame ogwedla isikebhe: uhlobo-6, uhlobo-6, ukugwedla isikebhe
🏊️	ukubhukuda, umuntu obhukudayo
🏊🏻	uhlobo-1-2, ukubhukuda, umuntu obhukudayo, umuntu obhukudayo: uhlobo-1-2
🏊🏼	uhlobo-3, ukubhukuda, umuntu obhukudayo, umuntu obhukudayo: uhlobo-3
🏊🏽	uhlobo-4, ukubhukuda, umuntu obhukudayo, umuntu obhukudayo: uhlobo-4
🏊🏾	uhlobo-5, ukubhukuda, umuntu obhukudayo, umuntu obhukudayo: uhlobo-5
🏊🏿	uhlobo-6, ukubhukuda, umuntu obhukudayo, umuntu obhukudayo: uhlobo-6
🏊‍♂	indoda, indoda ebhukudayo, ukubhukuda
🏊🏻‍♂	indoda, indoda ebhukudayo, indoda ebhukudayo: uhlobo-1-2, uhlobo-1-2, ukubhukuda
🏊🏼‍♂	indoda, indoda ebhukudayo, indoda ebhukudayo: uhlobo-3, uhlobo-3, ukubhukuda
🏊🏽‍♂	indoda, indoda ebhukudayo, indoda ebhukudayo: uhlobo-4, uhlobo-4, ukubhukuda
🏊🏾‍♂	indoda, indoda ebhukudayo, indoda ebhukudayo: uhlobo-5, uhlobo-5, ukubhukuda
🏊🏿‍♂	indoda, indoda ebhukudayo, indoda ebhukudayo: uhlobo-6, uhlobo-6, ukubhukuda
🏊‍♀	owesimame, owesimame obhukudayo, ukubhukuda
🏊🏻‍♀	owesimame, owesimame obhukudayo, owesimame obhukudayo: uhlobo-1-2, uhlobo-1-2, ukubhukuda
🏊🏼‍♀	owesimame, owesimame obhukudayo, owesimame obhukudayo: uhlobo-3, uhlobo-3, ukubhukuda
🏊🏽‍♀	owesimame, owesimame obhukudayo, owesimame obhukudayo: uhlobo-4, uhlobo-4, ukubhukuda
🏊🏾‍♀	owesimame, owesimame obhukudayo, owesimame obhukudayo: uhlobo-5, uhlobo-5, ukubhukuda
🏊🏿‍♀	owesimame, owesimame obhukudayo, owesimame obhukudayo: uhlobo-6, uhlobo-6, ukubhukuda
⛹️	ibhola, umuntu onebhola
⛹🏻	ibhola, uhlobo-1-2, umuntu onebhola, umuntu onebhola: uhlobo-1-2
⛹🏼	ibhola, uhlobo-3, umuntu onebhola, umuntu onebhola: uhlobo-3
⛹🏽	ibhola, uhlobo-4, umuntu onebhola, umuntu onebhola: uhlobo-4
⛹🏾	ibhola, uhlobo-5, umuntu onebhola, umuntu onebhola: uhlobo-5
⛹🏿	ibhola, uhlobo-6, umuntu onebhola, umuntu onebhola: uhlobo-6
⛹‍♂	ibhola, indoda, indoda enebhola
⛹🏻‍♂	ibhola, indoda, indoda enebhola, indoda enebhola: uhlobo-1-2, uhlobo-1-2
⛹🏼‍♂	ibhola, indoda, indoda enebhola, indoda enebhola: uhlobo-3, uhlobo-3
⛹🏽‍♂	ibhola, indoda, indoda enebhola, indoda enebhola: uhlobo-4, uhlobo-4
⛹🏾‍♂	ibhola, indoda, indoda enebhola, indoda enebhola: uhlobo-5, uhlobo-5
⛹🏿‍♂	ibhola, indoda, indoda enebhola, indoda enebhola: uhlobo-6, uhlobo-6
⛹‍♀	ibhola, owesimame, owesimame onebhola
⛹🏻‍♀	ibhola, owesimame, owesimame onebhola, owesimame onebhola: uhlobo-1-2, uhlobo-1-2
⛹🏼‍♀	ibhola, owesimame, owesimame onebhola, owesimame onebhola: uhlobo-3, uhlobo-3
⛹🏽‍♀	ibhola, owesimame, owesimame onebhola, owesimame onebhola: uhlobo-4, uhlobo-4
⛹🏾‍♀	ibhola, owesimame, owesimame onebhola, owesimame onebhola: uhlobo-5, uhlobo-5
⛹🏿‍♀	ibhola, owesimame, owesimame onebhola, owesimame onebhola: uhlobo-6, uhlobo-6
🏋️	izinsimbi, ukuphakamisa, umuntu ophakamisa izinsimbi
🏋🏻	izinsimbi, uhlobo-1-2, ukuphakamisa, umuntu ophakamisa izinsimbi, umuntu ophakamisa izinsimbi: uhlobo-1-2
🏋🏼	izinsimbi, uhlobo-3, ukuphakamisa, umuntu ophakamisa izinsimbi, umuntu ophakamisa izinsimbi: uhlobo-3
🏋🏽	izinsimbi, uhlobo-4, ukuphakamisa, umuntu ophakamisa izinsimbi, umuntu ophakamisa izinsimbi: uhlobo-4
🏋🏾	izinsimbi, uhlobo-5, ukuphakamisa, umuntu ophakamisa izinsimbi, umuntu ophakamisa izinsimbi: uhlobo-5
🏋🏿	izinsimbi, uhlobo-6, ukuphakamisa, umuntu ophakamisa izinsimbi, umuntu ophakamisa izinsimbi: uhlobo-6
🏋‍♂	indoda, indoda ephakamisa izinsimbi, ophakamisa izinsimbi
🏋🏻‍♂	indoda, indoda ephakamisa izinsimbi, indoda ephakamisa izinsimbi: uhlobo-1-2, ophakamisa izinsimbi, uhlobo-1-2
🏋🏼‍♂	indoda, indoda ephakamisa izinsimbi, indoda ephakamisa izinsimbi: uhlobo-3, ophakamisa izinsimbi, uhlobo-3
🏋🏽‍♂	indoda, indoda ephakamisa izinsimbi, indoda ephakamisa izinsimbi: uhlobo-4, ophakamisa izinsimbi, uhlobo-4
🏋🏾‍♂	indoda, indoda ephakamisa izinsimbi, indoda ephakamisa izinsimbi: uhlobo-5, ophakamisa izinsimbi, uhlobo-5
🏋🏿‍♂	indoda, indoda ephakamisa izinsimbi, indoda ephakamisa izinsimbi: uhlobo-6, ophakamisa izinsimbi, uhlobo-6
🏋‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi
🏋🏻‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi, owesimame ophakamisa izinsimbi: uhlobo-1-2, uhlobo-1-2
🏋🏼‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi, owesimame ophakamisa izinsimbi: uhlobo-3, uhlobo-3
🏋🏽‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi, owesimame ophakamisa izinsimbi: uhlobo-4, uhlobo-4
🏋🏾‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi, owesimame ophakamisa izinsimbi: uhlobo-5, uhlobo-5
🏋🏿‍♀	ophakamisa izinsimbi, owesimame, owesimame ophakamisa izinsimbi, owesimame ophakamisa izinsimbi: uhlobo-6, uhlobo-6
🚴	ibhayisikili, umgibeli webhayisikili, umuntu ogibele ibhayisikili
🚴🏻	ibhayisikili, uhlobo-1-2, umgibeli webhayisikili, umuntu ogibele ibhayisikili, umuntu ogibele ibhayisikili: uhlobo-1-2
🚴🏼	ibhayisikili, uhlobo-3, umgibeli webhayisikili, umuntu ogibele ibhayisikili, umuntu ogibele ibhayisikili: uhlobo-3
🚴🏽	ibhayisikili, uhlobo-4, umgibeli webhayisikili, umuntu ogibele ibhayisikili, umuntu ogibele ibhayisikili: uhlobo-4
🚴🏾	ibhayisikili, uhlobo-5, umgibeli webhayisikili, umuntu ogibele ibhayisikili, umuntu ogibele ibhayisikili: uhlobo-5
🚴🏿	ibhayisikili, uhlobo-6, umgibeli webhayisikili, umuntu ogibele ibhayisikili, umuntu ogibele ibhayisikili: uhlobo-6
🚴‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili
🚴🏻‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili, indoda egibele ibhayisikili: uhlobo-1-2, uhlobo-1-2
🚴🏼‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili, indoda egibele ibhayisikili: uhlobo-3, uhlobo-3
🚴🏽‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili, indoda egibele ibhayisikili: uhlobo-4, uhlobo-4
🚴🏾‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili, indoda egibele ibhayisikili: uhlobo-5, uhlobo-5
🚴🏿‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili, indoda egibele ibhayisikili: uhlobo-6, uhlobo-6
🚴‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili
🚴🏻‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili, owesimeme ogibele ibhayisikili: uhlobo-1-2, uhlobo-1-2
🚴🏼‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili, owesimeme ogibele ibhayisikili: uhlobo-3, uhlobo-3
🚴🏽‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili, owesimeme ogibele ibhayisikili: uhlobo-4, uhlobo-4
🚴🏾‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili, owesimeme ogibele ibhayisikili: uhlobo-5, uhlobo-5
🚴🏿‍♀	ibhayisikili, owesimame, owesimeme ogibele ibhayisikili, owesimeme ogibele ibhayisikili: uhlobo-6, uhlobo-6
🚵	ibhayisikili, izintaba, umuntu ogibele ibhayisikili lezintaba
🚵🏻	ibhayisikili, izintaba, uhlobo-1-2, umuntu ogibele ibhayisikili lezintaba, umuntu ogibele ibhayisikili lezintaba: uhlobo-1-2
🚵🏼	ibhayisikili, izintaba, uhlobo-3, umuntu ogibele ibhayisikili lezintaba, umuntu ogibele ibhayisikili lezintaba: uhlobo-3
🚵🏽	ibhayisikili, izintaba, uhlobo-4, umuntu ogibele ibhayisikili lezintaba, umuntu ogibele ibhayisikili lezintaba: uhlobo-4
🚵🏾	ibhayisikili, izintaba, uhlobo-5, umuntu ogibele ibhayisikili lezintaba, umuntu ogibele ibhayisikili lezintaba: uhlobo-5
🚵🏿	ibhayisikili, izintaba, uhlobo-6, umuntu ogibele ibhayisikili lezintaba, umuntu ogibele ibhayisikili lezintaba: uhlobo-6
🚵‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, intaba
🚵🏻‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, indoda egibele ibhayisikili lezintaba: uhlobo-1-2, intaba, uhlobo-1-2
🚵🏼‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, indoda egibele ibhayisikili lezintaba: uhlobo-3, intaba, uhlobo-3
🚵🏽‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, indoda egibele ibhayisikili lezintaba: uhlobo-4, intaba, uhlobo-4
🚵🏾‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, indoda egibele ibhayisikili lezintaba: uhlobo-5, intaba, uhlobo-5
🚵🏿‍♂	ibhayisikili, indoda, indoda egibele ibhayisikili lezintaba, indoda egibele ibhayisikili lezintaba: uhlobo-6, intaba, uhlobo-6
🚵‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba
🚵🏻‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba, owesimame ogibele ibhayisikili lezintaba: uhlobo-1-2, uhlobo-1-2
🚵🏼‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba, owesimame ogibele ibhayisikili lezintaba: uhlobo-3, uhlobo-3
🚵🏽‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba, owesimame ogibele ibhayisikili lezintaba: uhlobo-4, uhlobo-4
🚵🏾‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba, owesimame ogibele ibhayisikili lezintaba: uhlobo-5, uhlobo-5
🚵🏿‍♀	ibhayisikili, intaba, owesimame, owesimame ogibele ibhayisikili lezintaba, owesimame ogibele ibhayisikili lezintaba: uhlobo-6, uhlobo-6
🤸	bhakela, isondo lekalishi, umdlalo, umuntu
🤸🏻	bhakela, isondo lekalishi, isondo lekalishi: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤸🏼	bhakela, isondo lekalishi, isondo lekalishi: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤸🏽	bhakela, isondo lekalishi, isondo lekalishi: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤸🏾	bhakela, isondo lekalishi, isondo lekalishi: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤸🏿	bhakela, isondo lekalishi, isondo lekalishi: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤸‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, umdlalo, umuntu
🤸🏻‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, owesilisa enza isondo lekalishi: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤸🏼‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, owesilisa enza isondo lekalishi: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤸🏽‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, owesilisa enza isondo lekalishi: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤸🏾‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, owesilisa enza isondo lekalishi: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤸🏿‍♂	bhakela, isondo lekalishi, owesilisa enza isondo lekalishi, owesilisa enza isondo lekalishi: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤸‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, umdlalo, umuntu
🤸🏻‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, owesimame enza isondo lekalishi: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤸🏼‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, owesimame enza isondo lekalishi: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤸🏽‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, owesimame enza isondo lekalishi: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤸🏾‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, owesimame enza isondo lekalishi: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤸🏿‍♀	bhakela, isondo lekalishi, owesimame enza isondo lekalishi, owesimame enza isondo lekalishi: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤼	abashayi-sibhakela, bhakela, umdlalo, umshayi-sibhakela, umuntu
🤼‍♂	abashayisibhakela besilisa, bhakela, umdlalo, umshayi-sibhakela, umuntu
🤼‍♀	abashayisibhakela besimame, bhakela, umdlalo, umshayi-sibhakela, umuntu
🤽	amanzi, ipholo, ukubhukuda, umdlalo, umuntu
🤽🏻	amanzi, ipholo, uhlobo-1-2, ukubhukuda, ukubhukuda: uhlobo-1-2, umdlalo, umuntu
🤽🏼	amanzi, ipholo, uhlobo-3, ukubhukuda, ukubhukuda: uhlobo-3, umdlalo, umuntu
🤽🏽	amanzi, ipholo, uhlobo-4, ukubhukuda, ukubhukuda: uhlobo-4, umdlalo, umuntu
🤽🏾	amanzi, ipholo, uhlobo-5, ukubhukuda, ukubhukuda: uhlobo-5, umdlalo, umuntu
🤽🏿	amanzi, ipholo, uhlobo-6, ukubhukuda, ukubhukuda: uhlobo-6, umdlalo, umuntu
🤽‍♂	amanzi, ipholo, umdlalo, umdlalo webhola lasemanzini wowesilisa, umuntu
🤽🏻‍♂	amanzi, ipholo, uhlobo-1-2, umdlalo, umdlalo webhola lasemanzini wowesilisa, umdlalo webhola lasemanzini wowesilisa: uhlobo-1-2, umuntu
🤽🏼‍♂	amanzi, ipholo, uhlobo-3, umdlalo, umdlalo webhola lasemanzini wowesilisa, umdlalo webhola lasemanzini wowesilisa: uhlobo-3, umuntu
🤽🏽‍♂	amanzi, ipholo, uhlobo-4, umdlalo, umdlalo webhola lasemanzini wowesilisa, umdlalo webhola lasemanzini wowesilisa: uhlobo-4, umuntu
🤽🏾‍♂	amanzi, ipholo, uhlobo-5, umdlalo, umdlalo webhola lasemanzini wowesilisa, umdlalo webhola lasemanzini wowesilisa: uhlobo-5, umuntu
🤽🏿‍♂	amanzi, ipholo, uhlobo-6, umdlalo, umdlalo webhola lasemanzini wowesilisa, umdlalo webhola lasemanzini wowesilisa: uhlobo-6, umuntu
🤽‍♀	amanzi, ipholo, umdlalo, umdlalo webhola lasemanzini wowesimame, umuntu
🤽🏻‍♀	amanzi, ipholo, uhlobo-1-2, umdlalo, umdlalo webhola lasemanzini wowesimame, umdlalo webhola lasemanzini wowesimame: uhlobo-1-2, umuntu
🤽🏼‍♀	amanzi, ipholo, uhlobo-3, umdlalo, umdlalo webhola lasemanzini wowesimame, umdlalo webhola lasemanzini wowesimame: uhlobo-3, umuntu
🤽🏽‍♀	amanzi, ipholo, uhlobo-4, umdlalo, umdlalo webhola lasemanzini wowesimame, umdlalo webhola lasemanzini wowesimame: uhlobo-4, umuntu
🤽🏾‍♀	amanzi, ipholo, uhlobo-5, umdlalo, umdlalo webhola lasemanzini wowesimame, umdlalo webhola lasemanzini wowesimame: uhlobo-5, umuntu
🤽🏿‍♀	amanzi, ipholo, uhlobo-6, umdlalo, umdlalo webhola lasemanzini wowesimame, umdlalo webhola lasemanzini wowesimame: uhlobo-6, umuntu
🤾	ibhola, ibhola lesandla, umdlalo, umuntu
🤾🏻	ibhola, ibhola lesandla, ibhola lesandla: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤾🏼	ibhola, ibhola lesandla, ibhola lesandla: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤾🏽	ibhola, ibhola lesandla, ibhola lesandla: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤾🏾	ibhola, ibhola lesandla, ibhola lesandla: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤾🏿	ibhola, ibhola lesandla, ibhola lesandla: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤾‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, umdlalo, umuntu
🤾🏻‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, ibhola lesandla lowesilisa: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤾🏼‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, ibhola lesandla lowesilisa: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤾🏽‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, ibhola lesandla lowesilisa: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤾🏾‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, ibhola lesandla lowesilisa: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤾🏿‍♂	ibhola, ibhola lesandla, ibhola lesandla lowesilisa, ibhola lesandla lowesilisa: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤾‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, umdlalo, umuntu
🤾🏻‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, ibhola lesandla lowesimame: uhlobo-1-2, uhlobo-1-2, umdlalo, umuntu
🤾🏼‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, ibhola lesandla lowesimame: uhlobo-3, uhlobo-3, umdlalo, umuntu
🤾🏽‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, ibhola lesandla lowesimame: uhlobo-4, uhlobo-4, umdlalo, umuntu
🤾🏾‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, ibhola lesandla lowesimame: uhlobo-5, uhlobo-5, umdlalo, umuntu
🤾🏿‍♀	ibhola, ibhola lesandla, ibhola lesandla lowesimame, ibhola lesandla lowesimame: uhlobo-6, uhlobo-6, umdlalo, umuntu
🤹	bhalansa, dlala, ikhono, sikhathi sodwa, ukudlala
🤹🏻	bhalansa, dlala, ikhono, sikhathi sodwa, uhlobo-1-2, ukudlala, ukudlala: uhlobo-1-2
🤹🏼	bhalansa, dlala, ikhono, sikhathi sodwa, uhlobo-3, ukudlala, ukudlala: uhlobo-3
🤹🏽	bhalansa, dlala, ikhono, sikhathi sodwa, uhlobo-4, ukudlala, ukudlala: uhlobo-4
🤹🏾	bhalansa, dlala, ikhono, sikhathi sodwa, uhlobo-5, ukudlala, ukudlala: uhlobo-5
🤹🏿	bhalansa, dlala, ikhono, sikhathi sodwa, uhlobo-6, ukudlala, ukudlala: uhlobo-6
🤹‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, sikhathi sodwa
🤹🏻‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, indoda edlala ngamabhola: uhlobo-1-2, sikhathi sodwa, uhlobo-1-2
🤹🏼‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, indoda edlala ngamabhola: uhlobo-3, sikhathi sodwa, uhlobo-3
🤹🏽‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, indoda edlala ngamabhola: uhlobo-4, sikhathi sodwa, uhlobo-4
🤹🏾‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, indoda edlala ngamabhola: uhlobo-5, sikhathi sodwa, uhlobo-5
🤹🏿‍♂	bhalansa, dlala, ikhono, indoda, indoda edlala ngamabhola, indoda edlala ngamabhola: uhlobo-6, sikhathi sodwa, uhlobo-6
🤹‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, sikhathi sodwa
🤹🏻‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, owesimame odlala ngamabhola: uhlobo-1-2, sikhathi sodwa, uhlobo-1-2
🤹🏼‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, owesimame odlala ngamabhola: uhlobo-3, sikhathi sodwa, uhlobo-3
🤹🏽‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, owesimame odlala ngamabhola: uhlobo-4, sikhathi sodwa, uhlobo-4
🤹🏾‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, owesimame odlala ngamabhola: uhlobo-5, sikhathi sodwa, uhlobo-5
🤹🏿‍♀	bhalansa, dlala, ikhono, owesimame, owesimame odlala ngamabhola, owesimame odlala ngamabhola: uhlobo-6, sikhathi sodwa, uhlobo-6
🧘	iyoga, ukucabanga, umuntu esikhundleni se-lotus
🧘🏻	iyoga, uhlobo-1-2, ukucabanga, umuntu esikhundleni se-lotus, umuntu esikhundleni se-lotus: uhlobo-1-2
🧘🏼	iyoga, uhlobo-3, ukucabanga, umuntu esikhundleni se-lotus, umuntu esikhundleni se-lotus: uhlobo-3
🧘🏽	iyoga, uhlobo-4, ukucabanga, umuntu esikhundleni se-lotus, umuntu esikhundleni se-lotus: uhlobo-4
🧘🏾	iyoga, uhlobo-5, ukucabanga, umuntu esikhundleni se-lotus, umuntu esikhundleni se-lotus: uhlobo-5
🧘🏿	iyoga, uhlobo-6, ukucabanga, umuntu esikhundleni se-lotus, umuntu esikhundleni se-lotus: uhlobo-6
🧘‍♂	iyoga, owesilisa esikhundleni se-lotus, ukucabanga
🧘🏻‍♂	iyoga, owesilisa esikhundleni se-lotus, owesilisa esikhundleni se-lotus: uhlobo-1-2, uhlobo-1-2, ukucabanga
🧘🏼‍♂	iyoga, owesilisa esikhundleni se-lotus, owesilisa esikhundleni se-lotus: uhlobo-3, uhlobo-3, ukucabanga
🧘🏽‍♂	iyoga, owesilisa esikhundleni se-lotus, owesilisa esikhundleni se-lotus: uhlobo-4, uhlobo-4, ukucabanga
🧘🏾‍♂	iyoga, owesilisa esikhundleni se-lotus, owesilisa esikhundleni se-lotus: uhlobo-5, uhlobo-5, ukucabanga
