😀	gülmək, gülən üz, üz
🏂🏻	açıq dəri tonu, qar, snouborder, snouborder: açıq dəri tonu, snoubort, xizək
🏂🏼	orta-açıq dəri tonu, qar, snouborder, snouborder: orta-açıq dəri tonu, snoubort, xizək
🏂🏽	orta dəri tonu, qar, snouborder, snouborder: orta dəri tonu, snoubort, xizək
🏂🏾	orta-tünd dəri tonu, qar, snouborder, snouborder: orta-tünd dəri tonu, snoubort, xizək
🏂🏿	qar, snouborder, snouborder: tünd dəri tonu, snoubort, tünd dəri tonu, xizək
🏌️	qolf, qolf oynayan, top
🏌🏻	açıq dəri tonu, qolf, qolf oynayan, qolf oynayan: açıq dəri tonu, top
🏌🏼	orta-açıq dəri tonu, qolf, qolf oynayan, qolf oynayan: orta-açıq dəri tonu, top
🏌🏽	orta dəri tonu, qolf, qolf oynayan, qolf oynayan: orta dəri tonu, top
🏌🏾	orta-tünd dəri tonu, qolf, qolf oynayan, qolf oynayan: orta-tünd dəri tonu, top
🏌🏿	qolf, qolf oynayan, qolf oynayan: tünd dəri tonu, top, tünd dəri tonu
🏌‍♂	kişi, qolf, qolfçu kişi
🏌🏻‍♂	açıq dəri tonu, kişi, qolf, qolfçu kişi, qolfçu kişi: açıq dəri tonu
🏌🏼‍♂	kişi, orta-açıq dəri tonu, qolf, qolfçu kişi, qolfçu kişi: orta-açıq dəri tonu
🏌🏽‍♂	kişi, orta dəri tonu, qolf, qolfçu kişi, qolfçu kişi: orta dəri tonu
🏌🏾‍♂	kişi, orta-tünd dəri tonu, qolf, qolfçu kişi, qolfçu kişi: orta-tünd dəri tonu
🏌🏿‍♂	kişi, qolf, qolfçu kişi, qolfçu kişi: tünd dəri tonu, tünd dəri tonu
🏌‍♀	qadın, qolf, qolfçu qadın
🏌🏻‍♀	açıq dəri tonu, qadın, qolf, qolfçu qadın, qolfçu qadın: açıq dəri tonu
🏌🏼‍♀	orta-açıq dəri tonu, qadın, qolf, qolfçu qadın, qolfçu qadın: orta-açıq dəri tonu
🏌🏽‍♀	orta dəri tonu, qadın, qolf, qolfçu qadın, qolfçu qadın: orta dəri tonu
🏌🏾‍♀	orta-tünd dəri tonu, qadın, qolf, qolfçu qadın, qolfçu qadın: orta-tünd dəri tonu
🏌🏿‍♀	qadın, qolf, qolfçu qadın, qolfçu qadın: tünd dəri tonu, tünd dəri tonu
🏄️	sörfer, sörfinq
🏄🏻	açıq dəri tonu, sörfer, sörfer: açıq dəri tonu, sörfinq
🏄🏼	orta-açıq dəri tonu, sörfer, sörfer: orta-açıq dəri tonu, sörfinq
🏄🏽	orta dəri tonu, sörfer, sörfer: orta dəri tonu, sörfinq
🏄🏾	orta-tünd dəri tonu, sörfer, sörfer: orta-tünd dəri tonu, sörfinq
🏄🏿	sörfer, sörfer: tünd dəri tonu, sörfinq, tünd dəri tonu
🏄‍♂	kişi, sörfinq, sörfçü kişi
🏄🏻‍♂	açıq dəri tonu, kişi, sörfinq, sörfçü kişi, sörfçü kişi: açıq dəri tonu
🏄🏼‍♂	kişi, orta-açıq dəri tonu, sörfinq, sörfçü kişi, sörfçü kişi: orta-açıq dəri tonu
🏄🏽‍♂	kişi, orta dəri tonu, sörfinq, sörfçü kişi, sörfçü kişi: orta dəri tonu
🏄🏾‍♂	kişi, orta-tünd dəri tonu, sörfinq, sörfçü kişi, sörfçü kişi: orta-tünd dəri tonu
🏄🏿‍♂	kişi, sörfinq, sörfçü kişi, sörfçü kişi: tünd dəri tonu, tünd dəri tonu
🏄‍♀	qadın, sörfinq, sörfçü qadın
🏄🏻‍♀	açıq dəri tonu, qadın, sörfinq, sörfçü qadın, sörfçü qadın: açıq dəri tonu
🏄🏼‍♀	orta-açıq dəri tonu, qadın, sörfinq, sörfçü qadın, sörfçü qadın: orta-açıq dəri tonu
🏄🏽‍♀	orta dəri tonu, qadın, sörfinq, sörfçü qadın, sörfçü qadın: orta dəri tonu
🏄🏾‍♀	orta-tünd dəri tonu, qadın, sörfinq, sörfçü qadın, sörfçü qadın: orta-tünd dəri tonu
🏄🏿‍♀	qadın, sörfinq, sörfçü qadın, sörfçü qadın: tünd dəri tonu, tünd dəri tonu
🚣	avarçəkmə qayığı, nəqliyyat, qayıq
🚣🏻	avarçəkmə qayığı, avarçəkmə qayığı: açıq dəri tonu, açıq dəri tonu, nəqliyyat, qayıq
🚣🏼	avarçəkmə qayığı, avarçəkmə qayığı: orta-açıq dəri tonu, nəqliyyat, orta-açıq dəri tonu, qayıq
🚣🏽	avarçəkmə qayığı, avarçəkmə qayığı: orta dəri tonu, nəqliyyat, orta dəri tonu, qayıq
🚣🏾	avarçəkmə qayığı, avarçəkmə qayığı: orta-tünd dəri tonu, nəqliyyat, orta-tünd dəri tonu, qayıq
🚣🏿	avarçəkmə qayığı, avarçəkmə qayığı: tünd dəri tonu, nəqliyyat, qayıq, tünd dəri tonu
🚣‍♂	avarlı qayıq, kişi, qayıq, qayıqçı kişi
🚣🏻‍♂	avarlı qayıq, açıq dəri tonu, kişi, qayıq, qayıqçı kişi, qayıqçı kişi: açıq dəri tonu
🚣🏼‍♂	avarlı qayıq, kişi, orta-açıq dəri tonu, qayıq, qayıqçı kişi, qayıqçı kişi: orta-açıq dəri tonu
🚣🏽‍♂	avarlı qayıq, kişi, orta dəri tonu, qayıq, qayıqçı kişi, qayıqçı kişi: orta dəri tonu
🚣🏾‍♂	avarlı qayıq, kişi, orta-tünd dəri tonu, qayıq, qayıqçı kişi, qayıqçı kişi: orta-tünd dəri tonu
🚣🏿‍♂	avarlı qayıq, kişi, qayıq, qayıqçı kişi, qayıqçı kişi: tünd dəri tonu, tünd dəri tonu
🚣‍♀	avarlı qayıq, qadın, qayıq, qayıqçı qadın
🚣🏻‍♀	avarlı qayıq, açıq dəri tonu, qadın, qayıq, qayıqçı qadın, qayıqçı qadın: açıq dəri tonu
🚣🏼‍♀	avarlı qayıq, orta-açıq dəri tonu, qadın, qayıq, qayıqçı qadın, qayıqçı qadın: orta-açıq dəri tonu
🚣🏽‍♀	avarlı qayıq, orta dəri tonu, qadın, qayıq, qayıqçı qadın, qayıqçı qadın: orta dəri tonu
🚣🏾‍♀	avarlı qayıq, orta-tünd dəri tonu, qadın, qayıq, qayıqçı qadın, qayıqçı qadın: orta-tünd dəri tonu
🚣🏿‍♀	avarlı qayıq, qadın, qayıq, qayıqçı qadın, qayıqçı qadın: tünd dəri tonu, tünd dəri tonu
🏊️	üzgüçü, üzmək
🏊🏻	açıq dəri tonu, üzgüçü, üzgüçü: açıq dəri tonu, üzmək
🏊🏼	orta-açıq dəri tonu, üzgüçü, üzgüçü: orta-açıq dəri tonu, üzmək
🏊🏽	orta dəri tonu, üzgüçü, üzgüçü: orta dəri tonu, üzmək
🏊🏾	orta-tünd dəri tonu, üzgüçü, üzgüçü: orta-tünd dəri tonu, üzmək
🏊🏿	tünd dəri tonu, üzgüçü, üzgüçü: tünd dəri tonu, üzmək
🏊‍♂	kişi, üzgüçü kişi, üzmək
🏊🏻‍♂	açıq dəri tonu, kişi, üzgüçü kişi, üzgüçü kişi: açıq dəri tonu, üzmək
🏊🏼‍♂	kişi, orta-açıq dəri tonu, üzgüçü kişi, üzgüçü kişi: orta-açıq dəri tonu, üzmək
🏊🏽‍♂	kişi, orta dəri tonu, üzgüçü kişi, üzgüçü kişi: orta dəri tonu, üzmək
🏊🏾‍♂	kişi, orta-tünd dəri tonu, üzgüçü kişi, üzgüçü kişi: orta-tünd dəri tonu, üzmək
🏊🏿‍♂	kişi, tünd dəri tonu, üzgüçü kişi, üzgüçü kişi: tünd dəri tonu, üzmək
🏊‍♀	qadın, üzgüçü qadın, üzmək
🏊🏻‍♀	açıq dəri tonu, qadın, üzgüçü qadın, üzgüçü qadın: açıq dəri tonu, üzmək
🏊🏼‍♀	orta-açıq dəri tonu, qadın, üzgüçü qadın, üzgüçü qadın: orta-açıq dəri tonu, üzmək
🏊🏽‍♀	orta dəri tonu, qadın, üzgüçü qadın, üzgüçü qadın: orta dəri tonu, üzmək
🏊🏾‍♀	orta-tünd dəri tonu, qadın, üzgüçü qadın, üzgüçü qadın: orta-tünd dəri tonu, üzmək
🏊🏿‍♀	qadın, tünd dəri tonu, üzgüçü qadın, üzgüçü qadın: tünd dəri tonu, üzmək
⛹️	top, toplu adam
⛹🏻	açıq dəri tonu, top, toplu adam, toplu adam: açıq dəri tonu
⛹🏼	orta-açıq dəri tonu, top, toplu adam, toplu adam: orta-açıq dəri tonu
⛹🏽	orta dəri tonu, top, toplu adam, toplu adam: orta dəri tonu
⛹🏾	orta-tünd dəri tonu, top, toplu adam, toplu adam: orta-tünd dəri tonu
⛹🏿	top, toplu adam, toplu adam: tünd dəri tonu, tünd dəri tonu
⛹‍♂	futbolçu kişi, kişi, top
⛹🏻‍♂	açıq dəri tonu, futbolçu kişi, futbolçu kişi: açıq dəri tonu, kişi, top
⛹🏼‍♂	futbolçu kişi, futbolçu kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu, top
⛹🏽‍♂	futbolçu kişi, futbolçu kişi: orta dəri tonu, kişi, orta dəri tonu, top
⛹🏾‍♂	futbolçu kişi, futbolçu kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu, top
⛹🏿‍♂	futbolçu kişi, futbolçu kişi: tünd dəri tonu, kişi, top, tünd dəri tonu
⛹‍♀	futbolçu qadın, qadın, top
⛹🏻‍♀	açıq dəri tonu, futbolçu qadın, futbolçu qadın: açıq dəri tonu, qadın, top
⛹🏼‍♀	futbolçu qadın, futbolçu qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın, top
⛹🏽‍♀	futbolçu qadın, futbolçu qadın: orta dəri tonu, orta dəri tonu, qadın, top
⛹🏾‍♀	futbolçu qadın, futbolçu qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın, top
⛹🏿‍♀	futbolçu qadın, futbolçu qadın: tünd dəri tonu, qadın, top, tünd dəri tonu
🏋️	çəki, ştanqçı
🏋🏻	açıq dəri tonu, çəki, ştanqçı, ştanqçı: açıq dəri tonu
🏋🏼	orta-açıq dəri tonu, çəki, ştanqçı, ştanqçı: orta-açıq dəri tonu
🏋🏽	orta dəri tonu, çəki, ştanqçı, ştanqçı: orta dəri tonu
🏋🏾	orta-tünd dəri tonu, çəki, ştanqçı, ştanqçı: orta-tünd dəri tonu
🏋🏿	tünd dəri tonu, çəki, ştanqçı, ştanqçı: tünd dəri tonu
🏋‍♂	kişi, ştanqçı, ştanqçı kişi
🏋🏻‍♂	açıq dəri tonu, kişi, ştanqçı, ştanqçı kişi: açıq dəri tonu
🏋🏼‍♂	kişi, orta-açıq dəri tonu, ştanqçı, ştanqçı kişi: orta-açıq dəri tonu
🏋🏽‍♂	kişi, orta dəri tonu, ştanqçı, ştanqçı kişi: orta dəri tonu
🏋🏾‍♂	kişi, orta-tünd dəri tonu, ştanqçı, ştanqçı kişi: orta-tünd dəri tonu
🏋🏿‍♂	kişi, tünd dəri tonu, ştanqçı, ştanqçı kişi: tünd dəri tonu
🏋‍♀	qadın, ştanqçı, ştanqçı qadın
🏋🏻‍♀	açıq dəri tonu, qadın, ştanqçı, ştanqçı qadın: açıq dəri tonu
🏋🏼‍♀	orta-açıq dəri tonu, qadın, ştanqçı, ştanqçı qadın: orta-açıq dəri tonu
🏋🏽‍♀	orta dəri tonu, qadın, ştanqçı, ştanqçı qadın: orta dəri tonu
🏋🏾‍♀	orta-tünd dəri tonu, qadın, ştanqçı, ştanqçı qadın: orta-tünd dəri tonu
🏋🏿‍♀	qadın, tünd dəri tonu, ştanqçı, ştanqçı qadın: tünd dəri tonu
🚴	bayk, velosiped, velosipedçi
🚴🏻	açıq dəri tonu, bayk, velosiped, velosipedçi, velosipedçi: açıq dəri tonu
🚴🏼	bayk, orta-açıq dəri tonu, velosiped, velosipedçi, velosipedçi: orta-açıq dəri tonu
🚴🏽	bayk, orta dəri tonu, velosiped, velosipedçi, velosipedçi: orta dəri tonu
🚴🏾	bayk, orta-tünd dəri tonu, velosiped, velosipedçi, velosipedçi: orta-tünd dəri tonu
🚴🏿	bayk, tünd dəri tonu, velosiped, velosipedçi, velosipedçi: tünd dəri tonu
🚴‍♂	kişi, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi
🚴🏻‍♂	açıq dəri tonu, kişi, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi: açıq dəri tonu
🚴🏼‍♂	kişi, orta-açıq dəri tonu, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi: orta-açıq dəri tonu
🚴🏽‍♂	kişi, orta dəri tonu, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi: orta dəri tonu
🚴🏾‍♂	kişi, orta-tünd dəri tonu, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi: orta-tünd dəri tonu
🚴🏿‍♂	kişi, tünd dəri tonu, velosiped, velosiped sürmək, velosipedçi, velosipedçi kişi: tünd dəri tonu
🚴‍♀	qadın, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın
🚴🏻‍♀	açıq dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın: açıq dəri tonu
🚴🏼‍♀	orta-açıq dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın: orta-açıq dəri tonu
🚴🏽‍♀	orta dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın: orta dəri tonu
🚴🏾‍♀	orta-tünd dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın: orta-tünd dəri tonu
🚴🏿‍♀	qadın, tünd dəri tonu, velosiped, velosiped sürmək, velosipedçi, velosipedçi qadın: tünd dəri tonu
🚵	bayk, dağ, dağ velosipedçisi, velosiped, velosipedçi
🚵🏻	açıq dəri tonu, bayk, dağ, dağ velosipedçisi, dağ velosipedçisi: açıq dəri tonu, velosiped, velosipedçi
🚵🏼	bayk, dağ, dağ velosipedçisi, dağ velosipedçisi: orta-açıq dəri tonu, orta-açıq dəri tonu, velosiped, velosipedçi
🚵🏽	bayk, dağ, dağ velosipedçisi, dağ velosipedçisi: orta dəri tonu, orta dəri tonu, velosiped, velosipedçi
🚵🏾	bayk, dağ, dağ velosipedçisi, dağ velosipedçisi: orta-tünd dəri tonu, orta-tünd dəri tonu, velosiped, velosipedçi
🚵🏿	bayk, dağ, dağ velosipedçisi, dağ velosipedçisi: tünd dəri tonu, tünd dəri tonu, velosiped, velosipedçi
🚵‍♂	dağ, dağ velosipedçisi kişi, kişi, velosiped, velosipedçi
🚵🏻‍♂	açıq dəri tonu, dağ, dağ velosipedçisi kişi, dağ velosipedçisi kişi: açıq dəri tonu, kişi, velosiped, velosipedçi
🚵🏼‍♂	dağ, dağ velosipedçisi kişi, dağ velosipedçisi kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu, velosiped, velosipedçi
🚵🏽‍♂	dağ, dağ velosipedçisi kişi, dağ velosipedçisi kişi: orta dəri tonu, kişi, orta dəri tonu, velosiped, velosipedçi
🚵🏾‍♂	dağ, dağ velosipedçisi kişi, dağ velosipedçisi kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu, velosiped, velosipedçi
🚵🏿‍♂	dağ, dağ velosipedçisi kişi, dağ velosipedçisi kişi: tünd dəri tonu, kişi, tünd dəri tonu, velosiped, velosipedçi
🚵‍♀	dağ, dağ velosipedçisi qadın, qadın, velosiped, velosiped sürmək, velosipedçi
🚵🏻‍♀	açıq dəri tonu, dağ, dağ velosipedçisi qadın, dağ velosipedçisi qadın: açıq dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi
🚵🏼‍♀	dağ, dağ velosipedçisi qadın, dağ velosipedçisi qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi
🚵🏽‍♀	dağ, dağ velosipedçisi qadın, dağ velosipedçisi qadın: orta dəri tonu, orta dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi
🚵🏾‍♀	dağ, dağ velosipedçisi qadın, dağ velosipedçisi qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın, velosiped, velosiped sürmək, velosipedçi
🚵🏿‍♀	dağ, dağ velosipedçisi qadın, dağ velosipedçisi qadın: tünd dəri tonu, qadın, tünd dəri tonu, velosiped, velosiped sürmək, velosipedçi
🤸	akrobatik hərəkət, akrobatika, hərəkət, idman
🤸🏻	akrobatik hərəkət, akrobatik hərəkət: açıq dəri tonu, akrobatika, açıq dəri tonu, hərəkət, idman
🤸🏼	akrobatik hərəkət, akrobatik hərəkət: orta-açıq dəri tonu, akrobatika, hərəkət, idman, orta-açıq dəri tonu
🤸🏽	akrobatik hərəkət, akrobatik hərəkət: orta dəri tonu, akrobatika, hərəkət, idman, orta dəri tonu
🤸🏾	akrobatik hərəkət, akrobatik hərəkət: orta-tünd dəri tonu, akrobatika, hərəkət, idman, orta-tünd dəri tonu
🤸🏿	akrobatik hərəkət, akrobatik hərəkət: tünd dəri tonu, akrobatika, hərəkət, idman, tünd dəri tonu
🤸‍♂	akrobat, akrobat kişi, gimnast, idman, kişi, şəxs
🤸🏻‍♂	akrobat, akrobat kişi: açıq dəri tonu, açıq dəri tonu, gimnast, idman, kişi, şəxs
🤸🏼‍♂	akrobat, akrobat kişi: orta-açıq dəri tonu, gimnast, idman, kişi, orta-açıq dəri tonu, şəxs
🤸🏽‍♂	akrobat, akrobat kişi: orta dəri tonu, gimnast, idman, kişi, orta dəri tonu, şəxs
🤸🏾‍♂	akrobat, akrobat kişi: orta-tünd dəri tonu, gimnast, idman, kişi, orta-tünd dəri tonu, şəxs
🤸🏿‍♂	akrobat, akrobat kişi: tünd dəri tonu, gimnast, idman, kişi, tünd dəri tonu, şəxs
🤸‍♀	akrobat, aktobat qadın, gimnast, idman, qadın, şəxs
🤸🏻‍♀	akrobat, aktobat qadın, aktobat qadın: açıq dəri tonu, açıq dəri tonu, gimnast, idman, qadın, şəxs
🤸🏼‍♀	akrobat, aktobat qadın, aktobat qadın: orta-açıq dəri tonu, gimnast, idman, orta-açıq dəri tonu, qadın, şəxs
🤸🏽‍♀	akrobat, aktobat qadın, aktobat qadın: orta dəri tonu, gimnast, idman, orta dəri tonu, qadın, şəxs
🤸🏾‍♀	akrobat, aktobat qadın, aktobat qadın: orta-tünd dəri tonu, gimnast, idman, orta-tünd dəri tonu, qadın, şəxs
🤸🏿‍♀	akrobat, aktobat qadın, aktobat qadın: tünd dəri tonu, gimnast, idman, qadın, tünd dəri tonu, şəxs
🤼	döyüş, güləş, idman
🤼‍♂	güləş, güləşçi kişi, idman, kişi, şəxs
🤼‍♀	güləş, güləşçi qadın, idman, qadın, şəxs
🤽	idman, polo, su, su polosu, top, yarışma
🤽🏻	açıq dəri tonu, idman, polo, su, su polosu, su polosu: açıq dəri tonu, top, yarışma
🤽🏼	idman, orta-açıq dəri tonu, polo, su, su polosu, su polosu: orta-açıq dəri tonu, top, yarışma
🤽🏽	idman, orta dəri tonu, polo, su, su polosu, su polosu: orta dəri tonu, top, yarışma
🤽🏾	idman, orta-tünd dəri tonu, polo, su, su polosu, su polosu: orta-tünd dəri tonu, top, yarışma
🤽🏿	idman, polo, su, su polosu, su polosu: tünd dəri tonu, top, tünd dəri tonu, yarışma
🤽‍♂	idman, kişi, su polosu, su poloçusu kişi
🤽🏻‍♂	açıq dəri tonu, idman, kişi, su polosu, su poloçusu kişi, su poloçusu kişi: açıq dəri tonu
🤽🏼‍♂	idman, kişi, orta-açıq dəri tonu, su polosu, su poloçusu kişi, su poloçusu kişi: orta-açıq dəri tonu
🤽🏽‍♂	idman, kişi, orta dəri tonu, su polosu, su poloçusu kişi, su poloçusu kişi: orta dəri tonu
🤽🏾‍♂	idman, kişi, orta-tünd dəri tonu, su polosu, su poloçusu kişi, su poloçusu kişi: orta-tünd dəri tonu
🤽🏿‍♂	idman, kişi, su polosu, su poloçusu kişi, su poloçusu kişi: tünd dəri tonu, tünd dəri tonu
🤽‍♀	idman, qadın, su polosu, su poloçusu qadın
🤽🏻‍♀	açıq dəri tonu, idman, qadın, su polosu, su poloçusu qadın, su poloçusu qadın: açıq dəri tonu
🤽🏼‍♀	idman, orta-açıq dəri tonu, qadın, su polosu, su poloçusu qadın, su poloçusu qadın: orta-açıq dəri tonu
🤽🏽‍♀	idman, orta dəri tonu, qadın, su polosu, su poloçusu qadın, su poloçusu qadın: orta dəri tonu
🤽🏾‍♀	idman, orta-tünd dəri tonu, qadın, su polosu, su poloçusu qadın, su poloçusu qadın: orta-tünd dəri tonu
🤽🏿‍♀	idman, qadın, su polosu, su poloçusu qadın, su poloçusu qadın: tünd dəri tonu, tünd dəri tonu
🤾	həndbol, idman, yarışma
🤾🏻	açıq dəri tonu, həndbol, həndbol: açıq dəri tonu, idman, yarışma
🤾🏼	həndbol, həndbol: orta-açıq dəri tonu, idman, orta-açıq dəri tonu, yarışma
🤾🏽	həndbol, həndbol: orta dəri tonu, idman, orta dəri tonu, yarışma
🤾🏾	həndbol, həndbol: orta-tünd dəri tonu, idman, orta-tünd dəri tonu, yarışma
🤾🏿	həndbol, həndbol: tünd dəri tonu, idman, tünd dəri tonu, yarışma
🤾‍♂	hendbol, həndbolçu kişi, idman, kişi
🤾🏻‍♂	açıq dəri tonu, hendbol, həndbolçu kişi, həndbolçu kişi: açıq dəri tonu, idman, kişi
🤾🏼‍♂	hendbol, həndbolçu kişi, həndbolçu kişi: orta-açıq dəri tonu, idman, kişi, orta-açıq dəri tonu
🤾🏽‍♂	hendbol, həndbolçu kişi, həndbolçu kişi: orta dəri tonu, idman, kişi, orta dəri tonu
🤾🏾‍♂	hendbol, həndbolçu kişi, həndbolçu kişi: orta-tünd dəri tonu, idman, kişi, orta-tünd dəri tonu
🤾🏿‍♂	hendbol, həndbolçu kişi, həndbolçu kişi: tünd dəri tonu, idman, kişi, tünd dəri tonu
🤾‍♀	hendbol, həndbolçu qadın, idman, qadın
🤾🏻‍♀	açıq dəri tonu, hendbol, həndbolçu qadın, həndbolçu qadın: açıq dəri tonu, idman, qadın
🤾🏼‍♀	hendbol, həndbolçu qadın, həndbolçu qadın: orta-açıq dəri tonu, idman, orta-açıq dəri tonu, qadın
🤾🏽‍♀	hendbol, həndbolçu qadın, həndbolçu qadın: orta dəri tonu, idman, orta dəri tonu, qadın
