😀	инээсэн царай, инээх, царай
🏌🏿	бор, бөмбөг, гольф, гольф: бор, спорт
🏌‍♂	гольф, гольф тоглож буй эрэгтэй, эр, эрэгтэй
🏌🏻‍♂	гольф, гольф тоглож буй эрэгтэй, гольф тоглож буй эрэгтэй: цайвар, цайвар, эр, эрэгтэй
🏌🏼‍♂	бага зэргийн цайвар, гольф, гольф тоглож буй эрэгтэй, гольф тоглож буй эрэгтэй: бага зэргийн цайвар, эр, эрэгтэй
🏌🏽‍♂	гольф, гольф тоглож буй эрэгтэй, гольф тоглож буй эрэгтэй: дунд зэргийн, дунд зэргийн, эр, эрэгтэй
🏌🏾‍♂	бордуу, гольф, гольф тоглож буй эрэгтэй, гольф тоглож буй эрэгтэй: бордуу, эр, эрэгтэй
🏌🏿‍♂	бор, гольф, гольф тоглож буй эрэгтэй, гольф тоглож буй эрэгтэй: бор, эр, эрэгтэй
🏌‍♀	гольф, гольф тоглож буй эмэгтэй, эм, эмэгтэй
🏌🏻‍♀	гольф, гольф тоглож буй эмэгтэй, гольф тоглож буй эмэгтэй: цайвар, цайвар, эм, эмэгтэй
🏌🏼‍♀	бага зэргийн цайвар, гольф, гольф тоглож буй эмэгтэй, гольф тоглож буй эмэгтэй: бага зэргийн цайвар, эм, эмэгтэй
🏌🏽‍♀	гольф, гольф тоглож буй эмэгтэй, гольф тоглож буй эмэгтэй: дунд зэргийн, дунд зэргийн, эм, эмэгтэй
🏌🏾‍♀	бордуу, гольф, гольф тоглож буй эмэгтэй, гольф тоглож буй эмэгтэй: бордуу, эм, эмэгтэй
🏌🏿‍♀	бор, гольф, гольф тоглож буй эмэгтэй, гольф тоглож буй эмэгтэй: бор, эм, эмэгтэй
🏄️	гулгах, серфинг, серфингээр гулгаж байгаа хүн, спорт, хүн
🏄🏻	гулгах, серфинг, серфингээр гулгаж байгаа хүн, серфингээр гулгаж байгаа хүн: цайвар, спорт, хүн, цайвар
🏄🏼	бага зэргийн цайвар, гулгах, серфинг, серфингээр гулгаж байгаа хүн, серфингээр гулгаж байгаа хүн: бага зэргийн цайвар, спорт, хүн
🏄🏽	гулгах, дунд зэргийн, серфинг, серфингээр гулгаж байгаа хүн, серфингээр гулгаж байгаа хүн: дунд зэргийн, спорт, хүн
🏄🏾	бордуу, гулгах, серфинг, серфингээр гулгаж байгаа хүн, серфингээр гулгаж байгаа хүн: бордуу, спорт, хүн
🏄🏿	бор, гулгах, серфинг, серфингээр гулгаж байгаа хүн, серфингээр гулгаж байгаа хүн: бор, спорт, хүн
🏄‍♂	серфинг, серфингээр гулгаж буй эрэгтэй, эр, эрэгтэй
🏄🏻‍♂	серфинг, серфингээр гулгаж буй эрэгтэй, серфингээр гулгаж буй эрэгтэй: цайвар, цайвар, эр, эрэгтэй
🏄🏼‍♂	бага зэргийн цайвар, серфинг, серфингээр гулгаж буй эрэгтэй, серфингээр гулгаж буй эрэгтэй: бага зэргийн цайвар, эр, эрэгтэй
🏄🏽‍♂	дунд зэргийн, серфинг, серфингээр гулгаж буй эрэгтэй, серфингээр гулгаж буй эрэгтэй: дунд зэргийн, эр, эрэгтэй
🏄🏾‍♂	бордуу, серфинг, серфингээр гулгаж буй эрэгтэй, серфингээр гулгаж буй эрэгтэй: бордуу, эр, эрэгтэй
🏄🏿‍♂	бор, серфинг, серфингээр гулгаж буй эрэгтэй, серфингээр гулгаж буй эрэгтэй: бор, эр, эрэгтэй
🏄‍♀	серфинг, серфингээр гулгаж буй эмэгтэй, эм, эмэгтэй
🏄🏻‍♀	серфинг, серфингээр гулгаж буй эмэгтэй, серфингээр гулгаж буй эмэгтэй: цайвар, цайвар, эм, эмэгтэй
🏄🏼‍♀	бага зэргийн цайвар, серфинг, серфингээр гулгаж буй эмэгтэй, серфингээр гулгаж буй эмэгтэй: бага зэргийн цайвар, эм, эмэгтэй
🏄🏽‍♀	дунд зэргийн, серфинг, серфингээр гулгаж буй эмэгтэй, серфингээр гулгаж буй эмэгтэй: дунд зэргийн, эм, эмэгтэй
🏄🏾‍♀	бордуу, серфинг, серфингээр гулгаж буй эмэгтэй, серфингээр гулгаж буй эмэгтэй: бордуу, эм, эмэгтэй
🏄🏿‍♀	бор, серфинг, серфингээр гулгаж буй эмэгтэй, серфингээр гулгаж буй эмэгтэй: бор, эм, эмэгтэй
🚣	завь, завь сэлүүрдэж буй хүн, сэлүүр
🚣🏻	завь, завь сэлүүрдэж буй хүн, завь сэлүүрдэж буй хүн: цайвар, сэлүүр, цайвар
🚣🏼	бага зэргийн цайвар, завь, завь сэлүүрдэж буй хүн, завь сэлүүрдэж буй хүн: бага зэргийн цайвар, сэлүүр
🚣🏽	дунд зэргийн, завь, завь сэлүүрдэж буй хүн, завь сэлүүрдэж буй хүн: дунд зэргийн, сэлүүр
🚣🏾	бордуу, завь, завь сэлүүрдэж буй хүн, завь сэлүүрдэж буй хүн: бордуу, сэлүүр
🚣🏿	бор, завь, завь сэлүүрдэж буй хүн, завь сэлүүрдэж буй хүн: бор, сэлүүр
🚣‍♂	завь, завь сэлүүрдэж буй эрэгтэй, сэлүүрт завь, эр, эрэгтэй
🚣🏻‍♂	завь, завь сэлүүрдэж буй эрэгтэй, завь сэлүүрдэж буй эрэгтэй: цайвар, сэлүүрт завь, цайвар, эр, эрэгтэй
🚣🏼‍♂	бага зэргийн цайвар, завь, завь сэлүүрдэж буй эрэгтэй, завь сэлүүрдэж буй эрэгтэй: бага зэргийн цайвар, сэлүүрт завь, эр, эрэгтэй
🚣🏽‍♂	дунд зэргийн, завь, завь сэлүүрдэж буй эрэгтэй, завь сэлүүрдэж буй эрэгтэй: дунд зэргийн, сэлүүрт завь, эр, эрэгтэй
🚣🏾‍♂	бордуу, завь, завь сэлүүрдэж буй эрэгтэй, завь сэлүүрдэж буй эрэгтэй: бордуу, сэлүүрт завь, эр, эрэгтэй
🚣🏿‍♂	бор, завь, завь сэлүүрдэж буй эрэгтэй, завь сэлүүрдэж буй эрэгтэй: бор, сэлүүрт завь, эр, эрэгтэй
🚣‍♀	завь, завь сэлүүрдэж буй эмэгтэй, сэлүүрт завь, эм, эмэгтэй
🚣🏻‍♀	завь, завь сэлүүрдэж буй эмэгтэй, завь сэлүүрдэж буй эмэгтэй: цайвар, сэлүүрт завь, цайвар, эм, эмэгтэй
🚣🏼‍♀	бага зэргийн цайвар, завь, завь сэлүүрдэж буй эмэгтэй, завь сэлүүрдэж буй эмэгтэй: бага зэргийн цайвар, сэлүүрт завь, эм, эмэгтэй
🚣🏽‍♀	дунд зэргийн, завь, завь сэлүүрдэж буй эмэгтэй, завь сэлүүрдэж буй эмэгтэй: дунд зэргийн, сэлүүрт завь, эм, эмэгтэй
🚣🏾‍♀	бордуу, завь, завь сэлүүрдэж буй эмэгтэй, завь сэлүүрдэж буй эмэгтэй: бордуу, сэлүүрт завь, эм, эмэгтэй
🚣🏿‍♀	бор, завь, завь сэлүүрдэж буй эмэгтэй, завь сэлүүрдэж буй эмэгтэй: бор, сэлүүрт завь, эм, эмэгтэй
🏊️	сэлэгч, ус, усанд сэлэгч
🏊🏻	сэлэгч, ус, усанд сэлэгч, усанд сэлэгч: цайвар, цайвар
🏊🏼	бага зэргийн цайвар, сэлэгч, ус, усанд сэлэгч, усанд сэлэгч: бага зэргийн цайвар
🏊🏽	дунд зэргийн, сэлэгч, ус, усанд сэлэгч, усанд сэлэгч: дунд зэргийн
🏊🏾	бордуу, сэлэгч, ус, усанд сэлэгч, усанд сэлэгч: бордуу
🏊🏿	бор, сэлэгч, ус, усанд сэлэгч, усанд сэлэгч: бор
🏊‍♂	сэлж буй эрэгтэй, сэлэх, эр, эрэгтэй
🏊🏻‍♂	сэлж буй эрэгтэй, сэлж буй эрэгтэй: цайвар, сэлэх, цайвар, эр, эрэгтэй
🏊🏼‍♂	бага зэргийн цайвар, сэлж буй эрэгтэй, сэлж буй эрэгтэй: бага зэргийн цайвар, сэлэх, эр, эрэгтэй
🏊🏽‍♂	дунд зэргийн, сэлж буй эрэгтэй, сэлж буй эрэгтэй: дунд зэргийн, сэлэх, эр, эрэгтэй
🏊🏾‍♂	бордуу, сэлж буй эрэгтэй, сэлж буй эрэгтэй: бордуу, сэлэх, эр, эрэгтэй
🏊🏿‍♂	бор, сэлж буй эрэгтэй, сэлж буй эрэгтэй: бор, сэлэх, эр, эрэгтэй
🏊‍♀	сэлж буй эмэгтэй, сэлэх, эм, эмэгтэй
🏊🏻‍♀	сэлж буй эмэгтэй, сэлж буй эмэгтэй: цайвар, сэлэх, цайвар, эм, эмэгтэй
🏊🏼‍♀	бага зэргийн цайвар, сэлж буй эмэгтэй, сэлж буй эмэгтэй: бага зэргийн цайвар, сэлэх, эм, эмэгтэй
🏊🏽‍♀	дунд зэргийн, сэлж буй эмэгтэй, сэлж буй эмэгтэй: дунд зэргийн, сэлэх, эм, эмэгтэй
🏊🏾‍♀	бордуу, сэлж буй эмэгтэй, сэлж буй эмэгтэй: бордуу, сэлэх, эм, эмэгтэй
🏊🏿‍♀	бор, сэлж буй эмэгтэй, сэлж буй эмэгтэй: бор, сэлэх, эм, эмэгтэй
