😀	dareenka wajiga, gariir, wajiga
🏂️	alwaax kula socod baraf, alwaaxa barafka, baraf, qofka alwaaxa barafka kula socda, qofka yaqaano alwaax baraf kula socosahada
🏂🏻	alwaax kula socod baraf, alwaaxa barafka, baraf, jidh fudud, qofka alwaaxa barafka kula socda, qofka alwaaxa barafka kula socda: jidh fudud, qofka yaqaano alwaax baraf kula socosahada
🏂🏼	alwaax kula socod baraf, alwaaxa barafka, baraf, jidh fudud oo dhexe, qofka alwaaxa barafka kula socda, qofka alwaaxa barafka kula socda: jidh fudud oo dhexe, qofka yaqaano alwaax baraf kula socosahada
🏂🏽	alwaax kula socod baraf, alwaaxa barafka, baraf, jidh nooc dhexe, qofka alwaaxa barafka kula socda, qofka alwaaxa barafka kula socda: jidh nooc dhexe, qofka yaqaano alwaax baraf kula socosahada
🏂🏾	alwaax kula socod baraf, alwaaxa barafka, baraf, jidh nooc madaw oo dhexe, qofka alwaaxa barafka kula socda, qofka alwaaxa barafka kula socda: jidh nooc madaw oo dhexe, qofka yaqaano alwaax baraf kula socosahada
🏂🏿	alwaax kula socod baraf, alwaaxa barafka, baraf, jidh madaw, qofka alwaaxa barafka kula socda, qofka alwaaxa barafka kula socda: jidh madaw, qofka yaqaano alwaax baraf kula socosahada
🏌️	goolof, kubad, qof cayaaraya goolof
🏌🏻	goolof, jidh fudud, kubad, qof cayaaraya goolof, qof cayaaraya goolof: jidh fudud
🏌🏼	goolof, jidh fudud oo dhexe, kubad, qof cayaaraya goolof, qof cayaaraya goolof: jidh fudud oo dhexe
🏌🏽	goolof, jidh nooc dhexe, kubad, qof cayaaraya goolof, qof cayaaraya goolof: jidh nooc dhexe
🏌🏾	goolof, jidh nooc madaw oo dhexe, kubad, qof cayaaraya goolof, qof cayaaraya goolof: jidh nooc madaw oo dhexe
🏌🏿	goolof, jidh madaw, kubad, qof cayaaraya goolof, qof cayaaraya goolof: jidh madaw
🏌‍♂	goolof, nin, nin cayaaraya goolof
🏌🏻‍♂	goolof, jidh fudud, nin, nin cayaaraya goolof, nin cayaaraya goolof: jidh fudud
🏌🏼‍♂	goolof, jidh fudud oo dhexe, nin, nin cayaaraya goolof, nin cayaaraya goolof: jidh fudud oo dhexe
🏌🏽‍♂	goolof, jidh nooc dhexe, nin, nin cayaaraya goolof, nin cayaaraya goolof: jidh nooc dhexe
🏌🏾‍♂	goolof, jidh nooc madaw oo dhexe, nin, nin cayaaraya goolof, nin cayaaraya goolof: jidh nooc madaw oo dhexe
🏌🏿‍♂	goolof, jidh madaw, nin, nin cayaaraya goolof, nin cayaaraya goolof: jidh madaw
🏌‍♀	goolof, naag, naag cayaaraysa goolof
🏌🏻‍♀	goolof, jidh fudud, naag, naag cayaaraysa goolof, naag cayaaraysa goolof: jidh fudud
🏌🏼‍♀	goolof, jidh fudud oo dhexe, naag, naag cayaaraysa goolof, naag cayaaraysa goolof: jidh fudud oo dhexe
🏌🏽‍♀	goolof, jidh nooc dhexe, naag, naag cayaaraysa goolof, naag cayaaraysa goolof: jidh nooc dhexe
🏌🏾‍♀	goolof, jidh nooc madaw oo dhexe, naag, naag cayaaraysa goolof, naag cayaaraysa goolof: jidh nooc madaw oo dhexe
🏌🏿‍♀	goolof, jidh madaw, naag, naag cayaaraysa goolof, naag cayaaraysa goolof: jidh madaw
🏄️	kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya
🏄🏻	jidh fudud, kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya, qof alwaaxa hirka biyaha kula soconaya: jidh fudud
🏄🏼	jidh fudud oo dhexe, kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya, qof alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe
🏄🏽	jidh nooc dhexe, kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya, qof alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe
🏄🏾	jidh nooc madaw oo dhexe, kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya, qof alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe
🏄🏿	jidh madaw, kula socoshada alwaaxa hirka biyaha, qof alwaaxa hirka biyaha kula soconaya, qof alwaaxa hirka biyaha kula soconaya: jidh madaw
🏄‍♂	kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya
🏄🏻‍♂	jidh fudud, kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya, nin alwaaxa hirka biyaha kula soconaya: jidh fudud
🏄🏼‍♂	jidh fudud oo dhexe, kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya, nin alwaaxa hirka biyaha kula soconaya: jidh fudud oo dhexe
🏄🏽‍♂	jidh nooc dhexe, kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya, nin alwaaxa hirka biyaha kula soconaya: jidh nooc dhexe
🏄🏾‍♂	jidh nooc madaw oo dhexe, kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya, nin alwaaxa hirka biyaha kula soconaya: jidh nooc madaw oo dhexe
🏄🏿‍♂	jidh madaw, kula socoshada alwaaxa hirka biyaha, nin, nin alwaaxa hirka biyaha kula soconaya, nin alwaaxa hirka biyaha kula soconaya: jidh madaw
🏄‍♀	kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa
🏄🏻‍♀	jidh fudud, kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa, naag alwaaxa hirka biyaha kula soconaysa: jidh fudud
🏄🏼‍♀	jidh fudud oo dhexe, kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa, naag alwaaxa hirka biyaha kula soconaysa: jidh fudud oo dhexe
🏄🏽‍♀	jidh nooc dhexe, kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa, naag alwaaxa hirka biyaha kula soconaysa: jidh nooc dhexe
🏄🏾‍♀	jidh nooc madaw oo dhexe, kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa, naag alwaaxa hirka biyaha kula soconaysa: jidh nooc madaw oo dhexe
🏄🏿‍♀	jidh madaw, kula socoshada alwaaxa hirka biyaha, naag, naag alwaaxa hirka biyaha kula soconaysa, naag alwaaxa hirka biyaha kula soconaysa: jidh madaw
🚣	doon, huuri, qof doon wada
🚣🏻	doon, huuri, jidh fudud, qof doon wada, qof doon wada: jidh fudud
🚣🏼	doon, huuri, jidh fudud oo dhexe, qof doon wada, qof doon wada: jidh fudud oo dhexe
🚣🏽	doon, huuri, jidh nooc dhexe, qof doon wada, qof doon wada: jidh nooc dhexe
🚣🏾	doon, huuri, jidh nooc madaw oo dhexe, qof doon wada, qof doon wada: jidh nooc madaw oo dhexe
🚣🏿	doon, huuri, jidh madaw, qof doon wada, qof doon wada: jidh madaw
🚣‍♂	doon, huuri, nin, nin doon wada
🚣🏻‍♂	doon, huuri, jidh fudud, nin, nin doon wada, nin doon wada: jidh fudud
🚣🏼‍♂	doon, huuri, jidh fudud oo dhexe, nin, nin doon wada, nin doon wada: jidh fudud oo dhexe
🚣🏽‍♂	doon, huuri, jidh nooc dhexe, nin, nin doon wada, nin doon wada: jidh nooc dhexe
🚣🏾‍♂	doon, huuri, jidh nooc madaw oo dhexe, nin, nin doon wada, nin doon wada: jidh nooc madaw oo dhexe
🚣🏿‍♂	doon, huuri, jidh madaw, nin, nin doon wada, nin doon wada: jidh madaw
🚣‍♀	doon, huuri, naag, naag doon wadda
🚣🏻‍♀	doon, huuri, jidh fudud, naag, naag doon wadda, naag doon wadda: jidh fudud
🚣🏼‍♀	doon, huuri, jidh fudud oo dhexe, naag, naag doon wadda, naag doon wadda: jidh fudud oo dhexe
🚣🏽‍♀	doon, huuri, jidh nooc dhexe, naag, naag doon wadda, naag doon wadda: jidh nooc dhexe
🚣🏾‍♀	doon, huuri, jidh nooc madaw oo dhexe, naag, naag doon wadda, naag doon wadda: jidh nooc madaw oo dhexe
🚣🏿‍♀	doon, huuri, jidh madaw, naag, naag doon wadda, naag doon wadda: jidh madaw
🏊️	dabaalo, qof dabaalanaya
🏊🏻	dabaalo, jidh fudud, qof dabaalanaya, qof dabaalanaya: jidh fudud
🏊🏼	dabaalo, jidh fudud oo dhexe, qof dabaalanaya, qof dabaalanaya: jidh fudud oo dhexe
🏊🏽	dabaalo, jidh nooc dhexe, qof dabaalanaya, qof dabaalanaya: jidh nooc dhexe
🏊🏾	dabaalo, jidh nooc madaw oo dhexe, qof dabaalanaya, qof dabaalanaya: jidh nooc madaw oo dhexe
🏊🏿	dabaalo, jidh madaw, qof dabaalanaya, qof dabaalanaya: jidh madaw
🏊‍♂	dabaalo, nin, nin dabaalanaya
🏊🏻‍♂	dabaalo, jidh fudud, nin, nin dabaalanaya, nin dabaalanaya: jidh fudud
🏊🏼‍♂	dabaalo, jidh fudud oo dhexe, nin, nin dabaalanaya, nin dabaalanaya: jidh fudud oo dhexe
🏊🏽‍♂	dabaalo, jidh nooc dhexe, nin, nin dabaalanaya, nin dabaalanaya: jidh nooc dhexe
🏊🏾‍♂	dabaalo, jidh nooc madaw oo dhexe, nin, nin dabaalanaya, nin dabaalanaya: jidh nooc madaw oo dhexe
🏊🏿‍♂	dabaalo, jidh madaw, nin, nin dabaalanaya, nin dabaalanaya: jidh madaw
🏊‍♀	dabaal, naag, naag dabaalanaysa
🏊🏻‍♀	dabaal, jidh fudud, naag, naag dabaalanaysa, naag dabaalanaysa: jidh fudud
🏊🏼‍♀	dabaal, jidh fudud oo dhexe, naag, naag dabaalanaysa, naag dabaalanaysa: jidh fudud oo dhexe
🏊🏽‍♀	dabaal, jidh nooc dhexe, naag, naag dabaalanaysa, naag dabaalanaysa: jidh nooc dhexe
🏊🏾‍♀	dabaal, jidh nooc madaw oo dhexe, naag, naag dabaalanaysa, naag dabaalanaysa: jidh nooc madaw oo dhexe
🏊🏿‍♀	dabaal, jidh madaw, naag, naag dabaalanaysa, naag dabaalanaysa: jidh madaw
⛹️	kubad, qof cayaaraya kubadda boodda
⛹🏻	jidh fudud, kubad, qof cayaaraya kubadda boodda, qof cayaaraya kubadda boodda: jidh fudud
⛹🏼	jidh fudud oo dhexe, kubad, qof cayaaraya kubadda boodda, qof cayaaraya kubadda boodda: jidh fudud oo dhexe
⛹🏽	jidh nooc dhexe, kubad, qof cayaaraya kubadda boodda, qof cayaaraya kubadda boodda: jidh nooc dhexe
⛹🏾	jidh nooc madaw oo dhexe, kubad, qof cayaaraya kubadda boodda, qof cayaaraya kubadda boodda: jidh nooc madaw oo dhexe
⛹🏿	jidh madaw, kubad, qof cayaaraya kubadda boodda, qof cayaaraya kubadda boodda: jidh madaw
⛹‍♂	kubad, nin, nin cayaaraya kubadda boodda
⛹🏻‍♂	jidh fudud, kubad, nin, nin cayaaraya kubadda boodda, nin cayaaraya kubadda boodda: jidh fudud
⛹🏼‍♂	jidh fudud oo dhexe, kubad, nin, nin cayaaraya kubadda boodda, nin cayaaraya kubadda boodda: jidh fudud oo dhexe
⛹🏽‍♂	jidh nooc dhexe, kubad, nin, nin cayaaraya kubadda boodda, nin cayaaraya kubadda boodda: jidh nooc dhexe
⛹🏾‍♂	jidh nooc madaw oo dhexe, kubad, nin, nin cayaaraya kubadda boodda, nin cayaaraya kubadda boodda: jidh nooc madaw oo dhexe
⛹🏿‍♂	jidh madaw, kubad, nin, nin cayaaraya kubadda boodda, nin cayaaraya kubadda boodda: jidh madaw
⛹‍♀	kubad, naag, naag cayaaraysa kubadda boodda
⛹🏻‍♀	jidh fudud, kubad, naag, naag cayaaraysa kubadda boodda, naag cayaaraysa kubadda boodda: jidh fudud
⛹🏼‍♀	jidh fudud oo dhexe, kubad, naag, naag cayaaraysa kubadda boodda, naag cayaaraysa kubadda boodda: jidh fudud oo dhexe
⛹🏽‍♀	jidh nooc dhexe, kubad, naag, naag cayaaraysa kubadda boodda, naag cayaaraysa kubadda boodda: jidh nooc dhexe
⛹🏾‍♀	jidh nooc madaw oo dhexe, kubad, naag, naag cayaaraysa kubadda boodda, naag cayaaraysa kubadda boodda: jidh nooc madaw oo dhexe
⛹🏿‍♀	jidh madaw, kubad, naag, naag cayaaraysa kubadda boodda, naag cayaaraysa kubadda boodda: jidh madaw
🏋️	culeyska, qaade, qof qaadaya culeyska
🏋🏻	culeyska, jidh fudud, qaade, qof qaadaya culeyska, qof qaadaya culeyska: jidh fudud
🏋🏼	culeyska, jidh fudud oo dhexe, qaade, qof qaadaya culeyska, qof qaadaya culeyska: jidh fudud oo dhexe
🏋🏽	culeyska, jidh nooc dhexe, qaade, qof qaadaya culeyska, qof qaadaya culeyska: jidh nooc dhexe
🏋🏾	culeyska, jidh nooc madaw oo dhexe, qaade, qof qaadaya culeyska, qof qaadaya culeyska: jidh nooc madaw oo dhexe
🏋🏿	culeyska, jidh madaw, qaade, qof qaadaya culeyska, qof qaadaya culeyska: jidh madaw
🏋‍♂	culeys qaade, nin, nin qaadaya culeyska
🏋🏻‍♂	culeys qaade, jidh fudud, nin, nin qaadaya culeyska, nin qaadaya culeyska: jidh fudud
🏋🏼‍♂	culeys qaade, jidh fudud oo dhexe, nin, nin qaadaya culeyska, nin qaadaya culeyska: jidh fudud oo dhexe
🏋🏽‍♂	culeys qaade, jidh nooc dhexe, nin, nin qaadaya culeyska, nin qaadaya culeyska: jidh nooc dhexe
🏋🏾‍♂	culeys qaade, jidh nooc madaw oo dhexe, nin, nin qaadaya culeyska, nin qaadaya culeyska: jidh nooc madaw oo dhexe
🏋🏿‍♂	culeys qaade, jidh madaw, nin, nin qaadaya culeyska, nin qaadaya culeyska: jidh madaw
🏋‍♀	culeys qaade, naag, naag qaadaysa culeyska
🏋🏻‍♀	culeys qaade, jidh fudud, naag, naag qaadaysa culeyska, naag qaadaysa culeyska: jidh fudud
🏋🏼‍♀	culeys qaade, jidh fudud oo dhexe, naag, naag qaadaysa culeyska, naag qaadaysa culeyska: jidh fudud oo dhexe
🏋🏽‍♀	culeys qaade, jidh nooc dhexe, naag, naag qaadaysa culeyska, naag qaadaysa culeyska: jidh nooc dhexe
🏋🏾‍♀	culeys qaade, jidh nooc madaw oo dhexe, naag, naag qaadaysa culeyska, naag qaadaysa culeyska: jidh nooc madaw oo dhexe
🏋🏿‍♀	culeys qaade, jidh madaw, naag, naag qaadaysa culeyska, naag qaadaysa culeyska: jidh madaw
🚴	baaskiil wade, baaskiil wadista, baaskiilka, qof baaskiil wada
🚴🏻	baaskiil wade, baaskiil wadista, baaskiilka, jidh fudud, qof baaskiil wada, qof baaskiil wada: jidh fudud
🚴🏼	baaskiil wade, baaskiil wadista, baaskiilka, jidh fudud oo dhexe, qof baaskiil wada, qof baaskiil wada: jidh fudud oo dhexe
🚴🏽	baaskiil wade, baaskiil wadista, baaskiilka, jidh nooc dhexe, qof baaskiil wada, qof baaskiil wada: jidh nooc dhexe
🚴🏾	baaskiil wade, baaskiil wadista, baaskiilka, jidh nooc madaw oo dhexe, qof baaskiil wada, qof baaskiil wada: jidh nooc madaw oo dhexe
🚴🏿	baaskiil wade, baaskiil wadista, baaskiilka, jidh madaw, qof baaskiil wada, qof baaskiil wada: jidh madaw
🚴‍♂	baaskiil, baaskiil wade, nin, nin baaskiil wada, wadista baaskiilka
🚴🏻‍♂	baaskiil, baaskiil wade, jidh fudud, nin, nin baaskiil wada, nin baaskiil wada: jidh fudud, wadista baaskiilka
🚴🏼‍♂	baaskiil, baaskiil wade, jidh fudud oo dhexe, nin, nin baaskiil wada, nin baaskiil wada: jidh fudud oo dhexe, wadista baaskiilka
🚴🏽‍♂	baaskiil, baaskiil wade, jidh nooc dhexe, nin, nin baaskiil wada, nin baaskiil wada: jidh nooc dhexe, wadista baaskiilka
🚴🏾‍♂	baaskiil, baaskiil wade, jidh nooc madaw oo dhexe, nin, nin baaskiil wada, nin baaskiil wada: jidh nooc madaw oo dhexe, wadista baaskiilka
🚴🏿‍♂	baaskiil, baaskiil wade, jidh madaw, nin, nin baaskiil wada, nin baaskiil wada: jidh madaw, wadista baaskiilka
🚴‍♀	baaskiil, baaskiil wade, baaskiil wadista, naag, naag baaskiil wadda
🚴🏻‍♀	baaskiil, baaskiil wade, baaskiil wadista, jidh fudud, naag, naag baaskiil wadda, naag baaskiil wadda: jidh fudud
🚴🏼‍♀	baaskiil, baaskiil wade, baaskiil wadista, jidh fudud oo dhexe, naag, naag baaskiil wadda, naag baaskiil wadda: jidh fudud oo dhexe
🚴🏽‍♀	baaskiil, baaskiil wade, baaskiil wadista, jidh nooc dhexe, naag, naag baaskiil wadda, naag baaskiil wadda: jidh nooc dhexe
🚴🏾‍♀	baaskiil, baaskiil wade, baaskiil wadista, jidh nooc madaw oo dhexe, naag, naag baaskiil wadda, naag baaskiil wadda: jidh nooc madaw oo dhexe
🚴🏿‍♀	baaskiil, baaskiil wade, baaskiil wadista, jidh madaw, naag, naag baaskiil wadda, naag baaskiil wadda: jidh madaw
🚵	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, qof baaskiil buur ku wada, qof buur baaskiil ku wada, wadista baaskiilka
🚵🏻	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, jidh fudud, qof baaskiil buur ku wada, qof baaskiil buur ku wada: jidh fudud, qof buur baaskiil ku wada, wadista baaskiilka
🚵🏼	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, jidh fudud oo dhexe, qof baaskiil buur ku wada, qof baaskiil buur ku wada: jidh fudud oo dhexe, qof buur baaskiil ku wada, wadista baaskiilka
🚵🏽	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, jidh nooc dhexe, qof baaskiil buur ku wada, qof baaskiil buur ku wada: jidh nooc dhexe, qof buur baaskiil ku wada, wadista baaskiilka
🚵🏾	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, jidh nooc madaw oo dhexe, qof baaskiil buur ku wada, qof baaskiil buur ku wada: jidh nooc madaw oo dhexe, qof buur baaskiil ku wada, wadista baaskiilka
🚵🏿	baaskiil, baaskiil wade, buur, jecel baaskiil wadista, jidh madaw, qof baaskiil buur ku wada, qof baaskiil buur ku wada: jidh madaw, qof buur baaskiil ku wada, wadista baaskiilka
🚵‍♂	baaskiil, baaskiil wade, buur, nin, nin baaskiil buur ku wada, wadista baaskiilka
🚵🏻‍♂	baaskiil, baaskiil wade, buur, jidh fudud, nin, nin baaskiil buur ku wada, nin baaskiil buur ku wada: jidh fudud, wadista baaskiilka
🚵🏼‍♂	baaskiil, baaskiil wade, buur, jidh fudud oo dhexe, nin, nin baaskiil buur ku wada, nin baaskiil buur ku wada: jidh fudud oo dhexe, wadista baaskiilka
🚵🏽‍♂	baaskiil, baaskiil wade, buur, jidh nooc dhexe, nin, nin baaskiil buur ku wada, nin baaskiil buur ku wada: jidh nooc dhexe, wadista baaskiilka
🚵🏾‍♂	baaskiil, baaskiil wade, buur, jidh nooc madaw oo dhexe, nin, nin baaskiil buur ku wada, nin baaskiil buur ku wada: jidh nooc madaw oo dhexe, wadista baaskiilka
🚵🏿‍♂	baaskiil, baaskiil wade, buur, jidh madaw, nin, nin baaskiil buur ku wada, nin baaskiil buur ku wada: jidh madaw, wadista baaskiilka
🚵‍♀	baaskiil, baaskiil wade, buur, naag, naag baaskiil buur ku wadda, wadaya baaskiil, wadista baaskiilka
🚵🏻‍♀	baaskiil, baaskiil wade, buur, jidh fudud, naag, naag baaskiil buur ku wadda, naag baaskiil buur ku wadda: jidh fudud, wadaya baaskiil, wadista baaskiilka
🚵🏼‍♀	baaskiil, baaskiil wade, buur, jidh fudud oo dhexe, naag, naag baaskiil buur ku wadda, naag baaskiil buur ku wadda: jidh fudud oo dhexe, wadaya baaskiil, wadista baaskiilka
🚵🏽‍♀	baaskiil, baaskiil wade, buur, jidh nooc dhexe, naag, naag baaskiil buur ku wadda, naag baaskiil buur ku wadda: jidh nooc dhexe, wadaya baaskiil, wadista baaskiilka
🚵🏾‍♀	baaskiil, baaskiil wade, buur, jidh nooc madaw oo dhexe, naag, naag baaskiil buur ku wadda, naag baaskiil buur ku wadda: jidh nooc madaw oo dhexe, wadaya baaskiil, wadista baaskiilka
🚵🏿‍♀	baaskiil, baaskiil wade, buur, jidh madaw, naag, naag baaskiil buur ku wadda, naag baaskiil buur ku wadda: jidh madaw, wadaya baaskiil, wadista baaskiilka
🤸	jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samaynaya jimicsiga gacma saarka
🤸🏻	jidh fudud, jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka: jidh fudud, qof samaynaya jimicsiga gacma saarka
🤸🏼	jidh fudud oo dhexe, jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka: jidh fudud oo dhexe, qof samaynaya jimicsiga gacma saarka
🤸🏽	jidh nooc dhexe, jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka: jidh nooc dhexe, qof samaynaya jimicsiga gacma saarka
🤸🏾	jidh nooc madaw oo dhexe, jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka: jidh nooc madaw oo dhexe, qof samaynaya jimicsiga gacma saarka
🤸🏿	jidh madaw, jimicsi, jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka, qof samayanaya jimicsiga gacma saarka: jidh madaw, qof samaynaya jimicsiga gacma saarka
🤸‍♂	jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya
🤸🏻‍♂	jidh fudud, jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya, nin jimicsiga gacma saarka samaynaya: jidh fudud
🤸🏼‍♂	jidh fudud oo dhexe, jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya, nin jimicsiga gacma saarka samaynaya: jidh fudud oo dhexe
🤸🏽‍♂	jidh nooc dhexe, jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya, nin jimicsiga gacma saarka samaynaya: jidh nooc dhexe
🤸🏾‍♂	jidh nooc madaw oo dhexe, jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya, nin jimicsiga gacma saarka samaynaya: jidh nooc madaw oo dhexe
🤸🏿‍♂	jidh madaw, jimicsi, jimicsiga gacmasaarka, nin, nin jimicsiga gacma saarka samaynaya, nin jimicsiga gacma saarka samaynaya: jidh madaw
🤸‍♀	gaari gacan, jimicsi, naag, naag jimicsanaysa
🤸🏻‍♀	gaari gacan, jidh fudud, jimicsi, naag, naag jimicsanaysa, naag jimicsanaysa: jidh fudud
🤸🏼‍♀	gaari gacan, jidh fudud oo dhexe, jimicsi, naag, naag jimicsanaysa, naag jimicsanaysa: jidh fudud oo dhexe
🤸🏽‍♀	gaari gacan, jidh nooc dhexe, jimicsi, naag, naag jimicsanaysa, naag jimicsanaysa: jidh nooc dhexe
🤸🏾‍♀	gaari gacan, jidh nooc madaw oo dhexe, jimicsi, naag, naag jimicsanaysa, naag jimicsanaysa: jidh nooc madaw oo dhexe
🤸🏿‍♀	gaari gacan, jidh madaw, jimicsi, naag, naag jimicsanaysa, naag jimicsanaysa: jidh madaw
🤼	dad lagdamaya, lagdame, lagdin
🤼‍♂	lagdin, rag, rag lagdamaya
🤼‍♀	lagdin, naag, naaga lagdamaya, naago lagdamaya
🤽	biyo, kubad, qof cayaaraya kubadda biyaha
🤽🏻	biyo, jidh fudud, kubad, qof cayaaraya kubadda biyaha, qof cayaaraya kubadda biyaha: jidh fudud
🤽🏼	biyo, jidh fudud oo dhexe, kubad, qof cayaaraya kubadda biyaha, qof cayaaraya kubadda biyaha: jidh fudud oo dhexe
🤽🏽	biyo, jidh nooc dhexe, kubad, qof cayaaraya kubadda biyaha, qof cayaaraya kubadda biyaha: jidh nooc dhexe
🤽🏾	biyo, jidh nooc madaw oo dhexe, kubad, qof cayaaraya kubadda biyaha, qof cayaaraya kubadda biyaha: jidh nooc madaw oo dhexe
