😀	tirjaygan yuz, tirjayish, yuz
🏄🏾‍♂	5-teri turi, erkak, erkak serfing qilmoqda, erkak serfing qilmoqda: 5-teri turi, serfing
🏄🏿‍♂	6-teri turi, erkak, erkak serfing qilmoqda, erkak serfing qilmoqda: 6-teri turi, serfing
🏄‍♀	ayol, ayol serfing qilmoqda, serfing
🏄🏻‍♀	1–2-teri turi, ayol, ayol serfing qilmoqda, ayol serfing qilmoqda: 1–2-teri turi, serfing
🏄🏼‍♀	3-teri turi, ayol, ayol serfing qilmoqda, ayol serfing qilmoqda: 3-teri turi, serfing
🏄🏽‍♀	4-teri turi, ayol, ayol serfing qilmoqda, ayol serfing qilmoqda: 4-teri turi, serfing
🏄🏾‍♀	5-teri turi, ayol, ayol serfing qilmoqda, ayol serfing qilmoqda: 5-teri turi, serfing
🏄🏿‍♀	6-teri turi, ayol, ayol serfing qilmoqda, ayol serfing qilmoqda: 6-teri turi, serfing
🚣	qayiq, transport
🚣🏻	1–2-teri turi, qayiq, qayiq: 1–2-teri turi, transport
🚣🏼	3-teri turi, qayiq, qayiq: 3-teri turi, transport
🚣🏽	4-teri turi, qayiq, qayiq: 4-teri turi, transport
🚣🏾	5-teri turi, qayiq, qayiq: 5-teri turi, transport
🚣🏿	6-teri turi, qayiq, qayiq: 6-teri turi, transport
🚣‍♂	erkak, erkak eshkak eshmoqda, eshish, eshkak, qayiq
🚣🏻‍♂	1–2-teri turi, erkak, erkak eshkak eshmoqda, erkak eshkak eshmoqda: 1–2-teri turi, eshish, eshkak, qayiq
🚣🏼‍♂	3-teri turi, erkak, erkak eshkak eshmoqda, erkak eshkak eshmoqda: 3-teri turi, eshish, eshkak, qayiq
🚣🏽‍♂	4-teri turi, erkak, erkak eshkak eshmoqda, erkak eshkak eshmoqda: 4-teri turi, eshish, eshkak, qayiq
🚣🏾‍♂	5-teri turi, erkak, erkak eshkak eshmoqda, erkak eshkak eshmoqda: 5-teri turi, eshish, eshkak, qayiq
🚣🏿‍♂	6-teri turi, erkak, erkak eshkak eshmoqda, erkak eshkak eshmoqda: 6-teri turi, eshish, eshkak, qayiq
🚣‍♀	ayol, ayol eshkak eshmoqda, eshish, eshkak, qayiq
🚣🏻‍♀	1–2-teri turi, ayol, ayol eshkak eshmoqda, ayol eshkak eshmoqda: 1–2-teri turi, eshish, eshkak, qayiq
🚣🏼‍♀	3-teri turi, ayol, ayol eshkak eshmoqda, ayol eshkak eshmoqda: 3-teri turi, eshish, eshkak, qayiq
🚣🏽‍♀	4-teri turi, ayol, ayol eshkak eshmoqda, ayol eshkak eshmoqda: 4-teri turi, eshish, eshkak, qayiq
🚣🏾‍♀	5-teri turi, ayol, ayol eshkak eshmoqda, ayol eshkak eshmoqda: 5-teri turi, eshish, eshkak, qayiq
🚣🏿‍♀	6-teri turi, ayol, ayol eshkak eshmoqda, ayol eshkak eshmoqda: 6-teri turi, eshish, eshkak, qayiq
🏊️	suzish, suzuvchi
🏊🏻	1–2-teri turi, suzish, suzuvchi, suzuvchi: 1–2-teri turi
🏊🏼	3-teri turi, suzish, suzuvchi, suzuvchi: 3-teri turi
🏊🏽	4-teri turi, suzish, suzuvchi, suzuvchi: 4-teri turi
🏊🏾	5-teri turi, suzish, suzuvchi, suzuvchi: 5-teri turi
🏊🏿	6-teri turi, suzish, suzuvchi, suzuvchi: 6-teri turi
🏊‍♂	erkak, suzayotgan erkak, suzish
🏊🏻‍♂	1–2-teri turi, erkak, suzayotgan erkak, suzayotgan erkak: 1–2-teri turi, suzish
🏊🏼‍♂	3-teri turi, erkak, suzayotgan erkak, suzayotgan erkak: 3-teri turi, suzish
🏊🏽‍♂	4-teri turi, erkak, suzayotgan erkak, suzayotgan erkak: 4-teri turi, suzish
🏊🏾‍♂	5-teri turi, erkak, suzayotgan erkak, suzayotgan erkak: 5-teri turi, suzish
🏊🏿‍♂	6-teri turi, erkak, suzayotgan erkak, suzayotgan erkak: 6-teri turi, suzish
🏊‍♀	ayol, suzayotgan ayol, suzish
🏊🏻‍♀	1–2-teri turi, ayol, suzayotgan ayol, suzayotgan ayol: 1–2-teri turi, suzish
🏊🏼‍♀	3-teri turi, ayol, suzayotgan ayol, suzayotgan ayol: 3-teri turi, suzish
🏊🏽‍♀	4-teri turi, ayol, suzayotgan ayol, suzayotgan ayol: 4-teri turi, suzish
🏊🏾‍♀	5-teri turi, ayol, suzayotgan ayol, suzayotgan ayol: 5-teri turi, suzish
🏊🏿‍♀	6-teri turi, ayol, suzayotgan ayol, suzayotgan ayol: 6-teri turi, suzish
⛹️	odam va to‘p, to‘p
⛹🏻	1–2-teri turi, odam va to‘p, odam va to‘p: 1–2-teri turi, to‘p
⛹🏼	3-teri turi, odam va to‘p, odam va to‘p: 3-teri turi, to‘p
⛹🏽	4-teri turi, odam va to‘p, odam va to‘p: 4-teri turi, to‘p
⛹🏾	5-teri turi, odam va to‘p, odam va to‘p: 5-teri turi, to‘p
⛹🏿	6-teri turi, odam va to‘p, odam va to‘p: 6-teri turi, to‘p
⛹‍♂	erkak, koptok, koptokli erkak
⛹🏻‍♂	1–2-teri turi, erkak, koptok, koptokli erkak, koptokli erkak: 1–2-teri turi
⛹🏼‍♂	3-teri turi, erkak, koptok, koptokli erkak, koptokli erkak: 3-teri turi
⛹🏽‍♂	4-teri turi, erkak, koptok, koptokli erkak, koptokli erkak: 4-teri turi
⛹🏾‍♂	5-teri turi, erkak, koptok, koptokli erkak, koptokli erkak: 5-teri turi
⛹🏿‍♂	6-teri turi, erkak, koptok, koptokli erkak, koptokli erkak: 6-teri turi
⛹‍♀	ayol, koptok, koptokli ayol
⛹🏻‍♀	1–2-teri turi, ayol, koptok, koptokli ayol, koptokli ayol: 1–2-teri turi
⛹🏼‍♀	3-teri turi, ayol, koptok, koptokli ayol, koptokli ayol: 3-teri turi
⛹🏽‍♀	4-teri turi, ayol, koptok, koptokli ayol, koptokli ayol: 4-teri turi
⛹🏾‍♀	5-teri turi, ayol, koptok, koptokli ayol, koptokli ayol: 5-teri turi
⛹🏿‍♀	6-teri turi, ayol, koptok, koptokli ayol, koptokli ayol: 6-teri turi
🏋️	atletikachi, og‘ir, og‘ir atletikachi
🏋🏻	1–2-teri turi, atletikachi, og‘ir, og‘ir atletikachi: 1–2-teri turi
🏋🏼	3-teri turi, atletikachi, og‘ir, og‘ir atletikachi: 3-teri turi
🏋🏽	4-teri turi, atletikachi, og‘ir, og‘ir atletikachi: 4-teri turi
🏋🏾	5-teri turi, atletikachi, og‘ir, og‘ir atletikachi: 5-teri turi
🏋🏿	6-teri turi, atletikachi, og‘ir, og‘ir atletikachi: 6-teri turi
🏋‍♂	erkak, erkak shtanga ko‘tarmoqda, og‘ir atletikachi
🏋🏻‍♂	1–2-teri turi, erkak, erkak shtanga ko‘tarmoqda, erkak shtanga ko‘tarmoqda: 1–2-teri turi, og‘ir atletikachi
🏋🏼‍♂	3-teri turi, erkak, erkak shtanga ko‘tarmoqda, erkak shtanga ko‘tarmoqda: 3-teri turi, og‘ir atletikachi
🏋🏽‍♂	4-teri turi, erkak, erkak shtanga ko‘tarmoqda, erkak shtanga ko‘tarmoqda: 4-teri turi, og‘ir atletikachi
🏋🏾‍♂	5-teri turi, erkak, erkak shtanga ko‘tarmoqda, erkak shtanga ko‘tarmoqda: 5-teri turi, og‘ir atletikachi
🏋🏿‍♂	6-teri turi, erkak, erkak shtanga ko‘tarmoqda, erkak shtanga ko‘tarmoqda: 6-teri turi, og‘ir atletikachi
🏋‍♀	ayol, ayol shtanga ko‘tarmoqda, og‘ir atletikachi
🏋🏻‍♀	1–2-teri turi, ayol, ayol shtanga ko‘tarmoqda, ayol shtanga ko‘tarmoqda: 1–2-teri turi, og‘ir atletikachi
🏋🏼‍♀	3-teri turi, ayol, ayol shtanga ko‘tarmoqda, ayol shtanga ko‘tarmoqda: 3-teri turi, og‘ir atletikachi
🏋🏽‍♀	4-teri turi, ayol, ayol shtanga ko‘tarmoqda, ayol shtanga ko‘tarmoqda: 4-teri turi, og‘ir atletikachi
🏋🏾‍♀	5-teri turi, ayol, ayol shtanga ko‘tarmoqda, ayol shtanga ko‘tarmoqda: 5-teri turi, og‘ir atletikachi
🏋🏿‍♀	6-teri turi, ayol, ayol shtanga ko‘tarmoqda, ayol shtanga ko‘tarmoqda: 6-teri turi, og‘ir atletikachi
🚴	velosiped, velosipedchi
🚴🏻	1–2-teri turi, velosiped, velosipedchi, velosipedchi: 1–2-teri turi
🚴🏼	3-teri turi, velosiped, velosipedchi, velosipedchi: 3-teri turi
🚴🏽	4-teri turi, velosiped, velosipedchi, velosipedchi: 4-teri turi
🚴🏾	5-teri turi, velosiped, velosipedchi, velosipedchi: 5-teri turi
🚴🏿	6-teri turi, velosiped, velosipedchi, velosipedchi: 6-teri turi
🚴‍♂	erkak, erkak velosipedda, haydash, velosiped
🚴🏻‍♂	1–2-teri turi, erkak, erkak velosipedda, erkak velosipedda: 1–2-teri turi, haydash, velosiped
🚴🏼‍♂	3-teri turi, erkak, erkak velosipedda, erkak velosipedda: 3-teri turi, haydash, velosiped
🚴🏽‍♂	4-teri turi, erkak, erkak velosipedda, erkak velosipedda: 4-teri turi, haydash, velosiped
🚴🏾‍♂	5-teri turi, erkak, erkak velosipedda, erkak velosipedda: 5-teri turi, haydash, velosiped
🚴🏿‍♂	6-teri turi, erkak, erkak velosipedda, erkak velosipedda: 6-teri turi, haydash, velosiped
🚴‍♀	ayol, ayol velosipedda, haydash, velosiped
🚴🏻‍♀	1–2-teri turi, ayol, ayol velosipedda, ayol velosipedda: 1–2-teri turi, haydash, velosiped
🚴🏼‍♀	3-teri turi, ayol, ayol velosipedda, ayol velosipedda: 3-teri turi, haydash, velosiped
🚴🏽‍♀	4-teri turi, ayol, ayol velosipedda, ayol velosipedda: 4-teri turi, haydash, velosiped
🚴🏾‍♀	5-teri turi, ayol, ayol velosipedda, ayol velosipedda: 5-teri turi, haydash, velosiped
🚴🏿‍♀	6-teri turi, ayol, ayol velosipedda, ayol velosipedda: 6-teri turi, haydash, velosiped
🚵	tog‘, tog‘ velosipedchisi, velosiped, velosipedchi
🚵🏻	1–2-teri turi, tog‘, tog‘ velosipedchisi, tog‘ velosipedchisi: 1–2-teri turi, velosiped, velosipedchi
🚵🏼	3-teri turi, tog‘, tog‘ velosipedchisi, tog‘ velosipedchisi: 3-teri turi, velosiped, velosipedchi
🚵🏽	4-teri turi, tog‘, tog‘ velosipedchisi, tog‘ velosipedchisi: 4-teri turi, velosiped, velosipedchi
🚵🏾	5-teri turi, tog‘, tog‘ velosipedchisi, tog‘ velosipedchisi: 5-teri turi, velosiped, velosipedchi
🚵🏿	6-teri turi, tog‘, tog‘ velosipedchisi, tog‘ velosipedchisi: 6-teri turi, velosiped, velosipedchi
🚵‍♂	erkak, erkak tog‘da velosipedda, haydash, tog‘da, velosiped
🚵🏻‍♂	1–2-teri turi, erkak, erkak tog‘da velosipedda, erkak tog‘da velosipedda: 1–2-teri turi, haydash, tog‘da, velosiped
🚵🏼‍♂	3-teri turi, erkak, erkak tog‘da velosipedda, erkak tog‘da velosipedda: 3-teri turi, haydash, tog‘da, velosiped
🚵🏽‍♂	4-teri turi, erkak, erkak tog‘da velosipedda, erkak tog‘da velosipedda: 4-teri turi, haydash, tog‘da, velosiped
🚵🏾‍♂	5-teri turi, erkak, erkak tog‘da velosipedda, erkak tog‘da velosipedda: 5-teri turi, haydash, tog‘da, velosiped
🚵🏿‍♂	6-teri turi, erkak, erkak tog‘da velosipedda, erkak tog‘da velosipedda: 6-teri turi, haydash, tog‘da, velosiped
🚵‍♀	ayol, ayol tog‘da velosipedda, haydash, tog‘da, velosiped
🚵🏻‍♀	1–2-teri turi, ayol, ayol tog‘da velosipedda, ayol tog‘da velosipedda: 1–2-teri turi, haydash, tog‘da, velosiped
🚵🏼‍♀	3-teri turi, ayol, ayol tog‘da velosipedda, ayol tog‘da velosipedda: 3-teri turi, haydash, tog‘da, velosiped
🚵🏽‍♀	4-teri turi, ayol, ayol tog‘da velosipedda, ayol tog‘da velosipedda: 4-teri turi, haydash, tog‘da, velosiped
🚵🏾‍♀	5-teri turi, ayol, ayol tog‘da velosipedda, ayol tog‘da velosipedda: 5-teri turi, haydash, tog‘da, velosiped
🚵🏿‍♀	6-teri turi, ayol, ayol tog‘da velosipedda, ayol tog‘da velosipedda: 6-teri turi, haydash, tog‘da, velosiped
🤸	akrobatik mashq, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸🏻	1–2-teri turi, akrobatik mashq, akrobatik mashq: 1–2-teri turi, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸🏼	3-teri turi, akrobatik mashq, akrobatik mashq: 3-teri turi, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸🏽	4-teri turi, akrobatik mashq, akrobatik mashq: 4-teri turi, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸🏾	5-teri turi, akrobatik mashq, akrobatik mashq: 5-teri turi, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸🏿	6-teri turi, akrobatik mashq, akrobatik mashq: 6-teri turi, akrobatika, gimnastika, g‘ildirak, odam, sport
🤸‍♂	akrobat, erkak, erkak o‘mbaloq oshmoqda, gimnastika, o‘mbaloq
🤸🏻‍♂	1–2-teri turi, akrobat, erkak, erkak o‘mbaloq oshmoqda, erkak o‘mbaloq oshmoqda: 1–2-teri turi, gimnastika, o‘mbaloq
🤸🏼‍♂	3-teri turi, akrobat, erkak, erkak o‘mbaloq oshmoqda, erkak o‘mbaloq oshmoqda: 3-teri turi, gimnastika, o‘mbaloq
🤸🏽‍♂	4-teri turi, akrobat, erkak, erkak o‘mbaloq oshmoqda, erkak o‘mbaloq oshmoqda: 4-teri turi, gimnastika, o‘mbaloq
🤸🏾‍♂	5-teri turi, akrobat, erkak, erkak o‘mbaloq oshmoqda, erkak o‘mbaloq oshmoqda: 5-teri turi, gimnastika, o‘mbaloq
🤸🏿‍♂	6-teri turi, akrobat, erkak, erkak o‘mbaloq oshmoqda, erkak o‘mbaloq oshmoqda: 6-teri turi, gimnastika, o‘mbaloq
🤸‍♀	akrobat, ayol, ayol o‘mbaloq oshmoqda, gimnastika, o‘mbaloq
🤸🏻‍♀	1–2-teri turi, akrobat, ayol, ayol o‘mbaloq oshmoqda, ayol o‘mbaloq oshmoqda: 1–2-teri turi, gimnastika, o‘mbaloq
🤸🏼‍♀	3-teri turi, akrobat, ayol, ayol o‘mbaloq oshmoqda, ayol o‘mbaloq oshmoqda: 3-teri turi, gimnastika, o‘mbaloq
🤸🏽‍♀	4-teri turi, akrobat, ayol, ayol o‘mbaloq oshmoqda, ayol o‘mbaloq oshmoqda: 4-teri turi, gimnastika, o‘mbaloq
🤸🏾‍♀	5-teri turi, akrobat, ayol, ayol o‘mbaloq oshmoqda, ayol o‘mbaloq oshmoqda: 5-teri turi, gimnastika, o‘mbaloq
🤸🏿‍♀	6-teri turi, akrobat, ayol, ayol o‘mbaloq oshmoqda, ayol o‘mbaloq oshmoqda: 6-teri turi, gimnastika, o‘mbaloq
🤼	kurash, kurashchilar, odam, sport
🤼‍♂	erkak, kurash, kurashayotgan erkak, shaxs, sport
🤼‍♀	ayol, kurash, kurashayotgan ayol, shaxs, sport
🤽	odam, polo, sport, suv, suv polosi
🤽🏻	1–2-teri turi, odam, polo, sport, suv, suv polosi, suv polosi: 1–2-teri turi
🤽🏼	3-teri turi, odam, polo, sport, suv, suv polosi, suv polosi: 3-teri turi
🤽🏽	4-teri turi, odam, polo, sport, suv, suv polosi, suv polosi: 4-teri turi
🤽🏾	5-teri turi, odam, polo, sport, suv, suv polosi, suv polosi: 5-teri turi
🤽🏿	6-teri turi, odam, polo, sport, suv, suv polosi, suv polosi: 6-teri turi
🤽‍♂	erkak, erkak suv polosi o‘ynamoqda, sport, suv polosi
🤽🏻‍♂	1–2-teri turi, erkak, erkak suv polosi o‘ynamoqda, erkak suv polosi o‘ynamoqda: 1–2-teri turi, sport, suv polosi
🤽🏼‍♂	3-teri turi, erkak, erkak suv polosi o‘ynamoqda, erkak suv polosi o‘ynamoqda: 3-teri turi, sport, suv polosi
🤽🏽‍♂	4-teri turi, erkak, erkak suv polosi o‘ynamoqda, erkak suv polosi o‘ynamoqda: 4-teri turi, sport, suv polosi
🤽🏾‍♂	5-teri turi, erkak, erkak suv polosi o‘ynamoqda, erkak suv polosi o‘ynamoqda: 5-teri turi, sport, suv polosi
🤽🏿‍♂	6-teri turi, erkak, erkak suv polosi o‘ynamoqda, erkak suv polosi o‘ynamoqda: 6-teri turi, sport, suv polosi
🤽‍♀	ayol, ayol suv polosi o‘ynamoqda, sport, suv polosi
🤽🏻‍♀	1–2-teri turi, ayol, ayol suv polosi o‘ynamoqda, ayol suv polosi o‘ynamoqda: 1–2-teri turi, sport, suv polosi
🤽🏼‍♀	3-teri turi, ayol, ayol suv polosi o‘ynamoqda, ayol suv polosi o‘ynamoqda: 3-teri turi, sport, suv polosi
🤽🏽‍♀	4-teri turi, ayol, ayol suv polosi o‘ynamoqda, ayol suv polosi o‘ynamoqda: 4-teri turi, sport, suv polosi
🤽🏾‍♀	5-teri turi, ayol, ayol suv polosi o‘ynamoqda, ayol suv polosi o‘ynamoqda: 5-teri turi, sport, suv polosi
🤽🏿‍♀	6-teri turi, ayol, ayol suv polosi o‘ynamoqda, ayol suv polosi o‘ynamoqda: 6-teri turi, sport, suv polosi
🤾	gandbol, koptok, odam, sport, to‘p
🤾🏻	1–2-teri turi, gandbol, gandbol: 1–2-teri turi, koptok, odam, sport, to‘p
🤾🏼	3-teri turi, gandbol, gandbol: 3-teri turi, koptok, odam, sport, to‘p
🤾🏽	4-teri turi, gandbol, gandbol: 4-teri turi, koptok, odam, sport, to‘p
🤾🏾	5-teri turi, gandbol, gandbol: 5-teri turi, koptok, odam, sport, to‘p
🤾🏿	6-teri turi, gandbol, gandbol: 6-teri turi, koptok, odam, sport, to‘p
🤾‍♂	erkak, erkak gandbol o‘ynamoqda, gandbol, sport
🤾🏻‍♂	1–2-teri turi, erkak, erkak gandbol o‘ynamoqda, erkak gandbol o‘ynamoqda: 1–2-teri turi, gandbol, sport
🤾🏼‍♂	3-teri turi, erkak, erkak gandbol o‘ynamoqda, erkak gandbol o‘ynamoqda: 3-teri turi, gandbol, sport
🤾🏽‍♂	4-teri turi, erkak, erkak gandbol o‘ynamoqda, erkak gandbol o‘ynamoqda: 4-teri turi, gandbol, sport
🤾🏾‍♂	5-teri turi, erkak, erkak gandbol o‘ynamoqda, erkak gandbol o‘ynamoqda: 5-teri turi, gandbol, sport
🤾🏿‍♂	6-teri turi, erkak, erkak gandbol o‘ynamoqda, erkak gandbol o‘ynamoqda: 6-teri turi, gandbol, sport
🤾‍♀	ayol, ayol gandbol o‘ynamoqda, gandbol, sport
🤾🏻‍♀	1–2-teri turi, ayol, ayol gandbol o‘ynamoqda, ayol gandbol o‘ynamoqda: 1–2-teri turi, gandbol, sport
🤾🏼‍♀	3-teri turi, ayol, ayol gandbol o‘ynamoqda, ayol gandbol o‘ynamoqda: 3-teri turi, gandbol, sport
🤾🏽‍♀	4-teri turi, ayol, ayol gandbol o‘ynamoqda, ayol gandbol o‘ynamoqda: 4-teri turi, gandbol, sport
🤾🏾‍♀	5-teri turi, ayol, ayol gandbol o‘ynamoqda, ayol gandbol o‘ynamoqda: 5-teri turi, gandbol, sport
🤾🏿‍♀	6-teri turi, ayol, ayol gandbol o‘ynamoqda, ayol gandbol o‘ynamoqda: 6-teri turi, gandbol, sport
🤹	jonglyor, ko‘p vazifalilik, muvozanat, tajriba
🤹🏻	1–2-teri turi, jonglyor, jonglyor: 1–2-teri turi, ko‘p vazifalilik, muvozanat, tajriba
🤹🏼	3-teri turi, jonglyor, jonglyor: 3-teri turi, ko‘p vazifalilik, muvozanat, tajriba
🤹🏽	4-teri turi, jonglyor, jonglyor: 4-teri turi, ko‘p vazifalilik, muvozanat, tajriba
🤹🏾	5-teri turi, jonglyor, jonglyor: 5-teri turi, ko‘p vazifalilik, muvozanat, tajriba
🤹🏿	6-teri turi, jonglyor, jonglyor: 6-teri turi, ko‘p vazifalilik, muvozanat, tajriba
🤹‍♂	bir nechta amal, erkak, erkak jonglyorlik qilmoqda, jonglyor
🤹🏻‍♂	1–2-teri turi, bir nechta amal, erkak, erkak jonglyorlik qilmoqda, erkak jonglyorlik qilmoqda: 1–2-teri turi, jonglyor
🤹🏼‍♂	3-teri turi, bir nechta amal, erkak, erkak jonglyorlik qilmoqda, erkak jonglyorlik qilmoqda: 3-teri turi, jonglyor
🤹🏽‍♂	4-teri turi, bir nechta amal, erkak, erkak jonglyorlik qilmoqda, erkak jonglyorlik qilmoqda: 4-teri turi, jonglyor
🤹🏾‍♂	5-teri turi, bir nechta amal, erkak, erkak jonglyorlik qilmoqda, erkak jonglyorlik qilmoqda: 5-teri turi, jonglyor
🤹🏿‍♂	6-teri turi, bir nechta amal, erkak, erkak jonglyorlik qilmoqda, erkak jonglyorlik qilmoqda: 6-teri turi, jonglyor
🤹‍♀	ayol, ayol jonglyorlik qilmoqda, bir nechta amal, jonglyor
🤹🏻‍♀	1–2-teri turi, ayol, ayol jonglyorlik qilmoqda, ayol jonglyorlik qilmoqda: 1–2-teri turi, bir nechta amal, jonglyor
🤹🏼‍♀	3-teri turi, ayol, ayol jonglyorlik qilmoqda, ayol jonglyorlik qilmoqda: 3-teri turi, bir nechta amal, jonglyor
🤹🏽‍♀	4-teri turi, ayol, ayol jonglyorlik qilmoqda, ayol jonglyorlik qilmoqda: 4-teri turi, bir nechta amal, jonglyor
🤹🏾‍♀	5-teri turi, ayol, ayol jonglyorlik qilmoqda, ayol jonglyorlik qilmoqda: 5-teri turi, bir nechta amal, jonglyor
🤹🏿‍♀	6-teri turi, ayol, ayol jonglyorlik qilmoqda, ayol jonglyorlik qilmoqda: 6-teri turi, bir nechta amal, jonglyor
🧘	lotus holatidagi odam
🧘🏻	1–2-teri turi, lotus holatidagi odam, lotus holatidagi odam: 1–2-teri turi
🧘🏼	3-teri turi, lotus holatidagi odam, lotus holatidagi odam: 3-teri turi
🧘🏽	4-teri turi, lotus holatidagi odam, lotus holatidagi odam: 4-teri turi
🧘🏾	5-teri turi, lotus holatidagi odam, lotus holatidagi odam: 5-teri turi
🧘🏿	6-teri turi, lotus holatidagi odam, lotus holatidagi odam: 6-teri turi
🧘‍♂	lotus holatidagi erkak
🧘🏻‍♂	1–2-teri turi, lotus holatidagi erkak, lotus holatidagi erkak: 1–2-teri turi
🧘🏼‍♂	3-teri turi, lotus holatidagi erkak, lotus holatidagi erkak: 3-teri turi
🧘🏽‍♂	4-teri turi, lotus holatidagi erkak, lotus holatidagi erkak: 4-teri turi
🧘🏾‍♂	5-teri turi, lotus holatidagi erkak, lotus holatidagi erkak: 5-teri turi
🧘🏿‍♂	6-teri turi, lotus holatidagi erkak, lotus holatidagi erkak: 6-teri turi
🧘‍♀	lotus holatidagi ayol
🧘🏻‍♀	1–2-teri turi, lotus holatidagi ayol, lotus holatidagi ayol: 1–2-teri turi
🧘🏼‍♀	3-teri turi, lotus holatidagi ayol, lotus holatidagi ayol: 3-teri turi
🧘🏽‍♀	4-teri turi, lotus holatidagi ayol, lotus holatidagi ayol: 4-teri turi
🧘🏾‍♀	5-teri turi, lotus holatidagi ayol, lotus holatidagi ayol: 5-teri turi
🧘🏿‍♀	6-teri turi, lotus holatidagi ayol, lotus holatidagi ayol: 6-teri turi
🛀	hammom qilayotgan kishi, tos, vanna
🛀🏻	1–2-teri turi, hammom qilayotgan kishi, hammom qilayotgan kishi: 1–2-teri turi, tos, vanna
🛀🏼	3-teri turi, hammom qilayotgan kishi, hammom qilayotgan kishi: 3-teri turi, tos, vanna
🛀🏽	4-teri turi, hammom qilayotgan kishi, hammom qilayotgan kishi: 4-teri turi, tos, vanna
🛀🏾	5-teri turi, hammom qilayotgan kishi, hammom qilayotgan kishi: 5-teri turi, tos, vanna
🛀🏿	6-teri turi, hammom qilayotgan kishi, hammom qilayotgan kishi: 6-teri turi, tos, vanna
🛌	karavotda yotgan kishi, mehmonxona, uxlash, uyqu
🛌🏻	1–2-teri turi, karavotda yotgan kishi, karavotda yotgan kishi: 1–2-teri turi, mehmonxona, uxlash, uyqu
🛌🏼	3-teri turi, karavotda yotgan kishi, karavotda yotgan kishi: 3-teri turi, mehmonxona, uxlash, uyqu
🛌🏽	4-teri turi, karavotda yotgan kishi, karavotda yotgan kishi: 4-teri turi, mehmonxona, uxlash, uyqu
🛌🏾	5-teri turi, karavotda yotgan kishi, karavotda yotgan kishi: 5-teri turi, mehmonxona, uxlash, uyqu
🛌🏿	6-teri turi, karavotda yotgan kishi, karavotda yotgan kishi: 6-teri turi, mehmonxona, uxlash, uyqu
🧑‍🤝‍🧑	juftlik, odam, qoʻl, qoʻl ushlashib turgan odamlar, ushlab
🧑🏻‍🤝‍🧑🏻	1–2-teri turi, juftlik, odam, qoʻl, qoʻl ushlashib turgan odamlar, qoʻl ushlashib turgan odamlar: 1–2-teri turi, ushlab
