😀	arc, nevetés, nevető arc
🏌️	golf, golfozó, golfütő, labda
🏌🏻	golf, golfozó, golfozó: világos bőrtónus, golfütő, labda, világos bőrtónus
🏌🏼	golf, golfozó, golfozó: közepesen világos bőrtónus, golfütő, közepesen világos bőrtónus, labda
🏌🏽	golf, golfozó, golfozó: közepes bőrtónus, golfütő, közepes bőrtónus, labda
🏌🏾	golf, golfozó, golfozó: közepesen sötét bőrtónus, golfütő, közepesen sötét bőrtónus, labda
🏌🏿	golf, golfozó, golfozó: sötét bőrtónus, golfütő, labda, sötét bőrtónus
🏌‍♂	férfi, golf, golfozó férfi
🏌🏻‍♂	férfi, golf, golfozó férfi, golfozó férfi: világos bőrtónus, világos bőrtónus
🏌🏼‍♂	férfi, golf, golfozó férfi, golfozó férfi: közepesen világos bőrtónus, közepesen világos bőrtónus
🏌🏽‍♂	férfi, golf, golfozó férfi, golfozó férfi: közepes bőrtónus, közepes bőrtónus
🏌🏾‍♂	férfi, golf, golfozó férfi, golfozó férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🏌🏿‍♂	férfi, golf, golfozó férfi, golfozó férfi: sötét bőrtónus, sötét bőrtónus
🏌‍♀	golf, golfozó nő, nő
🏌🏻‍♀	golf, golfozó nő, golfozó nő: világos bőrtónus, nő, világos bőrtónus
🏌🏼‍♀	golf, golfozó nő, golfozó nő: közepesen világos bőrtónus, közepesen világos bőrtónus, nő
🏌🏽‍♀	golf, golfozó nő, golfozó nő: közepes bőrtónus, közepes bőrtónus, nő
🏌🏾‍♀	golf, golfozó nő, golfozó nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nő
🏌🏿‍♀	golf, golfozó nő, golfozó nő: sötét bőrtónus, nő, sötét bőrtónus
🏄️	szörf, szörföző
🏄🏻	szörf, szörföző, szörföző: világos bőrtónus, világos bőrtónus
🏄🏼	közepesen világos bőrtónus, szörf, szörföző, szörföző: közepesen világos bőrtónus
🏄🏽	közepes bőrtónus, szörf, szörföző, szörföző: közepes bőrtónus
🏄🏾	közepesen sötét bőrtónus, szörf, szörföző, szörföző: közepesen sötét bőrtónus
🏄🏿	szörf, szörföző, szörföző: sötét bőrtónus, sötét bőrtónus
🏄‍♂	férfi, szörf, szörföző férfi
🏄🏻‍♂	férfi, szörf, szörföző férfi, szörföző férfi: világos bőrtónus, világos bőrtónus
🏄🏼‍♂	férfi, közepesen világos bőrtónus, szörf, szörföző férfi, szörföző férfi: közepesen világos bőrtónus
🏄🏽‍♂	férfi, közepes bőrtónus, szörf, szörföző férfi, szörföző férfi: közepes bőrtónus
🏄🏾‍♂	férfi, közepesen sötét bőrtónus, szörf, szörföző férfi, szörföző férfi: közepesen sötét bőrtónus
🏄🏿‍♂	férfi, szörf, szörföző férfi, szörföző férfi: sötét bőrtónus, sötét bőrtónus
🏄‍♀	nő, szörf, szörföző nő
🏄🏻‍♀	nő, szörf, szörföző nő, szörföző nő: világos bőrtónus, világos bőrtónus
🏄🏼‍♀	közepesen világos bőrtónus, nő, szörf, szörföző nő, szörföző nő: közepesen világos bőrtónus
🏄🏽‍♀	közepes bőrtónus, nő, szörf, szörföző nő, szörföző nő: közepes bőrtónus
🏄🏾‍♀	közepesen sötét bőrtónus, nő, szörf, szörföző nő, szörföző nő: közepesen sötét bőrtónus
🏄🏿‍♀	nő, szörf, szörföző nő, szörföző nő: sötét bőrtónus, sötét bőrtónus
🚣	evező ember, vízi jármű
🚣🏻	evező ember, evező ember: világos bőrtónus, világos bőrtónus, vízi jármű
🚣🏼	evező ember, evező ember: közepesen világos bőrtónus, közepesen világos bőrtónus, vízi jármű
🚣🏽	evező ember, evező ember: közepes bőrtónus, közepes bőrtónus, vízi jármű
🚣🏾	evező ember, evező ember: közepesen sötét bőrtónus, közepesen sötét bőrtónus, vízi jármű
🚣🏿	evező ember, evező ember: sötét bőrtónus, sötét bőrtónus, vízi jármű
🚣‍♂	csónak, evezés, evező férfi, férfi
🚣🏻‍♂	csónak, evezés, evező férfi, evező férfi: világos bőrtónus, férfi, világos bőrtónus
🚣🏼‍♂	csónak, evezés, evező férfi, evező férfi: közepesen világos bőrtónus, férfi, közepesen világos bőrtónus
🚣🏽‍♂	csónak, evezés, evező férfi, evező férfi: közepes bőrtónus, férfi, közepes bőrtónus
🚣🏾‍♂	csónak, evezés, evező férfi, evező férfi: közepesen sötét bőrtónus, férfi, közepesen sötét bőrtónus
🚣🏿‍♂	csónak, evezés, evező férfi, evező férfi: sötét bőrtónus, férfi, sötét bőrtónus
🚣‍♀	csónak, evezés, evező nő, nő
🚣🏻‍♀	csónak, evezés, evező nő, evező nő: világos bőrtónus, nő, világos bőrtónus
🚣🏼‍♀	csónak, evezés, evező nő, evező nő: közepesen világos bőrtónus, közepesen világos bőrtónus, nő
🚣🏽‍♀	csónak, evezés, evező nő, evező nő: közepes bőrtónus, közepes bőrtónus, nő
🚣🏾‍♀	csónak, evezés, evező nő, evező nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nő
🚣🏿‍♀	csónak, evezés, evező nő, evező nő: sötét bőrtónus, nő, sötét bőrtónus
🏊️	úszás, úszó
🏊🏻	világos bőrtónus, úszás, úszó, úszó: világos bőrtónus
🏊🏼	közepesen világos bőrtónus, úszás, úszó, úszó: közepesen világos bőrtónus
🏊🏽	közepes bőrtónus, úszás, úszó, úszó: közepes bőrtónus
🏊🏾	közepesen sötét bőrtónus, úszás, úszó, úszó: közepesen sötét bőrtónus
🏊🏿	sötét bőrtónus, úszás, úszó, úszó: sötét bőrtónus
🏊‍♂	férfi, úszás, úszó, úszó férfi
🏊🏻‍♂	férfi, világos bőrtónus, úszás, úszó, úszó férfi: világos bőrtónus
🏊🏼‍♂	férfi, közepesen világos bőrtónus, úszás, úszó, úszó férfi: közepesen világos bőrtónus
🏊🏽‍♂	férfi, közepes bőrtónus, úszás, úszó, úszó férfi: közepes bőrtónus
🏊🏾‍♂	férfi, közepesen sötét bőrtónus, úszás, úszó, úszó férfi: közepesen sötét bőrtónus
🏊🏿‍♂	férfi, sötét bőrtónus, úszás, úszó, úszó férfi: sötét bőrtónus
🏊‍♀	nő, úszás, úszó, úszó nő
🏊🏻‍♀	nő, világos bőrtónus, úszás, úszó, úszó nő: világos bőrtónus
🏊🏼‍♀	közepesen világos bőrtónus, nő, úszás, úszó, úszó nő: közepesen világos bőrtónus
🏊🏽‍♀	közepes bőrtónus, nő, úszás, úszó, úszó nő: közepes bőrtónus
🏊🏾‍♀	közepesen sötét bőrtónus, nő, úszás, úszó, úszó nő: közepesen sötét bőrtónus
🏊🏿‍♀	nő, sötét bőrtónus, úszás, úszó, úszó nő: sötét bőrtónus
⛹️	ember labdával, labda, sportoló
⛹🏻	ember labdával, ember labdával: világos bőrtónus, labda, sportoló, világos bőrtónus
⛹🏼	ember labdával, ember labdával: közepesen világos bőrtónus, közepesen világos bőrtónus, labda, sportoló
⛹🏽	ember labdával, ember labdával: közepes bőrtónus, közepes bőrtónus, labda, sportoló
⛹🏾	ember labdával, ember labdával: közepesen sötét bőrtónus, közepesen sötét bőrtónus, labda, sportoló
⛹🏿	ember labdával, ember labdával: sötét bőrtónus, labda, sportoló, sötét bőrtónus
⛹‍♂	férfi, férfi labdával, labda
⛹🏻‍♂	férfi, férfi labdával, férfi labdával: világos bőrtónus, labda, világos bőrtónus
⛹🏼‍♂	férfi, férfi labdával, férfi labdával: közepesen világos bőrtónus, közepesen világos bőrtónus, labda
⛹🏽‍♂	férfi, férfi labdával, férfi labdával: közepes bőrtónus, közepes bőrtónus, labda
⛹🏾‍♂	férfi, férfi labdával, férfi labdával: közepesen sötét bőrtónus, közepesen sötét bőrtónus, labda
⛹🏿‍♂	férfi, férfi labdával, férfi labdával: sötét bőrtónus, labda, sötét bőrtónus
⛹‍♀	labda, nő, nő labdával
⛹🏻‍♀	labda, nő, nő labdával, nő labdával: világos bőrtónus, világos bőrtónus
⛹🏼‍♀	közepesen világos bőrtónus, labda, nő, nő labdával, nő labdával: közepesen világos bőrtónus
⛹🏽‍♀	közepes bőrtónus, labda, nő, nő labdával, nő labdával: közepes bőrtónus
⛹🏾‍♀	közepesen sötét bőrtónus, labda, nő, nő labdával, nő labdával: közepesen sötét bőrtónus
⛹🏿‍♀	labda, nő, nő labdával, nő labdával: sötét bőrtónus, sötét bőrtónus
🏋️	sportoló, súly, súlyemelő
🏋🏻	sportoló, súly, súlyemelő, súlyemelő: világos bőrtónus, világos bőrtónus
🏋🏼	közepesen világos bőrtónus, sportoló, súly, súlyemelő, súlyemelő: közepesen világos bőrtónus
🏋🏽	közepes bőrtónus, sportoló, súly, súlyemelő, súlyemelő: közepes bőrtónus
🏋🏾	közepesen sötét bőrtónus, sportoló, súly, súlyemelő, súlyemelő: közepesen sötét bőrtónus
🏋🏿	sportoló, sötét bőrtónus, súly, súlyemelő, súlyemelő: sötét bőrtónus
🏋‍♂	férfi, súly, súlyemelő, súlyemelő férfi
🏋🏻‍♂	férfi, súly, súlyemelő, súlyemelő férfi: világos bőrtónus, világos bőrtónus
🏋🏼‍♂	férfi, közepesen világos bőrtónus, súly, súlyemelő, súlyemelő férfi: közepesen világos bőrtónus
🏋🏽‍♂	férfi, közepes bőrtónus, súly, súlyemelő, súlyemelő férfi: közepes bőrtónus
🏋🏾‍♂	férfi, közepesen sötét bőrtónus, súly, súlyemelő, súlyemelő férfi: közepesen sötét bőrtónus
🏋🏿‍♂	férfi, sötét bőrtónus, súly, súlyemelő, súlyemelő férfi: sötét bőrtónus
🏋‍♀	nő, súly, súlyemelő, súlyemelő nő
🏋🏻‍♀	nő, súly, súlyemelő, súlyemelő nő: világos bőrtónus, világos bőrtónus
🏋🏼‍♀	közepesen világos bőrtónus, nő, súly, súlyemelő, súlyemelő nő: közepesen világos bőrtónus
🏋🏽‍♀	közepes bőrtónus, nő, súly, súlyemelő, súlyemelő nő: közepes bőrtónus
🏋🏾‍♀	közepesen sötét bőrtónus, nő, súly, súlyemelő, súlyemelő nő: közepesen sötét bőrtónus
🏋🏿‍♀	nő, sötét bőrtónus, súly, súlyemelő, súlyemelő nő: sötét bőrtónus
🚴	bicikli, biciklista, kerékpár, kerékpáros, sportoló
🚴🏻	bicikli, biciklista, kerékpár, kerékpáros, kerékpáros: világos bőrtónus, sportoló, világos bőrtónus
🚴🏼	bicikli, biciklista, kerékpár, kerékpáros, kerékpáros: közepesen világos bőrtónus, közepesen világos bőrtónus, sportoló
🚴🏽	bicikli, biciklista, kerékpár, kerékpáros, kerékpáros: közepes bőrtónus, közepes bőrtónus, sportoló
🚴🏾	bicikli, biciklista, kerékpár, kerékpáros, kerékpáros: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sportoló
🚴🏿	bicikli, biciklista, kerékpár, kerékpáros, kerékpáros: sötét bőrtónus, sportoló, sötét bőrtónus
🚴‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi
🚴🏻‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi: világos bőrtónus, világos bőrtónus
🚴🏼‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi: közepesen világos bőrtónus, közepesen világos bőrtónus
🚴🏽‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi: közepes bőrtónus, közepes bőrtónus
🚴🏾‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🚴🏿‍♂	bicaj, bicajos, férfi, kerékpár, kerékpáros, kerékpáros férfi: sötét bőrtónus, sötét bőrtónus
🚴‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő, nő
🚴🏻‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő: világos bőrtónus, nő, világos bőrtónus
🚴🏼‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő: közepesen világos bőrtónus, közepesen világos bőrtónus, nő
🚴🏽‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő: közepes bőrtónus, közepes bőrtónus, nő
🚴🏾‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nő
🚴🏿‍♀	bicaj, bicajos, kerékpár, kerékpáros, kerékpáros nő: sötét bőrtónus, nő, sötét bőrtónus
🚵	bicikli, biciklista, hegy, hegyikerékpáros, kerékpár, sportoló
🚵🏻	bicikli, biciklista, hegy, hegyikerékpáros, hegyikerékpáros: világos bőrtónus, kerékpár, sportoló, világos bőrtónus
🚵🏼	bicikli, biciklista, hegy, hegyikerékpáros, hegyikerékpáros: közepesen világos bőrtónus, kerékpár, közepesen világos bőrtónus, sportoló
🚵🏽	bicikli, biciklista, hegy, hegyikerékpáros, hegyikerékpáros: közepes bőrtónus, kerékpár, közepes bőrtónus, sportoló
🚵🏾	bicikli, biciklista, hegy, hegyikerékpáros, hegyikerékpáros: közepesen sötét bőrtónus, kerékpár, közepesen sötét bőrtónus, sportoló
🚵🏿	bicikli, biciklista, hegy, hegyikerékpáros, hegyikerékpáros: sötét bőrtónus, kerékpár, sportoló, sötét bőrtónus
🚵‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, kerékpár, kerékpáros
🚵🏻‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, hegyikerékpáros férfi: világos bőrtónus, kerékpár, kerékpáros, világos bőrtónus
🚵🏼‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, hegyikerékpáros férfi: közepesen világos bőrtónus, kerékpár, kerékpáros, közepesen világos bőrtónus
🚵🏽‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, hegyikerékpáros férfi: közepes bőrtónus, kerékpár, kerékpáros, közepes bőrtónus
🚵🏾‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, hegyikerékpáros férfi: közepesen sötét bőrtónus, kerékpár, kerékpáros, közepesen sötét bőrtónus
🚵🏿‍♂	bicaj, bicajos, férfi, hegy, hegyikerékpáros férfi, hegyikerékpáros férfi: sötét bőrtónus, kerékpár, kerékpáros, sötét bőrtónus
🚵‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, kerékpár, kerékpáros, nő
🚵🏻‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, hegyikerékpáros nő: világos bőrtónus, kerékpár, kerékpáros, nő, világos bőrtónus
🚵🏼‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepesen világos bőrtónus, kerékpár, kerékpáros, közepesen világos bőrtónus, nő
🚵🏽‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepes bőrtónus, kerékpár, kerékpáros, közepes bőrtónus, nő
🚵🏾‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepesen sötét bőrtónus, kerékpár, kerékpáros, közepesen sötét bőrtónus, nő
🚵🏿‍♀	bicaj, bicajos, hegy, hegyikerékpáros nő, hegyikerékpáros nő: sötét bőrtónus, kerékpár, kerékpáros, nő, sötét bőrtónus
🤸	cigánykerék, sport, sportoló, torna
🤸🏻	cigánykerék, cigánykerék: világos bőrtónus, sport, sportoló, torna, világos bőrtónus
🤸🏼	cigánykerék, cigánykerék: közepesen világos bőrtónus, közepesen világos bőrtónus, sport, sportoló, torna
🤸🏽	cigánykerék, cigánykerék: közepes bőrtónus, közepes bőrtónus, sport, sportoló, torna
🤸🏾	cigánykerék, cigánykerék: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sport, sportoló, torna
🤸🏿	cigánykerék, cigánykerék: sötét bőrtónus, sport, sportoló, sötét bőrtónus, torna
🤸‍♂	cigánykerekező férfi, cigánykerék, férfi, sport, torna
🤸🏻‍♂	cigánykerekező férfi, cigánykerekező férfi: világos bőrtónus, cigánykerék, férfi, sport, torna, világos bőrtónus
🤸🏼‍♂	cigánykerekező férfi, cigánykerekező férfi: közepesen világos bőrtónus, cigánykerék, férfi, közepesen világos bőrtónus, sport, torna
🤸🏽‍♂	cigánykerekező férfi, cigánykerekező férfi: közepes bőrtónus, cigánykerék, férfi, közepes bőrtónus, sport, torna
🤸🏾‍♂	cigánykerekező férfi, cigánykerekező férfi: közepesen sötét bőrtónus, cigánykerék, férfi, közepesen sötét bőrtónus, sport, torna
🤸🏿‍♂	cigánykerekező férfi, cigánykerekező férfi: sötét bőrtónus, cigánykerék, férfi, sport, sötét bőrtónus, torna
🤸‍♀	cigánykerekező nő, cigánykerék, nő, sport, torna
🤸🏻‍♀	cigánykerekező nő, cigánykerekező nő: világos bőrtónus, cigánykerék, nő, sport, torna, világos bőrtónus
🤸🏼‍♀	cigánykerekező nő, cigánykerekező nő: közepesen világos bőrtónus, cigánykerék, közepesen világos bőrtónus, nő, sport, torna
