😀	išsišiepti, išsišiepęs veidas, veidas
🚴🏿‍♀	dviratininkė, dviratininkė: itin tamsios odos, dviratis, itin tamsios odos, moteris, važinėjimas dviračiu
🚵	dviratininkas, dviratis, kalnas, kalnų dviratininkas
🚵🏻	dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: šviesios odos, šviesios odos
🚵🏼	dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: vidutinio gymio, vidutinio gymio
🚵🏽	dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: rusvos odos, rusvos odos
🚵🏾	dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: tamsios odos, tamsios odos
🚵🏿	dviratininkas, dviratis, itin tamsios odos, kalnas, kalnų dviratininkas, kalnų dviratininkas: itin tamsios odos
🚵‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, važinėjimas dviračiu, vyras
🚵🏻‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: šviesios odos, važinėjimas dviračiu, vyras, šviesios odos
🚵🏼‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: vidutinio gymio, važinėjimas dviračiu, vidutinio gymio, vyras
🚵🏽‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: rusvos odos, rusvos odos, važinėjimas dviračiu, vyras
🚵🏾‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: tamsios odos, tamsios odos, važinėjimas dviračiu, vyras
🚵🏿‍♂	dviratininkas, dviratis, itin tamsios odos, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: itin tamsios odos, važinėjimas dviračiu, vyras
🚵‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, moteris, važinėjimas dviračiu
🚵🏻‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: šviesios odos, moteris, važinėjimas dviračiu, šviesios odos
🚵🏼‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: vidutinio gymio, moteris, važinėjimas dviračiu, vidutinio gymio
🚵🏽‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: rusvos odos, moteris, rusvos odos, važinėjimas dviračiu
🚵🏾‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: tamsios odos, moteris, tamsios odos, važinėjimas dviračiu
🚵🏿‍♀	dviratininkė, dviratis, itin tamsios odos, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: itin tamsios odos, moteris, važinėjimas dviračiu
🤸	gimnastika, persivertimas, persivertimas šonu
🤸🏻	gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: šviesios odos, šviesios odos
🤸🏼	gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: vidutinio gymio, vidutinio gymio
🤸🏽	gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: rusvos odos, rusvos odos
🤸🏾	gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: tamsios odos, tamsios odos
🤸🏿	gimnastika, itin tamsios odos, persivertimas, persivertimas šonu, persivertimas šonu: itin tamsios odos
🤸‍♂	gimnastika, suktukas, vyras, vyras daro suktuką
🤸🏻‍♂	gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: šviesios odos, šviesios odos
🤸🏼‍♂	gimnastika, suktukas, vidutinio gymio, vyras, vyras daro suktuką, vyras daro suktuką: vidutinio gymio
🤸🏽‍♂	gimnastika, rusvos odos, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: rusvos odos
🤸🏾‍♂	gimnastika, suktukas, tamsios odos, vyras, vyras daro suktuką, vyras daro suktuką: tamsios odos
🤸🏿‍♂	gimnastika, itin tamsios odos, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: itin tamsios odos
🤸‍♀	gimnastika, moteris, moteris daro suktuką, suktukas
🤸🏻‍♀	gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: šviesios odos, suktukas, šviesios odos
🤸🏼‍♀	gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: vidutinio gymio, suktukas, vidutinio gymio
🤸🏽‍♀	gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: rusvos odos, rusvos odos, suktukas
🤸🏾‍♀	gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: tamsios odos, suktukas, tamsios odos
🤸🏿‍♀	gimnastika, itin tamsios odos, moteris, moteris daro suktuką, moteris daro suktuką: itin tamsios odos, suktukas
🤼	imtynininkai, imtynininkas, imtynės
🤼‍♂	imtynės, vyrai, vyrų imtynės
🤼‍♀	imtynės, moteris, moterų imtynės
🤽	vandensvydis, vanduo
🤽🏻	vandensvydis, vandensvydis: šviesios odos, vanduo, šviesios odos
🤽🏼	vandensvydis, vandensvydis: vidutinio gymio, vanduo, vidutinio gymio
🤽🏽	rusvos odos, vandensvydis, vandensvydis: rusvos odos, vanduo
🤽🏾	tamsios odos, vandensvydis, vandensvydis: tamsios odos, vanduo
🤽🏿	itin tamsios odos, vandensvydis, vandensvydis: itin tamsios odos, vanduo
🤽‍♂	vandensvydis, vandensvydžio žaidėjas, vyras
🤽🏻‍♂	vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: šviesios odos, vyras, šviesios odos
🤽🏼‍♂	vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: vidutinio gymio, vidutinio gymio, vyras
🤽🏽‍♂	rusvos odos, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: rusvos odos, vyras
🤽🏾‍♂	tamsios odos, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: tamsios odos, vyras
🤽🏿‍♂	itin tamsios odos, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: itin tamsios odos, vyras
🤽‍♀	moteris, vandensvydis, vandensvydžio žaidėja
🤽🏻‍♀	moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: šviesios odos, šviesios odos
🤽🏼‍♀	moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: vidutinio gymio, vidutinio gymio
🤽🏽‍♀	moteris, rusvos odos, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: rusvos odos
🤽🏾‍♀	moteris, tamsios odos, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: tamsios odos
🤽🏿‍♀	itin tamsios odos, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: itin tamsios odos
🤾	kamuolys, rankinis
🤾🏻	kamuolys, rankinis, rankinis: šviesios odos, šviesios odos
🤾🏼	kamuolys, rankinis, rankinis: vidutinio gymio, vidutinio gymio
🤾🏽	kamuolys, rankinis, rankinis: rusvos odos, rusvos odos
🤾🏾	kamuolys, rankinis, rankinis: tamsios odos, tamsios odos
🤾🏿	itin tamsios odos, kamuolys, rankinis, rankinis: itin tamsios odos
🤾‍♂	rankininkas, rankinis, vyras
🤾🏻‍♂	rankininkas, rankininkas: šviesios odos, rankinis, vyras, šviesios odos
🤾🏼‍♂	rankininkas, rankininkas: vidutinio gymio, rankinis, vidutinio gymio, vyras
🤾🏽‍♂	rankininkas, rankininkas: rusvos odos, rankinis, rusvos odos, vyras
🤾🏾‍♂	rankininkas, rankininkas: tamsios odos, rankinis, tamsios odos, vyras
🤾🏿‍♂	itin tamsios odos, rankininkas, rankininkas: itin tamsios odos, rankinis, vyras
🤾‍♀	moteris, rankininkė, rankinis
🤾🏻‍♀	moteris, rankininkė, rankininkė: šviesios odos, rankinis, šviesios odos
🤾🏼‍♀	moteris, rankininkė, rankininkė: vidutinio gymio, rankinis, vidutinio gymio
🤾🏽‍♀	moteris, rankininkė, rankininkė: rusvos odos, rankinis, rusvos odos
🤾🏾‍♀	moteris, rankininkė, rankininkė: tamsios odos, rankinis, tamsios odos
🤾🏿‍♀	itin tamsios odos, moteris, rankininkė, rankininkė: itin tamsios odos, rankinis
🤹	pusiausvyra, reakcija, įgūdis, žongliravimas, žongliruoti
🤹🏻	pusiausvyra, reakcija, įgūdis, šviesios odos, žongliravimas, žongliravimas: šviesios odos, žongliruoti
🤹🏼	pusiausvyra, reakcija, vidutinio gymio, įgūdis, žongliravimas, žongliravimas: vidutinio gymio, žongliruoti
🤹🏽	pusiausvyra, reakcija, rusvos odos, įgūdis, žongliravimas, žongliravimas: rusvos odos, žongliruoti
🤹🏾	pusiausvyra, reakcija, tamsios odos, įgūdis, žongliravimas, žongliravimas: tamsios odos, žongliruoti
🤹🏿	itin tamsios odos, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: itin tamsios odos, žongliruoti
🤹‍♂	sudėtinga, vyras, žongliravimas, žongliruotojas
🤹🏻‍♂	sudėtinga, vyras, šviesios odos, žongliravimas, žongliruotojas, žongliruotojas: šviesios odos
🤹🏼‍♂	sudėtinga, vidutinio gymio, vyras, žongliravimas, žongliruotojas, žongliruotojas: vidutinio gymio
🤹🏽‍♂	rusvos odos, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: rusvos odos
🤹🏾‍♂	sudėtinga, tamsios odos, vyras, žongliravimas, žongliruotojas, žongliruotojas: tamsios odos
🤹🏿‍♂	itin tamsios odos, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: itin tamsios odos
🤹‍♀	moteris, sudėtinga, žongliravimas, žongliruotoja
🤹🏻‍♀	moteris, sudėtinga, šviesios odos, žongliravimas, žongliruotoja, žongliruotoja: šviesios odos
🤹🏼‍♀	moteris, sudėtinga, vidutinio gymio, žongliravimas, žongliruotoja, žongliruotoja: vidutinio gymio
🤹🏽‍♀	moteris, rusvos odos, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: rusvos odos
🤹🏾‍♀	moteris, sudėtinga, tamsios odos, žongliravimas, žongliruotoja, žongliruotoja: tamsios odos
🤹🏿‍♀	itin tamsios odos, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: itin tamsios odos
🧘	joga, meditacija, žmogus lotoso pozoje
🧘🏻	joga, meditacija, šviesios odos, žmogus lotoso pozoje, žmogus lotoso pozoje: šviesios odos
🧘🏼	joga, meditacija, vidutinio gymio, žmogus lotoso pozoje, žmogus lotoso pozoje: vidutinio gymio
🧘🏽	joga, meditacija, rusvos odos, žmogus lotoso pozoje, žmogus lotoso pozoje: rusvos odos
🧘🏾	joga, meditacija, tamsios odos, žmogus lotoso pozoje, žmogus lotoso pozoje: tamsios odos
🧘🏿	itin tamsios odos, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: itin tamsios odos
🧘‍♂	joga, meditacija, vyras lotoso pozoje
🧘🏻‍♂	joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: šviesios odos, šviesios odos
🧘🏼‍♂	joga, meditacija, vidutinio gymio, vyras lotoso pozoje, vyras lotoso pozoje: vidutinio gymio
🧘🏽‍♂	joga, meditacija, rusvos odos, vyras lotoso pozoje, vyras lotoso pozoje: rusvos odos
🧘🏾‍♂	joga, meditacija, tamsios odos, vyras lotoso pozoje, vyras lotoso pozoje: tamsios odos
🧘🏿‍♂	itin tamsios odos, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: itin tamsios odos
🧘‍♀	joga, meditacija, moteris lotoso pozoje
🧘🏻‍♀	joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: šviesios odos, šviesios odos
🧘🏼‍♀	joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: vidutinio gymio, vidutinio gymio
🧘🏽‍♀	joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: rusvos odos, rusvos odos
🧘🏾‍♀	joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: tamsios odos, tamsios odos
🧘🏿‍♀	itin tamsios odos, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: itin tamsios odos
🛀	vonia, žmogus prausiasi vonioje
🛀🏻	vonia, šviesios odos, žmogus prausiasi vonioje, žmogus prausiasi vonioje: šviesios odos
🛀🏼	vidutinio gymio, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: vidutinio gymio
🛀🏽	rusvos odos, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: rusvos odos
🛀🏾	tamsios odos, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: tamsios odos
🛀🏿	itin tamsios odos, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: itin tamsios odos
🛌	miegoti, viešbutis, žmogus lovoje
🛌🏻	miegoti, viešbutis, šviesios odos, žmogus lovoje, žmogus lovoje: šviesios odos
🛌🏼	miegoti, vidutinio gymio, viešbutis, žmogus lovoje, žmogus lovoje: vidutinio gymio
🛌🏽	miegoti, rusvos odos, viešbutis, žmogus lovoje, žmogus lovoje: rusvos odos
🛌🏾	miegoti, tamsios odos, viešbutis, žmogus lovoje, žmogus lovoje: tamsios odos
🛌🏿	itin tamsios odos, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: itin tamsios odos
🧑‍🤝‍🧑	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, susikibusios rankos
🧑🏻‍🤝‍🧑🏻	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: šviesios odos, susikibusios rankos, šviesios odos
🧑🏼‍🤝‍🧑🏻	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: vidutinio gymio šviesios odos, susikibusios rankos, vidutinio gymio, šviesios odos
🧑🏼‍🤝‍🧑🏼	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: vidutinio gymio, susikibusios rankos, vidutinio gymio
🧑🏽‍🤝‍🧑🏻	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: rusvos odos šviesios odos, rusvos odos, susikibusios rankos, šviesios odos
🧑🏽‍🤝‍🧑🏼	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: rusvos odos vidutinio gymio, rusvos odos, susikibusios rankos, vidutinio gymio
🧑🏽‍🤝‍🧑🏽	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: rusvos odos, rusvos odos, susikibusios rankos
🧑🏾‍🤝‍🧑🏻	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: tamsios odos šviesios odos, susikibusios rankos, tamsios odos, šviesios odos
🧑🏾‍🤝‍🧑🏼	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: tamsios odos vidutinio gymio, susikibusios rankos, tamsios odos, vidutinio gymio
🧑🏾‍🤝‍🧑🏽	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: tamsios odos rusvos odos, rusvos odos, susikibusios rankos, tamsios odos
🧑🏾‍🤝‍🧑🏾	asmuo, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: tamsios odos, susikibusios rankos, tamsios odos
🧑🏿‍🤝‍🧑🏻	asmuo, itin tamsios odos, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: itin tamsios odos šviesios odos, susikibusios rankos, šviesios odos
🧑🏿‍🤝‍🧑🏼	asmuo, itin tamsios odos, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: itin tamsios odos vidutinio gymio, susikibusios rankos, vidutinio gymio
🧑🏿‍🤝‍🧑🏽	asmuo, itin tamsios odos, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: itin tamsios odos rusvos odos, rusvos odos, susikibusios rankos
🧑🏿‍🤝‍🧑🏾	asmuo, itin tamsios odos, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: itin tamsios odos tamsios odos, susikibusios rankos, tamsios odos
🧑🏿‍🤝‍🧑🏿	asmuo, itin tamsios odos, laikyti, pora, ranka, rankomis susikibę žmonės, rankomis susikibę žmonės: itin tamsios odos, susikibusios rankos
👭	dvi moterys, susikibusios už rankų, laikyti, moteris, pora, ranka
👭🏻	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: šviesios odos, laikyti, moteris, pora, ranka, šviesios odos
👩🏼‍🤝‍👩🏻	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: vidutinio gymio šviesios odos, laikyti, moteris, pora, ranka, vidutinio gymio, šviesios odos
👭🏼	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: vidutinio gymio, laikyti, moteris, pora, ranka, vidutinio gymio
👩🏽‍🤝‍👩🏻	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: rusvos odos šviesios odos, laikyti, moteris, pora, ranka, rusvos odos, šviesios odos
👩🏽‍🤝‍👩🏼	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: rusvos odos vidutinio gymio, laikyti, moteris, pora, ranka, rusvos odos, vidutinio gymio
👭🏽	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: rusvos odos, laikyti, moteris, pora, ranka, rusvos odos
👩🏾‍🤝‍👩🏻	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: tamsios odos šviesios odos, laikyti, moteris, pora, ranka, tamsios odos, šviesios odos
👩🏾‍🤝‍👩🏼	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: tamsios odos vidutinio gymio, laikyti, moteris, pora, ranka, tamsios odos, vidutinio gymio
👩🏾‍🤝‍👩🏽	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: tamsios odos rusvos odos, laikyti, moteris, pora, ranka, rusvos odos, tamsios odos
👭🏾	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: tamsios odos, laikyti, moteris, pora, ranka, tamsios odos
👩🏿‍🤝‍👩🏻	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: itin tamsios odos šviesios odos, itin tamsios odos, laikyti, moteris, pora, ranka, šviesios odos
👩🏿‍🤝‍👩🏼	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: itin tamsios odos vidutinio gymio, itin tamsios odos, laikyti, moteris, pora, ranka, vidutinio gymio
👩🏿‍🤝‍👩🏽	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: itin tamsios odos rusvos odos, itin tamsios odos, laikyti, moteris, pora, ranka, rusvos odos
👩🏿‍🤝‍👩🏾	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: itin tamsios odos tamsios odos, itin tamsios odos, laikyti, moteris, pora, ranka, tamsios odos
👭🏿	dvi moterys, susikibusios už rankų, dvi moterys, susikibusios už rankų: itin tamsios odos, itin tamsios odos, laikyti, moteris, pora, ranka
👫	laikyti, moteris, pora, ranka, vyras, vyras ir moteris, susikibę už rankų
👫🏻	laikyti, moteris, pora, ranka, vyras, vyras ir moteris, susikibę už rankų, vyras ir moteris, susikibę už rankų: šviesios odos, šviesios odos
👩🏻‍🤝‍👨🏼	laikyti, moteris, pora, ranka, vidutinio gymio, vyras, vyras ir moteris, susikibę už rankų, vyras ir moteris, susikibę už rankų: šviesios odos vidutinio gymio, šviesios odos
👩🏻‍🤝‍👨🏽	laikyti, moteris, pora, ranka, rusvos odos, vyras, vyras ir moteris, susikibę už rankų, vyras ir moteris, susikibę už rankų: šviesios odos rusvos odos, šviesios odos
