😀	syrtarma, syrtarýan ýüz, ýüz
🧗🏼‍♀	dyrmaşyjy, dyrmaşýan zenan, dyrmaşýan zenan: orta açyk deri reňki, orta açyk deri reňki
🧗🏽‍♀	dyrmaşyjy, dyrmaşýan zenan, dyrmaşýan zenan: orta deri reňki, orta deri reňki
🧗🏾‍♀	dyrmaşyjy, dyrmaşýan zenan, dyrmaşýan zenan: orta goýy deri reňki, orta goýy deri reňki
🧗🏿‍♀	dyrmaşyjy, dyrmaşýan zenan, dyrmaşýan zenan: goýy deri reňki, goýy deri reňki
🤺	gylyç, gylyçlaşmak, gylyçlaşýan, gylyçlaşýan adam
🏇	at, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at
🏇🏻	at, açyk deri reňki, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at, çapyşýan at: açyk deri reňki
🏇🏼	at, orta açyk deri reňki, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at, çapyşýan at: orta açyk deri reňki
🏇🏽	at, orta deri reňki, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at, çapyşýan at: orta deri reňki
🏇🏾	at, orta goýy deri reňki, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at, çapyşýan at: orta goýy deri reňki
🏇🏿	at, goýy deri reňki, çapyksuwar, çapyşyk, çapyşyk aty, çapyşýan at, çapyşýan at: goýy deri reňki
⛷️	gar, lyža, lyžaçy
🏂️	gar, lyža, snoubord, snoubordçy
🏂🏻	açyk deri reňki, gar, lyža, snoubord, snoubordçy, snoubordçy: açyk deri reňki
🏂🏼	gar, lyža, orta açyk deri reňki, snoubord, snoubordçy, snoubordçy: orta açyk deri reňki
🏂🏽	gar, lyža, orta deri reňki, snoubord, snoubordçy, snoubordçy: orta deri reňki
🏂🏾	gar, lyža, orta goýy deri reňki, snoubord, snoubordçy, snoubordçy: orta goýy deri reňki
🏂🏿	gar, goýy deri reňki, lyža, snoubord, snoubordçy, snoubordçy: goýy deri reňki
🏌️	golf, golf oýnaýan adam, top
🏌🏻	açyk deri reňki, golf, golf oýnaýan adam, golf oýnaýan adam: açyk deri reňki, top
🏌🏼	golf, golf oýnaýan adam, golf oýnaýan adam: orta açyk deri reňki, orta açyk deri reňki, top
🏌🏽	golf, golf oýnaýan adam, golf oýnaýan adam: orta deri reňki, orta deri reňki, top
🏌🏾	golf, golf oýnaýan adam, golf oýnaýan adam: orta goýy deri reňki, orta goýy deri reňki, top
🏌🏿	golf, golf oýnaýan adam, golf oýnaýan adam: goýy deri reňki, goýy deri reňki, top
🏌‍♂	erkek, golf, golf oýnaýan erkek
🏌🏻‍♂	açyk deri reňki, erkek, golf, golf oýnaýan erkek, golf oýnaýan erkek: açyk deri reňki
🏌🏼‍♂	erkek, golf, golf oýnaýan erkek, golf oýnaýan erkek: orta açyk deri reňki, orta açyk deri reňki
🏌🏽‍♂	erkek, golf, golf oýnaýan erkek, golf oýnaýan erkek: orta deri reňki, orta deri reňki
🏌🏾‍♂	erkek, golf, golf oýnaýan erkek, golf oýnaýan erkek: orta goýy deri reňki, orta goýy deri reňki
🏌🏿‍♂	erkek, golf, golf oýnaýan erkek, golf oýnaýan erkek: goýy deri reňki, goýy deri reňki
🏌‍♀	golf, golf oýnaýan zenan, zenan
🏌🏻‍♀	açyk deri reňki, golf, golf oýnaýan zenan, golf oýnaýan zenan: açyk deri reňki, zenan
🏌🏼‍♀	golf, golf oýnaýan zenan, golf oýnaýan zenan: orta açyk deri reňki, orta açyk deri reňki, zenan
🏌🏽‍♀	golf, golf oýnaýan zenan, golf oýnaýan zenan: orta deri reňki, orta deri reňki, zenan
🏌🏾‍♀	golf, golf oýnaýan zenan, golf oýnaýan zenan: orta goýy deri reňki, orta goýy deri reňki, zenan
🏌🏿‍♀	golf, golf oýnaýan zenan, golf oýnaýan zenan: goýy deri reňki, goýy deri reňki, zenan
🏄️	sörf edýän adam, sörfing
🏄🏻	açyk deri reňki, sörf edýän adam, sörf edýän adam: açyk deri reňki, sörfing
🏄🏼	orta açyk deri reňki, sörf edýän adam, sörf edýän adam: orta açyk deri reňki, sörfing
🏄🏽	orta deri reňki, sörf edýän adam, sörf edýän adam: orta deri reňki, sörfing
🏄🏾	orta goýy deri reňki, sörf edýän adam, sörf edýän adam: orta goýy deri reňki, sörfing
🏄🏿	goýy deri reňki, sörf edýän adam, sörf edýän adam: goýy deri reňki, sörfing
🏄‍♂	erkek, sörf edýän erkek, sörfing
🏄🏻‍♂	açyk deri reňki, erkek, sörf edýän erkek, sörf edýän erkek: açyk deri reňki, sörfing
🏄🏼‍♂	erkek, orta açyk deri reňki, sörf edýän erkek, sörf edýän erkek: orta açyk deri reňki, sörfing
🏄🏽‍♂	erkek, orta deri reňki, sörf edýän erkek, sörf edýän erkek: orta deri reňki, sörfing
🏄🏾‍♂	erkek, orta goýy deri reňki, sörf edýän erkek, sörf edýän erkek: orta goýy deri reňki, sörfing
🏄🏿‍♂	erkek, goýy deri reňki, sörf edýän erkek, sörf edýän erkek: goýy deri reňki, sörfing
🏄‍♀	serfing, sörf edýän zenan, zenan
🏄🏻‍♀	açyk deri reňki, serfing, sörf edýän zenan, sörf edýän zenan: açyk deri reňki, zenan
🏄🏼‍♀	orta açyk deri reňki, serfing, sörf edýän zenan, sörf edýän zenan: orta açyk deri reňki, zenan
🏄🏽‍♀	orta deri reňki, serfing, sörf edýän zenan, sörf edýän zenan: orta deri reňki, zenan
🏄🏾‍♀	orta goýy deri reňki, serfing, sörf edýän zenan, sörf edýän zenan: orta goýy deri reňki, zenan
🏄🏿‍♀	goýy deri reňki, serfing, sörf edýän zenan, sörf edýän zenan: goýy deri reňki, zenan
🚣	gaýyk, gaýyk kürekleýän adam, kürekli gaýyk
🚣🏻	açyk deri reňki, gaýyk, gaýyk kürekleýän adam, gaýyk kürekleýän adam: açyk deri reňki, kürekli gaýyk
🚣🏼	gaýyk, gaýyk kürekleýän adam, gaýyk kürekleýän adam: orta açyk deri reňki, kürekli gaýyk, orta açyk deri reňki
🚣🏽	gaýyk, gaýyk kürekleýän adam, gaýyk kürekleýän adam: orta deri reňki, kürekli gaýyk, orta deri reňki
🚣🏾	gaýyk, gaýyk kürekleýän adam, gaýyk kürekleýän adam: orta goýy deri reňki, kürekli gaýyk, orta goýy deri reňki
🚣🏿	gaýyk, gaýyk kürekleýän adam, gaýyk kürekleýän adam: goýy deri reňki, goýy deri reňki, kürekli gaýyk
🚣‍♂	erkek, gaýyk, gaýyk kürekleýän erkek, kürekli gaýyk
🚣🏻‍♂	açyk deri reňki, erkek, gaýyk, gaýyk kürekleýän erkek, gaýyk kürekleýän erkek: açyk deri reňki, kürekli gaýyk
🚣🏼‍♂	erkek, gaýyk, gaýyk kürekleýän erkek, gaýyk kürekleýän erkek: orta açyk deri reňki, kürekli gaýyk, orta açyk deri reňki
🚣🏽‍♂	erkek, gaýyk, gaýyk kürekleýän erkek, gaýyk kürekleýän erkek: orta deri reňki, kürekli gaýyk, orta deri reňki
🚣🏾‍♂	erkek, gaýyk, gaýyk kürekleýän erkek, gaýyk kürekleýän erkek: orta goýy deri reňki, kürekli gaýyk, orta goýy deri reňki
🚣🏿‍♂	erkek, gaýyk, gaýyk kürekleýän erkek, gaýyk kürekleýän erkek: goýy deri reňki, goýy deri reňki, kürekli gaýyk
🚣‍♀	gaýyk, gaýyk kürekleýän zenan, kürekli gaýyk, zenan
🚣🏻‍♀	açyk deri reňki, gaýyk, gaýyk kürekleýän zenan, gaýyk kürekleýän zenan: açyk deri reňki, kürekli gaýyk, zenan
🚣🏼‍♀	gaýyk, gaýyk kürekleýän zenan, gaýyk kürekleýän zenan: orta açyk deri reňki, kürekli gaýyk, orta açyk deri reňki, zenan
🚣🏽‍♀	gaýyk, gaýyk kürekleýän zenan, gaýyk kürekleýän zenan: orta deri reňki, kürekli gaýyk, orta deri reňki, zenan
🚣🏾‍♀	gaýyk, gaýyk kürekleýän zenan, gaýyk kürekleýän zenan: orta goýy deri reňki, kürekli gaýyk, orta goýy deri reňki, zenan
🚣🏿‍♀	gaýyk, gaýyk kürekleýän zenan, gaýyk kürekleýän zenan: goýy deri reňki, goýy deri reňki, kürekli gaýyk, zenan
🏊️	ýüzmek, ýüzüp ýören adam
🏊🏻	açyk deri reňki, ýüzmek, ýüzüp ýören adam, ýüzüp ýören adam: açyk deri reňki
🏊🏼	orta açyk deri reňki, ýüzmek, ýüzüp ýören adam, ýüzüp ýören adam: orta açyk deri reňki
🏊🏽	orta deri reňki, ýüzmek, ýüzüp ýören adam, ýüzüp ýören adam: orta deri reňki
🏊🏾	orta goýy deri reňki, ýüzmek, ýüzüp ýören adam, ýüzüp ýören adam: orta goýy deri reňki
🏊🏿	goýy deri reňki, ýüzmek, ýüzüp ýören adam, ýüzüp ýören adam: goýy deri reňki
🏊‍♂	erkek, ýüzmek, ýüzüp ýören erkek
🏊🏻‍♂	açyk deri reňki, erkek, ýüzmek, ýüzüp ýören erkek, ýüzüp ýören erkek: açyk deri reňki
🏊🏼‍♂	erkek, orta açyk deri reňki, ýüzmek, ýüzüp ýören erkek, ýüzüp ýören erkek: orta açyk deri reňki
🏊🏽‍♂	erkek, orta deri reňki, ýüzmek, ýüzüp ýören erkek, ýüzüp ýören erkek: orta deri reňki
🏊🏾‍♂	erkek, orta goýy deri reňki, ýüzmek, ýüzüp ýören erkek, ýüzüp ýören erkek: orta goýy deri reňki
🏊🏿‍♂	erkek, goýy deri reňki, ýüzmek, ýüzüp ýören erkek, ýüzüp ýören erkek: goýy deri reňki
🏊‍♀	zenan, ýüzmek, ýüzüp ýören zenan
🏊🏻‍♀	açyk deri reňki, zenan, ýüzmek, ýüzüp ýören zenan, ýüzüp ýören zenan: açyk deri reňki
🏊🏼‍♀	orta açyk deri reňki, zenan, ýüzmek, ýüzüp ýören zenan, ýüzüp ýören zenan: orta açyk deri reňki
🏊🏽‍♀	orta deri reňki, zenan, ýüzmek, ýüzüp ýören zenan, ýüzüp ýören zenan: orta deri reňki
🏊🏾‍♀	orta goýy deri reňki, zenan, ýüzmek, ýüzüp ýören zenan, ýüzüp ýören zenan: orta goýy deri reňki
🏊🏿‍♀	goýy deri reňki, zenan, ýüzmek, ýüzüp ýören zenan, ýüzüp ýören zenan: goýy deri reňki
⛹️	top, topy bökdürýän adam
⛹🏻	açyk deri reňki, top, topy bökdürýän adam, topy bökdürýän adam: açyk deri reňki
⛹🏼	orta açyk deri reňki, top, topy bökdürýän adam, topy bökdürýän adam: orta açyk deri reňki
⛹🏽	orta deri reňki, top, topy bökdürýän adam, topy bökdürýän adam: orta deri reňki
⛹🏾	orta goýy deri reňki, top, topy bökdürýän adam, topy bökdürýän adam: orta goýy deri reňki
⛹🏿	goýy deri reňki, top, topy bökdürýän adam, topy bökdürýän adam: goýy deri reňki
⛹‍♂	erkek, top, topy bökdürýän erkek
⛹🏻‍♂	açyk deri reňki, erkek, top, topy bökdürýän erkek, topy bökdürýän erkek: açyk deri reňki
⛹🏼‍♂	erkek, orta açyk deri reňki, top, topy bökdürýän erkek, topy bökdürýän erkek: orta açyk deri reňki
⛹🏽‍♂	erkek, orta deri reňki, top, topy bökdürýän erkek, topy bökdürýän erkek: orta deri reňki
⛹🏾‍♂	erkek, orta goýy deri reňki, top, topy bökdürýän erkek, topy bökdürýän erkek: orta goýy deri reňki
⛹🏿‍♂	erkek, goýy deri reňki, top, topy bökdürýän erkek, topy bökdürýän erkek: goýy deri reňki
⛹‍♀	top, topy bökdürýän zenan, zenan
⛹🏻‍♀	açyk deri reňki, top, topy bökdürýän zenan, topy bökdürýän zenan: açyk deri reňki, zenan
⛹🏼‍♀	orta açyk deri reňki, top, topy bökdürýän zenan, topy bökdürýän zenan: orta açyk deri reňki, zenan
⛹🏽‍♀	orta deri reňki, top, topy bökdürýän zenan, topy bökdürýän zenan: orta deri reňki, zenan
⛹🏾‍♀	orta goýy deri reňki, top, topy bökdürýän zenan, topy bökdürýän zenan: orta goýy deri reňki, zenan
⛹🏿‍♀	goýy deri reňki, top, topy bökdürýän zenan, topy bökdürýän zenan: goýy deri reňki, zenan
🏋️	agyrlyk, agyrlyk göterýän adam, göteriji, ştangaçy
🏋🏻	agyrlyk, agyrlyk göterýän adam, agyrlyk göterýän adam: açyk deri reňki, açyk deri reňki, göteriji, ştangaçy
🏋🏼	agyrlyk, agyrlyk göterýän adam, agyrlyk göterýän adam: orta açyk deri reňki, göteriji, orta açyk deri reňki, ştangaçy
🏋🏽	agyrlyk, agyrlyk göterýän adam, agyrlyk göterýän adam: orta deri reňki, göteriji, orta deri reňki, ştangaçy
🏋🏾	agyrlyk, agyrlyk göterýän adam, agyrlyk göterýän adam: orta goýy deri reňki, göteriji, orta goýy deri reňki, ştangaçy
🏋🏿	agyrlyk, agyrlyk göterýän adam, agyrlyk göterýän adam: goýy deri reňki, goýy deri reňki, göteriji, ştangaçy
🏋‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, erkek
🏋🏻‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, agyrlyk göterýän erkek: açyk deri reňki, açyk deri reňki, erkek
🏋🏼‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, agyrlyk göterýän erkek: orta açyk deri reňki, erkek, orta açyk deri reňki
🏋🏽‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, agyrlyk göterýän erkek: orta deri reňki, erkek, orta deri reňki
🏋🏾‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, agyrlyk göterýän erkek: orta goýy deri reňki, erkek, orta goýy deri reňki
🏋🏿‍♂	agyrlyk göteriji, agyrlyk göterýän erkek, agyrlyk göterýän erkek: goýy deri reňki, erkek, goýy deri reňki
🏋‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, zenan
🏋🏻‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, agyrlyk göterýän zenan: açyk deri reňki, açyk deri reňki, zenan
🏋🏼‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, agyrlyk göterýän zenan: orta açyk deri reňki, orta açyk deri reňki, zenan
🏋🏽‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, agyrlyk göterýän zenan: orta deri reňki, orta deri reňki, zenan
🏋🏾‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, agyrlyk göterýän zenan: orta goýy deri reňki, orta goýy deri reňki, zenan
🏋🏿‍♀	agyrlyk göteriji, agyrlyk göterýän zenan, agyrlyk göterýän zenan: goýy deri reňki, goýy deri reňki, zenan
🚴	tigir, tigir sürmek, tigir sürýän adam, welosipedist
🚴🏻	açyk deri reňki, tigir, tigir sürmek, tigir sürýän adam, tigir sürýän adam: açyk deri reňki, welosipedist
🚴🏼	orta açyk deri reňki, tigir, tigir sürmek, tigir sürýän adam, tigir sürýän adam: orta açyk deri reňki, welosipedist
🚴🏽	orta deri reňki, tigir, tigir sürmek, tigir sürýän adam, tigir sürýän adam: orta deri reňki, welosipedist
🚴🏾	orta goýy deri reňki, tigir, tigir sürmek, tigir sürýän adam, tigir sürýän adam: orta goýy deri reňki, welosipedist
🚴🏿	goýy deri reňki, tigir, tigir sürmek, tigir sürýän adam, tigir sürýän adam: goýy deri reňki, welosipedist
🚴‍♂	erkek, tigir, tigir sürmek, tigir sürýän erkek, welosipedist
🚴🏻‍♂	açyk deri reňki, erkek, tigir, tigir sürmek, tigir sürýän erkek, tigir sürýän erkek: açyk deri reňki, welosipedist
🚴🏼‍♂	erkek, orta açyk deri reňki, tigir, tigir sürmek, tigir sürýän erkek, tigir sürýän erkek: orta açyk deri reňki, welosipedist
🚴🏽‍♂	erkek, orta deri reňki, tigir, tigir sürmek, tigir sürýän erkek, tigir sürýän erkek: orta deri reňki, welosipedist
🚴🏾‍♂	erkek, orta goýy deri reňki, tigir, tigir sürmek, tigir sürýän erkek, tigir sürýän erkek: orta goýy deri reňki, welosipedist
🚴🏿‍♂	erkek, goýy deri reňki, tigir, tigir sürmek, tigir sürýän erkek, tigir sürýän erkek: goýy deri reňki, welosipedist
🚴‍♀	tigir, tigir sürmek, tigir sürýän zenan, welosipedist, zenan
🚴🏻‍♀	açyk deri reňki, tigir, tigir sürmek, tigir sürýän zenan, tigir sürýän zenan: açyk deri reňki, welosipedist, zenan
🚴🏼‍♀	orta açyk deri reňki, tigir, tigir sürmek, tigir sürýän zenan, tigir sürýän zenan: orta açyk deri reňki, welosipedist, zenan
🚴🏽‍♀	orta deri reňki, tigir, tigir sürmek, tigir sürýän zenan, tigir sürýän zenan: orta deri reňki, welosipedist, zenan
🚴🏾‍♀	orta goýy deri reňki, tigir, tigir sürmek, tigir sürýän zenan, tigir sürýän zenan: orta goýy deri reňki, welosipedist, zenan
🚴🏿‍♀	goýy deri reňki, tigir, tigir sürmek, tigir sürýän zenan, tigir sürýän zenan: goýy deri reňki, welosipedist, zenan
🚵	dag, dagda tigir sürýän adam, tigir, tigir sürüji, welosiped, welosipedist
🚵🏻	açyk deri reňki, dag, dagda tigir sürýän adam, dagda tigir sürýän adam: açyk deri reňki, tigir, tigir sürüji, welosiped, welosipedist
🚵🏼	dag, dagda tigir sürýän adam, dagda tigir sürýän adam: orta açyk deri reňki, orta açyk deri reňki, tigir, tigir sürüji, welosiped, welosipedist
🚵🏽	dag, dagda tigir sürýän adam, dagda tigir sürýän adam: orta deri reňki, orta deri reňki, tigir, tigir sürüji, welosiped, welosipedist
🚵🏾	dag, dagda tigir sürýän adam, dagda tigir sürýän adam: orta goýy deri reňki, orta goýy deri reňki, tigir, tigir sürüji, welosiped, welosipedist
🚵🏿	dag, dagda tigir sürýän adam, dagda tigir sürýän adam: goýy deri reňki, goýy deri reňki, tigir, tigir sürüji, welosiped, welosipedist
🚵‍♂	dag, dagda tigir sürýän erkek, erkek, tigir, welosiped, welosipedist
🚵🏻‍♂	açyk deri reňki, dag, dagda tigir sürýän erkek, dagda tigir sürýän erkek: açyk deri reňki, erkek, tigir, welosiped, welosipedist
🚵🏼‍♂	dag, dagda tigir sürýän erkek, dagda tigir sürýän erkek: orta açyk deri reňki, erkek, orta açyk deri reňki, tigir, welosiped, welosipedist
🚵🏽‍♂	dag, dagda tigir sürýän erkek, dagda tigir sürýän erkek: orta deri reňki, erkek, orta deri reňki, tigir, welosiped, welosipedist
🚵🏾‍♂	dag, dagda tigir sürýän erkek, dagda tigir sürýän erkek: orta goýy deri reňki, erkek, orta goýy deri reňki, tigir, welosiped, welosipedist
🚵🏿‍♂	dag, dagda tigir sürýän erkek, dagda tigir sürýän erkek: goýy deri reňki, erkek, goýy deri reňki, tigir, welosiped, welosipedist
🚵‍♀	dag, dagda tigir sürýän zenan, tigir, tigir sürmek, welosiped, welosipedist, zenan
🚵🏻‍♀	açyk deri reňki, dag, dagda tigir sürýän zenan, dagda tigir sürýän zenan: açyk deri reňki, tigir, tigir sürmek, welosiped, welosipedist, zenan
🚵🏼‍♀	dag, dagda tigir sürýän zenan, dagda tigir sürýän zenan: orta açyk deri reňki, orta açyk deri reňki, tigir, tigir sürmek, welosiped, welosipedist, zenan
🚵🏽‍♀	dag, dagda tigir sürýän zenan, dagda tigir sürýän zenan: orta deri reňki, orta deri reňki, tigir, tigir sürmek, welosiped, welosipedist, zenan
🚵🏾‍♀	dag, dagda tigir sürýän zenan, dagda tigir sürýän zenan: orta goýy deri reňki, orta goýy deri reňki, tigir, tigir sürmek, welosiped, welosipedist, zenan
🚵🏿‍♀	dag, dagda tigir sürýän zenan, dagda tigir sürýän zenan: goýy deri reňki, goýy deri reňki, tigir, tigir sürmek, welosiped, welosipedist, zenan
🤸	aşyr atmak, gimnastika, ýanyn aşyr atýan adam
🤸🏻	açyk deri reňki, aşyr atmak, gimnastika, ýanyn aşyr atýan adam, ýanyn aşyr atýan adam: açyk deri reňki
🤸🏼	aşyr atmak, gimnastika, orta açyk deri reňki, ýanyn aşyr atýan adam, ýanyn aşyr atýan adam: orta açyk deri reňki
