😀	cara, cara sorridente, sorriso
🎚️	controlo de nível, música, nível, seletor
🎛️	botões, botões de controlo, comando, música
🎤	karaoke, microfone
🎧️	auscultador, intra-auricular
📻️	música
🎷	instrumento, música, saxofone
🎸	guitarra elétrica, instrumento, música
🎹	instrumento, música, piano, teclado, teclado musical
🎺	instrumento, música
🎻	instrumento, música
🪕	banjo
🥁	baquetas, música, tambor
📱	telefone, telemóvel
📲	chamada, receber, seta, telefone, telemóvel, telemóvel com seta
☎️	telefone, telefone fixo
📞	auscultador, auscultador de telefone, telefone
🔋	bateria
🔌	eletricidade, elétrica, ficha, ficha elétrica
💻️	computador, computador portátil, pc, pessoal, portátil
🖥️	computador, computador de secretária, secretária
🖨️	computador, impressora
⌨️	computador, teclado
🖱️	computador, rato, rato de computador
🖲️	computador, informática, trackball
💽	computador, disco, minidisco, ótico
💾	computador, disquete, floppy
💿️	cd, computador, disco, disco ótico, óptico, ótico
📀	blu-ray, computador, disco, dvd, óptico, ótico
🎥	cinema, câmara, câmara de filmar, filme
🎞️	cinema, filme, fotogramas
📽️	cinema, filme, projetor, projetor de cinema, vídeo
🎬️	cinema, claquete, filme
📺️	televisor, televisão, tv, vídeo
📷️	foto, fotografia, máquina fotográfica
📸	câmara, flash, máquina fotográfica com flash, vídeo
📹️	câmara, câmara de vídeo, vídeo
📼	cassete, vhs, vídeo
🔍	ferramenta, lupa, lupa inclinada para a esquerda, pesquisar
🔎	ferramenta, lupa, lupa inclinada para a direita, pesquisar
💡	desenho, eletricidade, ideia, luz, lâmpada
🔦	eletricidade, luz, utensílio
🏮	bar, japonês, lanterna, lanterna de papel vermelha, luz, vermelha
🪔	diya, lâmpada, lâmpada diya, óleo
📔	bloco de notas, bloco de notas com capa decorada, capa, decorada, livro
📙	cor de laranja, livro, livro cor de laranja
📒	bloco de notas, livro-razão
📃	dobra, documento, página, página com dobra
📜	papel
📄	documento, página, página virada para cima
📰	notícias, papel
🗞	enrolado, jornal, notícias, papel
📑	marcadores, marcadores de folhas, marcar
🔖	marcador de livros, marcar
💰️	dinheiro, dólar, saco
💴	banco, dinheiro, iene, moeda, nota
💵	banco, dinheiro, dólar, moeda, nota
💶	banco, dinheiro, euro, moeda, nota
💷	banco, dinheiro, libra, moeda, nota
💸	asas, banco, dinheiro, dinheiro com asas, dólar, nota, voar
💳️	banco, cartão, crédito, dinheiro
🧾	comprovativo, contabilidade, fatura, tesouraria
💹	ascendente, banco, crescimento, dinheiro, gráfico, gráfico a subir com iene, iene, mercado, moeda, subida, tendência
💲	dinheiro, dólar, moeda, símbolo de dólar
✉️	correio, email
📧	carta, correio, e-mail
📨	carta, chegada, correio, email, envelope, envelope a chegar, receber
📩	carta, correio, email, envelope, envelope com seta, enviado, para baixo, saída, seta
📤️	bandeja, bandeja de correio a enviar, carta, correio, enviado, enviar
📥️	bandeja, bandeja de correio recebido, carta, correio, receber, recebido
📦️	caixa, embalagem, encomenda
📫️	caixa de correio, caixa de correio fechada com bandeirola para cima, correio, fechada, para cima
📪️	caixa de correio, caixa de correio fechada com bandeirola para baixo, correio, fechada, para baixo
📬️	aberta, caixa de correio, caixa de correio aberta com bandeirola para cima, correio
📭️	aberta, caixa de correio aberta com bandeirola para baixo, caixa do correio, correio, para baixo
📮	caixa de correio, correio
🗳️	caixa, urna com voto, voto
✒️	aparo, aparo preto, caneta
🖋️	caneta, caneta de tinta permanente, tinta permanente
🖊️	esferográfica
🖍️	lápis de cera
📝	folha, lápis, nota
📁	arquivo, pasta, pasta de arquivo
📂	aberta, arquivo, pasta, pasta de arquivo aberta
🗂️	fichas, separadores, separadores de fichas
📅	data
📆	calendário, calendário destacável
🗒️	bloco, bloco de notas com espiral, espiral, notas
🗓️	bloco, calendário, calendário com espiral, espiral
📇	ficha, fichas, rolodex
📈	crescimento, gráfico, gráfico a subir, subida, tendência
📉	descida, gráfico, gráfico a descer, tendência
📊	barras, gráfico
📌	alfinete, pionés, tacha
📍	alfinete, alfinete de cabeça redonda, redondo
📎	clipe
🖇️	clipes, clipes ligados, ligação
📏	régua
📐	esquadro, triângulo
✂️	tesoura, utensílio
🗃️	arquivo, caixa, caixa de arquivo, fichas
🗄️	armário, arquivo, ficheiro
🗑️	caixote do lixo, cesto do lixo
🔓️	aberto, cadeado
🔏	aparo, cadeado, cadeado com caneta, caneta, privacidade, tinta
🔐	cadeado, chave, fechado, seguro
🔑	chave, fechadura, palavra-passe, proteção, senha
🗝️	antiga, fechadura, pista
🪓	cortar, cutelo, lenha, machado, rachar
⛏️	ferramenta, mineração
⚒️	ferramenta, martelo, picareta
🛠️	chave inglesa, ferramenta, martelo, martelo e chave inglesa
🗡️	arma, punhal
⚔️	arma, cruzadas, espadas
🔫	arma, pistola, revólver
🏹	arco, arma, arqueiro, sagitário, seta, zodíaco
⚙️	ferramenta, roda dentada
🗜️	ferramenta, grampo, torno
⚖️	balança, balança (objeto), instrumento, justiça, pesar, zodíaco
🦯	acessibilidade, bengala para invisuais, invisual
🔗	corrente, ligação
⛓️	corrente, correntes
🧰	caixa, ferramenta, mala de ferramentas, mecânico
🧲	atração, ferradura, magnético, íman
⚗️	balão de vidro, instrumento, química
🧬	adn, biólogo, evolução, gene, genética, vida
🔬	ciência, instrumento, microscópio
🔭	ciência, instrumento, telescópio
📡	antena, parabólica, satélite
💉	agulha, doente, instrumento, medicina, médico, seringa
💊	doente, medicina, médico
🩹	penso, penso rápido
🛏️	cama, dormir, hotel
🛋️	candeeiro, hotel, sofá, sofá e candeeiro
🚽	casa de banho, sanita
🚿	chuveiro, duche, água
🛁	banho
🪒	afiado, barbear, lâmina de barbear
🧴	champô, hidratante, loção, protetor solar
🧷	alfinete de dama, fralda, punk rock
🧺	agricultura, cesto de roupa, piquenique
🧻	papel de cozinha, papel higiênico, rolo de cozinha
🧼	banho, espuma, limpeza, saboneteira
🧯	apagar, extinguir, extintor, incêndio
🛒	carrinho, compras
⚰️	caixão, morte
⚱️	funeral, morte, urna
🗿	cara, estátua, ilha de páscoa, moai
🏧	banco, caixa, sinal de caixa automática, sinal de multibanco
🚮	cesto do lixo, lixo, sinal de lixo no caixote do lixo
♿️	acessibilidade, símbolo de cadeira de rodas
🚹️	casa de banho para homens, homem, quarto de banho, wc
🚺️	casa de banho para senhoras, quarto de banho, senhora, wc
🚻	casa de banho, quarto de banho, wc
🚼️	bebé, símbolo de fraldário, trocar fraldas
🚾	WC, casa de banho, wc
🛂	controlo, controlo de passaportes, passaporte
🛃	aduana
🛄	bagagem, recolha, recolha de bagagem
🛅	bagagem, cacifo, depósito de bagagem
⚠️	atenção, aviso
🚸	atravessar, crianças, crianças a atravessar, passagem de crianças, peões, trânsito
⛔️	entrada, não, proibida, proibida a entrada, transitar, trânsito
🚫	entrada, não, proibida, proibido
🚳	bicicleta, não, proibido, proibido andar de bicicleta, veículo
🚭️	não, não fumadores, não fumar, proibido
🚯	lixo, não, não colocar lixo, não deitar lixo para o chão, proibido
🚱	beber, não, potável, proibido, água
🚷	não, peões, proibido, proibido a peões
📵	não, proibido, proibido usar telemóveis, telefone, telemóvel
🔞	18, dezoito, menores, proibido a menores de dezoito anos, restrição
☢️	radioactividade, radioactivo, radioativo, sinal
☣️	biológico, perigo biológico, risco
⬆️	cardeal, direção, norte, seta
↗️	direção, intermédio, nordeste, seta, seta para cima e para a direita
➡️	cardinal, direção, este, seta
↘️	direção, intermédio, seta, seta para a direita e para baixo, sudeste
⬇️	cardeal, direção, para baixo, seta, sul
↙️	direção, intermédio, seta, seta para baixo e para a esquerda, sudoeste
⬅️	cardinal, direção, oeste, seta
↖️	direção, intermédio, noroeste, seta, seta para cima e para a esquerda
↕️	para baixo, para cima, seta
↔️	direita, esquerda, seta, seta para a esquerda e para a direita
↩️	curva, esquerda, seta, seta para a direita com curva para a esquerda
↪️	curva, direita, seta, seta para a esquerda com curva para a direita
⤴️	curva, para cima, seta, seta para a direita com curva para cima
⤵️	curva, para baixo, seta, seta para a direita com curva para baixo
🔃	recarregar, sentido dos ponteiros do relógio, seta, setas verticais no sentido dos ponteiros do relógio
🔄	sentido contrário ao dos ponteiros do relógio, seta, setas no sentido contrário ao dos ponteiros do relógio
🔙	para trás, seta, seta BACK
🔚	para o fim, seta, seta END
🔛	ligado, seta, seta ON!
🔜	brevemente, seta, seta SOON
🔝	parte superior, seta, seta TOP
⚛️	ateísta, símbolo do átomo
🕉️	hinduísmo, religião
✡️	david, estrela, estrela de David, judaísmo, judeu, religião
☯️	religião, taoismo, taoista, yang, yin
✝️	cristã, cruz, religião
☦️	cristã, cruz, ortodoxa, religião
☪️	Islão, estrela e lua crescente, muçulmano, religião
☮️	paz
🔯	estrela, estrela de seis pontas com ponto, sorte
♈️	Carneiro, carneiro, signo
♉️	Touro, signo
♊️	Gémeos, signo
♋️	Caranguejo, signo
♌️	Leão, signo
♍️	Virgem, signo
♎️	Balança, signo
♏️	Escorpião, signo
♐️	Sagitário, signo
♑️	Capricórnio, signo
♒️	Aquário, signo
♓️	Peixes, signo
⛎	Serpentário, zodíaco
🔀	botão de reprodução aleatória de faixas, cruzadas, setas
🔁	botão de repetição, repetir, sentido dos ponteiros do relógio, setas
🔂	botão de repetição única, repetir, sentido dos ponteiros do relógio, seta, uma vez
▶	botão de reprodução, direita, reproduzir, seta, triângulo
⏩	avançar, botão de avançar, dupla, seta
⏭	botão de faixa seguinte, cena seguinte, faixa seguinte, seta, triângulo
⏯	botão de reprodução ou pausa, direita, pausa, reprodução, seta, triângulo
◀	botão de inversão, esquerda, inverter, retroceder, seta, triângulo
⏪	botão de inversão rápida, dupla, rebobinar, retroceder, seta
⏮	botão de última faixa, cena anterior, faixa anterior, seta, triângulo
🔼	botão, botão para cima, seta, vermelho
⏫	botão rapidamente para cima, dupla, seta
🔽	botão, botão para baixo, para baixo, seta, vermelho
⏬	botão rapidamente para baixo, dupla, para baixo, seta
⏸️	barra, botão de pausa, dupla, pausa, vertical
⏹️	botão de paragem, parar, quadrado
⏺️	botão de gravação, círculo, gravar
⏏️	botão de ejeção, ejectar, ejecção, ejetar
🎦	cinema, câmara, filme
🔅	baixo, botão de escurecer, brilho, escurecer
🔆	botão de brilho, brilhante, brilho, luminosidade
📶	antena, barras, barras de antena, rede, sinal, telefone, telemóvel
📳	modo, modo de vibração, telefone, telemóvel, vibração
📴	desligado, telefone, telemóvel, telemóvel desligado
♀️	mulher, símbolo feminino
♂️	homem, símbolo masculino
⚕️	esculápio, medicina, pessoal, símbolo médico
♻️	reciclar
⚜	fleur-de-lis
🔱	emblema, navio, tridente, âncora
📛	dístico, nome
🔰	amarelo, insígnia, japonês, principiante, símbolo japonês para principiante, verde
⭕️	círculo, círculo vermelho oco, encarnado, grande, o, vermelho
✅	botão, botão de visto, visto, ✓
☑️	caixa, caixa com visto, visto
✔️	marca de verificação, visto, ✓
✖️	cancelar, multiplicar, multiplicação, sinal, sinal de multiplicação, x de multiplicação carregado, ×
❌	cancelar, cruz, multiplicar, multiplicação, x, ×
❎	botão com cruz, quadrado, x, ×
➕	+, adição, mais, matemática, sinal de adição
➖	matemática, menos, sinal de subtração, subtracção, subtração
➗	divisão, matemática, sinal de divisão, ÷
➰	caracol, laço, laço encaracolado
➿	caracol, duplo, laço, laço encaracolado duplo
〽️	entrada, marca de alternância parcial, música
✳️	*, asterisco, asterisco com oito raios
✴️	estrela, estrela com oito pontas
❇️	*, brilho, centelha
‼️	!, !!, exclamação, ponto de exclamação duplo, pontuação
⁉️	!, !?, ?, exclamação, interrogação, pergunta, pontos de exclamação e de interrogação, pontuação
❓️	?, interrogação, pergunta, ponto de interrogação, pontuação
❔	?, delineado, pergunta, pontuação, sinal, sinal de interrogação branco
❕	!, delineado, exclamação, pontuação, sinal, sinal de exclamação branco
❗️	!, exclamação, ponto de exclamação, pontuação, sinal
〰️	ondulado, pontuação, traço, traço ondulado
©️	c, direitos de autor
®️	marca registada, r
™️	marca, marca comercial, tm
🔠	introdução, introdução de maiúsculas latinas, latinas, letras, maiúsculas
🔡	abcd, introdução, introdução de minúsculas latinas, latinas, letras, minúsculas
🔢	1234, introdução, introdução de números, números
🔣	introdução, introdução de símbolos, símbolos
🔤	abc, abecedário, alfabeto, introdução, introdução de letras latinas, latinas, letras
🅰️	a, botão A (tipo de sangue), sangue
🆎	ab, botão AB (tipo de sangue), sangue
🅱️	b, blood, botão B (tipo de sangue)
🆒	botão COOL, cool, fixe
🆓	botão FREE, free, gratuito, livre
ℹ️	i, informações, posto de informação
🆔	botão ID, id, identidade, identificação
Ⓜ️	círculo, círculo com letra m, m
🆕	botão NEW, new, novo
🆖	botão NG, ng
🅾️	0, botão 0 (tipo de sangue), botão O (tipo de sangue), sangue
🆗	botão OK, ok
🅿️	botão P, estacionamento
🆘	ajuda, botão SOS, sos
🆙	botão, botão up!, força!
🆚	botão VS, v, versus, vs
🈁	botão "aqui" em japonês, japonês
🈂️	botão "taxa de serviço" em japonês, japonês, katakana
🈷	botão "valor mensal" em japonês, ideograma, japonês
🈶	botão "não gratuito" em japonês, ideograma, japonês
🈯	botão "reservado" em japonês, ideograma, japonês
🉐	botão "boa oportunidade" em japonês, ideograma, japonês
🈹	botão "desconto" em japonês, ideograma, japonês
🈚	botão "gratuito" em japonês, ideograma, japonês
🈲	botão "proibido" em japonês, ideograma, japonês
🉑	botão "aceitável" em japonês, ideograma, japonês
🈸	botão "aplicação" em japonês, ideograma, japonês
🈴	botão "nota positiva" em japonês, ideograma, japonês
🈳	botão "com vagas" em japonês, botão "vaga" em japonês, ideograma
㊗️	botão "parabéns" em japonês, ideograma, parabéns
㊙️	"segredo", botão "segredo" em japonês, ideograma, japonês
🈺	botão "em funcionamento" em japonês, ideograma, japonês
🈵	botão "sem vagas" em japonês, ideograma, japonês
🟠	círculo cor de laranja
🟡	círculo amarelo
🟢	círculo verde
🟣	círculo roxo
🟤	círculo castanho
⚫️	círculo, geométrico
⚪️	círculo, geométrico
🟥	quadrado vermelho
🟧	quadrado cor de laranja
🟨	quadrado amarelo
🟩	quadrado verde
🟦	quadrado azul
🟪	quadrado roxo
🟫	quadrado castanho
⬛️	geométrico, quadrado
⬜️	geométrico, quadrado
◼️	geométrico, quadrado
◻️	geométrico, quadrado
◾️	geométrico, quadrado, quadrado preto pequeno/médio
◽️	geométrico, quadrado, quadrado branco pequeno/médio
▪️	geométrico, quadrado
▫️	geométrico, quadrado
🔶	cor de laranja, geométrico, losango, losango cor de laranja grande
🔸	cor de laranja, geométrico, losango, losango cor de laranja pequeno
🔺	geométrico, para cima, triângulo, triângulo vermelho a apontar para cima, vermelho
🔻	geométrico, para baixo, triângulo, triângulo vermelho a apontar para baixo, vermelho
💠	desenho, geométrico, interior, losango, losango com um ponto
🔘	botão, geométrico, opção
🔳	botão, botão quadrado branco, delineado, geométrico, quadrado
🔲	botão, botão quadrado preto, geométrico, quadrado
🏁	axadrezado, bandeira axadrezada, corrida
🚩	bandeira triangular, golfe
🎌	bandeiras do Japão cruzadas, celebração, cruz, cruzado, japonês
🏴	abanar, bandeira preta a abanar
🏳️	abanar, bandeira branca a abanar
🏳‍🌈	arco-íris, bandeira, bandeira arco-íris
🏴‍☠	bandeira pirata, perna-de-pau, pirata, tesouro
🇦🇲	bandeira: Arménia
🇦🇽	bandeira: Alanda
🇧🇩	bandeira: Bangladeche
🇧🇭	bandeira: Barém
🇧🇯	bandeira: Benim
🇧🇸	bandeira: Baamas
🇨🇨	bandeira: Ilhas dos Cocos (Keeling)
🇨🇩	bandeira: Congo-Kinshasa
🇨🇬	bandeira: Congo-Brazzaville
🇨🇮	bandeira: Côte d’Ivoire (Costa do Marfim)
🇨🇼	bandeira: Curaçau
🇨🇽	bandeira: Ilha do Natal
🇨🇿	bandeira: Chéquia
🇩🇯	bandeira: Jibuti
🇩🇲	bandeira: Domínica
🇪🇦	bandeira: Ceuta e Melilha
🇪🇪	bandeira: Estónia
🇪🇭	bandeira: Sara Ocidental
🇫🇰	bandeira: Ilhas Malvinas (Falkland)
🇫🇴	bandeira: Ilhas Faroé
🇬🇬	bandeira: Guernesey
🇬🇱	bandeira: Gronelândia
🇬🇺	bandeira: Guame
🇮🇷	bandeira: Irão
🇰🇪	bandeira: Quénia
🇰🇮	bandeira: Quiribáti
