😀	kenua, sura inayokenua, uso
🚣🏼‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, mwanamke anayeendesha ngalawa: ngozi nyeupe kiasi, ngalawa, ngozi nyeupe kiasi
🚣🏽‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, mwanamke anayeendesha ngalawa: ngozi ya kahawia, ngalawa, ngozi ya kahawia
🚣🏾‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, mwanamke anayeendesha ngalawa: ngozi nyeusi kiasi, ngalawa, ngozi nyeusi kiasi
🚣🏿‍♀	boti, mtumbwi, mwanamke anayeendesha ngalawa, mwanamke anayeendesha ngalawa: ngozi nyeusi, ngalawa, ngozi nyeusi
🏊️	kuogelea, mwogeleaji
🏊🏻	kuogelea, mwogeleaji, mwogeleaji: ngozi nyeupe, ngozi nyeupe
🏊🏼	kuogelea, mwogeleaji, mwogeleaji: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🏊🏽	kuogelea, mwogeleaji, mwogeleaji: ngozi ya kahawia, ngozi ya kahawia
🏊🏾	kuogelea, mwogeleaji, mwogeleaji: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🏊🏿	kuogelea, mwogeleaji, mwogeleaji: ngozi nyeusi, ngozi nyeusi
🏊‍♂	kuogelea, mwanaume anayeogelea, mwogeleaji
🏊🏻‍♂	kuogelea, mwanaume anayeogelea, mwanaume anayeogelea: ngozi nyeupe, mwogeleaji, ngozi nyeupe
🏊🏼‍♂	kuogelea, mwanaume anayeogelea, mwanaume anayeogelea: ngozi nyeupe kiasi, mwogeleaji, ngozi nyeupe kiasi
🏊🏽‍♂	kuogelea, mwanaume anayeogelea, mwanaume anayeogelea: ngozi ya kahawia, mwogeleaji, ngozi ya kahawia
🏊🏾‍♂	kuogelea, mwanaume anayeogelea, mwanaume anayeogelea: ngozi nyeusi kiasi, mwogeleaji, ngozi nyeusi kiasi
🏊🏿‍♂	kuogelea, mwanaume anayeogelea, mwanaume anayeogelea: ngozi nyeusi, mwogeleaji, ngozi nyeusi
🏊‍♀	kuogelea, mwanamke anayeogelea, mwogeleaji
🏊🏻‍♀	kuogelea, mwanamke anayeogelea, mwanamke anayeogelea: ngozi nyeupe, mwogeleaji, ngozi nyeupe
🏊🏼‍♀	kuogelea, mwanamke anayeogelea, mwanamke anayeogelea: ngozi nyeupe kiasi, mwogeleaji, ngozi nyeupe kiasi
🏊🏽‍♀	kuogelea, mwanamke anayeogelea, mwanamke anayeogelea: ngozi ya kahawia, mwogeleaji, ngozi ya kahawia
🏊🏾‍♀	kuogelea, mwanamke anayeogelea, mwanamke anayeogelea: ngozi nyeusi kiasi, mwogeleaji, ngozi nyeusi kiasi
🏊🏿‍♀	kuogelea, mwanamke anayeogelea, mwanamke anayeogelea: ngozi nyeusi, mwogeleaji, ngozi nyeusi
⛹️	mpira, mtu na mpira
⛹🏻	mpira, mtu na mpira, mtu na mpira: ngozi nyeupe, ngozi nyeupe
⛹🏼	mpira, mtu na mpira, mtu na mpira: ngozi nyeupe kiasi, ngozi nyeupe kiasi
⛹🏽	mpira, mtu na mpira, mtu na mpira: ngozi ya kahawia, ngozi ya kahawia
⛹🏾	mpira, mtu na mpira, mtu na mpira: ngozi nyeusi kiasi, ngozi nyeusi kiasi
⛹🏿	mpira, mtu na mpira, mtu na mpira: ngozi nyeusi, ngozi nyeusi
⛹‍♂	kandanda, mpira, mwanaume aliye na mpira
⛹🏻‍♂	kandanda, mpira, mwanaume aliye na mpira, mwanaume aliye na mpira: ngozi nyeupe, ngozi nyeupe
⛹🏼‍♂	kandanda, mpira, mwanaume aliye na mpira, mwanaume aliye na mpira: ngozi nyeupe kiasi, ngozi nyeupe kiasi
⛹🏽‍♂	kandanda, mpira, mwanaume aliye na mpira, mwanaume aliye na mpira: ngozi ya kahawia, ngozi ya kahawia
⛹🏾‍♂	kandanda, mpira, mwanaume aliye na mpira, mwanaume aliye na mpira: ngozi nyeusi kiasi, ngozi nyeusi kiasi
⛹🏿‍♂	kandanda, mpira, mwanaume aliye na mpira, mwanaume aliye na mpira: ngozi nyeusi, ngozi nyeusi
⛹‍♀	kandanda, mpira, mwanamke aliye na mpira
⛹🏻‍♀	kandanda, mpira, mwanamke aliye na mpira, mwanamke aliye na mpira: ngozi nyeupe, ngozi nyeupe
⛹🏼‍♀	kandanda, mpira, mwanamke aliye na mpira, mwanamke aliye na mpira: ngozi nyeupe kiasi, ngozi nyeupe kiasi
⛹🏽‍♀	kandanda, mpira, mwanamke aliye na mpira, mwanamke aliye na mpira: ngozi ya kahawia, ngozi ya kahawia
⛹🏾‍♀	kandanda, mpira, mwanamke aliye na mpira, mwanamke aliye na mpira: ngozi nyeusi kiasi, ngozi nyeusi kiasi
⛹🏿‍♀	kandanda, mpira, mwanamke aliye na mpira, mwanamke aliye na mpira: ngozi nyeusi, ngozi nyeusi
🏋️	mbeba vyuma, mbeba vyuma vizito, uzito
🏋🏻	mbeba vyuma, mbeba vyuma vizito, mbeba vyuma vizito: ngozi nyeupe, ngozi nyeupe, uzito
🏋🏼	mbeba vyuma, mbeba vyuma vizito, mbeba vyuma vizito: ngozi nyeupe kiasi, ngozi nyeupe kiasi, uzito
🏋🏽	mbeba vyuma, mbeba vyuma vizito, mbeba vyuma vizito: ngozi ya kahawia, ngozi ya kahawia, uzito
🏋🏾	mbeba vyuma, mbeba vyuma vizito, mbeba vyuma vizito: ngozi nyeusi kiasi, ngozi nyeusi kiasi, uzito
🏋🏿	mbeba vyuma, mbeba vyuma vizito, mbeba vyuma vizito: ngozi nyeusi, ngozi nyeusi, uzito
🏋‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, uzani, uzoto
🏋🏻‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, mwanamume anayebeba vyuma vizito: ngozi nyeupe, ngozi nyeupe, uzani, uzoto
🏋🏼‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, mwanamume anayebeba vyuma vizito: ngozi nyeupe kiasi, ngozi nyeupe kiasi, uzani, uzoto
🏋🏽‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, mwanamume anayebeba vyuma vizito: ngozi ya kahawia, ngozi ya kahawia, uzani, uzoto
🏋🏾‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, mwanamume anayebeba vyuma vizito: ngozi nyeusi kiasi, ngozi nyeusi kiasi, uzani, uzoto
🏋🏿‍♂	mbeba vyuma, mwanamume anayebeba vyuma vizito, mwanamume anayebeba vyuma vizito: ngozi nyeusi, ngozi nyeusi, uzani, uzoto
🏋‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, uzani, uzoto
🏋🏻‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, mwanamke anayebeba vyuma vizito: ngozi nyeupe, ngozi nyeupe, uzani, uzoto
🏋🏼‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, mwanamke anayebeba vyuma vizito: ngozi nyeupe kiasi, ngozi nyeupe kiasi, uzani, uzoto
🏋🏽‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, mwanamke anayebeba vyuma vizito: ngozi ya kahawia, ngozi ya kahawia, uzani, uzoto
🏋🏾‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, mwanamke anayebeba vyuma vizito: ngozi nyeusi kiasi, ngozi nyeusi kiasi, uzani, uzoto
🏋🏿‍♀	mbeba vyuma, mwanamke anayebeba vyuma vizito, mwanamke anayebeba vyuma vizito: ngozi nyeusi, ngozi nyeusi, uzani, uzoto
🚴	baisikeli, mwendesha baisikeli
🚴🏻	baisikeli, mwendesha baisikeli, mwendesha baisikeli: ngozi nyeupe, ngozi nyeupe
🚴🏼	baisikeli, mwendesha baisikeli, mwendesha baisikeli: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🚴🏽	baisikeli, mwendesha baisikeli, mwendesha baisikeli: ngozi ya kahawia, ngozi ya kahawia
🚴🏾	baisikeli, mwendesha baisikeli, mwendesha baisikeli: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🚴🏿	baisikeli, mwendesha baisikeli, mwendesha baisikeli: ngozi nyeusi, ngozi nyeusi
🚴‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwendesha baiskeli
🚴🏻‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwanaume anayeendesha baisikeli: ngozi nyeupe, mwendesha baiskeli, ngozi nyeupe
🚴🏼‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwanaume anayeendesha baisikeli: ngozi nyeupe kiasi, mwendesha baiskeli, ngozi nyeupe kiasi
🚴🏽‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwanaume anayeendesha baisikeli: ngozi ya kahawia, mwendesha baiskeli, ngozi ya kahawia
🚴🏾‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwanaume anayeendesha baisikeli: ngozi nyeusi kiasi, mwendesha baiskeli, ngozi nyeusi kiasi
🚴🏿‍♂	baiskeli, mwanaume anayeendesha baisikeli, mwanaume anayeendesha baisikeli: ngozi nyeusi, mwendesha baiskeli, ngozi nyeusi
🚴‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwendesha baiskeli
🚴🏻‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwanamke anayeendesha baisikeli: ngozi nyeupe, mwendesha baiskeli, ngozi nyeupe
🚴🏼‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwanamke anayeendesha baisikeli: ngozi nyeupe kiasi, mwendesha baiskeli, ngozi nyeupe kiasi
🚴🏽‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwanamke anayeendesha baisikeli: ngozi ya kahawia, mwendesha baiskeli, ngozi ya kahawia
🚴🏾‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwanamke anayeendesha baisikeli: ngozi nyeusi kiasi, mwendesha baiskeli, ngozi nyeusi kiasi
🚴🏿‍♀	baiskeli, mwanamke anayeendesha baisikeli, mwanamke anayeendesha baisikeli: ngozi nyeusi, mwendesha baiskeli, ngozi nyeusi
🚵	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mwendesha baisikeli
🚵🏻	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mtu anayeendesha baisikeli mlimani: ngozi nyeupe, mwendesha baisikeli, ngozi nyeupe
🚵🏼	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mtu anayeendesha baisikeli mlimani: ngozi nyeupe kiasi, mwendesha baisikeli, ngozi nyeupe kiasi
🚵🏽	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mtu anayeendesha baisikeli mlimani: ngozi ya kahawia, mwendesha baisikeli, ngozi ya kahawia
🚵🏾	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mtu anayeendesha baisikeli mlimani: ngozi nyeusi kiasi, mwendesha baisikeli, ngozi nyeusi kiasi
🚵🏿	baisikeli, mlima, mtu anayeendesha baisikeli mlimani, mtu anayeendesha baisikeli mlimani: ngozi nyeusi, mwendesha baisikeli, ngozi nyeusi
🚵‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwendesha baiskeli
🚵🏻‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwanamume anayeendesha baiskeli mlimani: ngozi nyeupe, mwendesha baiskeli, ngozi nyeupe
🚵🏼‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwanamume anayeendesha baiskeli mlimani: ngozi nyeupe kiasi, mwendesha baiskeli, ngozi nyeupe kiasi
🚵🏽‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwanamume anayeendesha baiskeli mlimani: ngozi ya kahawia, mwendesha baiskeli, ngozi ya kahawia
🚵🏾‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwanamume anayeendesha baiskeli mlimani: ngozi nyeusi kiasi, mwendesha baiskeli, ngozi nyeusi kiasi
🚵🏿‍♂	baiskeli, mlima, mwanamume anayeendesha baiskeli mlimani, mwanamume anayeendesha baiskeli mlimani: ngozi nyeusi, mwendesha baiskeli, ngozi nyeusi
🚵‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwendesha baiskeli
🚵🏻‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwanamke anayeendesha baiskeli mlimani: ngozi nyeupe, mwendesha baiskeli, ngozi nyeupe
🚵🏼‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwanamke anayeendesha baiskeli mlimani: ngozi nyeupe kiasi, mwendesha baiskeli, ngozi nyeupe kiasi
🚵🏽‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwanamke anayeendesha baiskeli mlimani: ngozi ya kahawia, mwendesha baiskeli, ngozi ya kahawia
🚵🏾‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwanamke anayeendesha baiskeli mlimani: ngozi nyeusi kiasi, mwendesha baiskeli, ngozi nyeusi kiasi
🚵🏿‍♀	baiskeli, mlima, mwanamke anayeendesha baiskeli mlimani, mwanamke anayeendesha baiskeli mlimani: ngozi nyeusi, mwendesha baiskeli, ngozi nyeusi
🤸	mwanasarakasi, sarakasi
🤸🏻	mwanasarakasi, ngozi nyeupe, sarakasi, sarakasi: ngozi nyeupe
🤸🏼	mwanasarakasi, ngozi nyeupe kiasi, sarakasi, sarakasi: ngozi nyeupe kiasi
🤸🏽	mwanasarakasi, ngozi ya kahawia, sarakasi, sarakasi: ngozi ya kahawia
🤸🏾	mwanasarakasi, ngozi nyeusi kiasi, sarakasi, sarakasi: ngozi nyeusi kiasi
🤸🏿	mwanasarakasi, ngozi nyeusi, sarakasi, sarakasi: ngozi nyeusi
🤸‍♂	mwanamume anayefanya sarakasi, mwanasarakasi, sarakasi
🤸🏻‍♂	mwanamume anayefanya sarakasi, mwanamume anayefanya sarakasi: ngozi nyeupe, mwanasarakasi, ngozi nyeupe, sarakasi
🤸🏼‍♂	mwanamume anayefanya sarakasi, mwanamume anayefanya sarakasi: ngozi nyeupe kiasi, mwanasarakasi, ngozi nyeupe kiasi, sarakasi
🤸🏽‍♂	mwanamume anayefanya sarakasi, mwanamume anayefanya sarakasi: ngozi ya kahawia, mwanasarakasi, ngozi ya kahawia, sarakasi
🤸🏾‍♂	mwanamume anayefanya sarakasi, mwanamume anayefanya sarakasi: ngozi nyeusi kiasi, mwanasarakasi, ngozi nyeusi kiasi, sarakasi
🤸🏿‍♂	mwanamume anayefanya sarakasi, mwanamume anayefanya sarakasi: ngozi nyeusi, mwanasarakasi, ngozi nyeusi, sarakasi
🤸‍♀	mwanamke anayefanya sarakasi, mwanasarakasi, sarakasi
🤸🏻‍♀	mwanamke anayefanya sarakasi, mwanamke anayefanya sarakasi: ngozi nyeupe, mwanasarakasi, ngozi nyeupe, sarakasi
🤸🏼‍♀	mwanamke anayefanya sarakasi, mwanamke anayefanya sarakasi: ngozi nyeupe kiasi, mwanasarakasi, ngozi nyeupe kiasi, sarakasi
🤸🏽‍♀	mwanamke anayefanya sarakasi, mwanamke anayefanya sarakasi: ngozi ya kahawia, mwanasarakasi, ngozi ya kahawia, sarakasi
🤸🏾‍♀	mwanamke anayefanya sarakasi, mwanamke anayefanya sarakasi: ngozi nyeusi kiasi, mwanasarakasi, ngozi nyeusi kiasi, sarakasi
🤸🏿‍♀	mwanamke anayefanya sarakasi, mwanamke anayefanya sarakasi: ngozi nyeusi, mwanasarakasi, ngozi nyeusi, sarakasi
🤼	bondia, ndondi, spoti, wanandondi
🤼‍♂	bondia, miereka, ndondi, wanaume wanaomenyana miereka
🤼‍♀	bondia, miereka, ndondi, wanawake wanaomenyana miereka
🤽	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, spoti
🤽🏻	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, michezo kwenye bwawa la kuogelea: ngozi nyeupe, ngozi nyeupe, spoti
🤽🏼	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, michezo kwenye bwawa la kuogelea: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤽🏽	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, michezo kwenye bwawa la kuogelea: ngozi ya kahawia, ngozi ya kahawia, spoti
🤽🏾	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, michezo kwenye bwawa la kuogelea: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤽🏿	bwawa la kuogelea, maji, michezo kwenye bwawa la kuogelea, michezo kwenye bwawa la kuogelea: ngozi nyeusi, ngozi nyeusi, spoti
🤽‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, spoti
🤽🏻‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, mwanamume anayecheza mpira wa mikono majini: ngozi nyeupe, ngozi nyeupe, spoti
🤽🏼‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, mwanamume anayecheza mpira wa mikono majini: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤽🏽‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, mwanamume anayecheza mpira wa mikono majini: ngozi ya kahawia, ngozi ya kahawia, spoti
🤽🏾‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, mwanamume anayecheza mpira wa mikono majini: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤽🏿‍♂	bwawa la kuogelea, mpira wa mikono, mwanamume anayecheza mpira wa mikono majini, mwanamume anayecheza mpira wa mikono majini: ngozi nyeusi, ngozi nyeusi, spoti
🤽‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, spoti
🤽🏻‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, mwanamke anayecheza mpira wa mikono majini: ngozi nyeupe, ngozi nyeupe, spoti
🤽🏼‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, mwanamke anayecheza mpira wa mikono majini: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤽🏽‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, mwanamke anayecheza mpira wa mikono majini: ngozi ya kahawia, ngozi ya kahawia, spoti
🤽🏾‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, mwanamke anayecheza mpira wa mikono majini: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤽🏿‍♀	bwawa la kuogelea, mpira wa mikono, mwanamke anayecheza mpira wa mikono majini, mwanamke anayecheza mpira wa mikono majini: ngozi nyeusi, ngozi nyeusi, spoti
🤾	mpira, mpira wa mikono, spoti
🤾🏻	mpira, mpira wa mikono, mpira wa mikono: ngozi nyeupe, ngozi nyeupe, spoti
🤾🏼	mpira, mpira wa mikono, mpira wa mikono: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤾🏽	mpira, mpira wa mikono, mpira wa mikono: ngozi ya kahawia, ngozi ya kahawia, spoti
🤾🏾	mpira, mpira wa mikono, mpira wa mikono: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤾🏿	mpira, mpira wa mikono, mpira wa mikono: ngozi nyeusi, ngozi nyeusi, spoti
🤾‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, spoti
🤾🏻‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, mwanamume anayecheza mpira wa mikono: ngozi nyeupe, ngozi nyeupe, spoti
🤾🏼‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, mwanamume anayecheza mpira wa mikono: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤾🏽‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, mwanamume anayecheza mpira wa mikono: ngozi ya kahawia, ngozi ya kahawia, spoti
🤾🏾‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, mwanamume anayecheza mpira wa mikono: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤾🏿‍♂	mpira, mpira wa mikono, mwanamume anayecheza mpira wa mikono, mwanamume anayecheza mpira wa mikono: ngozi nyeusi, ngozi nyeusi, spoti
🤾‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, spoti
🤾🏻‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, mwanamke anayecheza mpira wa mikono: ngozi nyeupe, ngozi nyeupe, spoti
🤾🏼‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, mwanamke anayecheza mpira wa mikono: ngozi nyeupe kiasi, ngozi nyeupe kiasi, spoti
🤾🏽‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, mwanamke anayecheza mpira wa mikono: ngozi ya kahawia, ngozi ya kahawia, spoti
🤾🏾‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, mwanamke anayecheza mpira wa mikono: ngozi nyeusi kiasi, ngozi nyeusi kiasi, spoti
🤾🏿‍♀	mpira, mpira wa mikono, mwanamke anayecheza mpira wa mikono, mwanamke anayecheza mpira wa mikono: ngozi nyeusi, ngozi nyeusi, spoti
🤹	shughuli nyingi
🤹🏻	ngozi nyeupe, shughuli nyingi, shughuli nyingi: ngozi nyeupe
🤹🏼	ngozi nyeupe kiasi, shughuli nyingi, shughuli nyingi: ngozi nyeupe kiasi
🤹🏽	ngozi ya kahawia, shughuli nyingi, shughuli nyingi: ngozi ya kahawia
🤹🏾	ngozi nyeusi kiasi, shughuli nyingi, shughuli nyingi: ngozi nyeusi kiasi
🤹🏿	ngozi nyeusi, shughuli nyingi, shughuli nyingi: ngozi nyeusi
🤹‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, shughuli nyingi
🤹🏻‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, mwanamume anayechezea mipira mingi mkononi: ngozi nyeupe, ngozi nyeupe, shughuli nyingi
🤹🏼‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, mwanamume anayechezea mipira mingi mkononi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, shughuli nyingi
🤹🏽‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, mwanamume anayechezea mipira mingi mkononi: ngozi ya kahawia, ngozi ya kahawia, shughuli nyingi
🤹🏾‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, mwanamume anayechezea mipira mingi mkononi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, shughuli nyingi
🤹🏿‍♂	kiinimacho, mwanamume anayechezea mipira mingi mkononi, mwanamume anayechezea mipira mingi mkononi: ngozi nyeusi, ngozi nyeusi, shughuli nyingi
🤹‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, shughuli nyingi
🤹🏻‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, mwanamke anayechezea mipira mingi mikononi: ngozi nyeupe, ngozi nyeupe, shughuli nyingi
🤹🏼‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, mwanamke anayechezea mipira mingi mikononi: ngozi nyeupe kiasi, ngozi nyeupe kiasi, shughuli nyingi
🤹🏽‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, mwanamke anayechezea mipira mingi mikononi: ngozi ya kahawia, ngozi ya kahawia, shughuli nyingi
🤹🏾‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, mwanamke anayechezea mipira mingi mikononi: ngozi nyeusi kiasi, ngozi nyeusi kiasi, shughuli nyingi
🤹🏿‍♀	kiinimacho, mwanamke anayechezea mipira mingi mikononi, mwanamke anayechezea mipira mingi mikononi: ngozi nyeusi, ngozi nyeusi, shughuli nyingi
🧘	mtu anayetaamali, tafakuri, yoga
🧘🏻	mtu anayetaamali, mtu anayetaamali: ngozi nyeupe, ngozi nyeupe, tafakuri, yoga
🧘🏼	mtu anayetaamali, mtu anayetaamali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, tafakuri, yoga
🧘🏽	mtu anayetaamali, mtu anayetaamali: ngozi ya kahawia, ngozi ya kahawia, tafakuri, yoga
🧘🏾	mtu anayetaamali, mtu anayetaamali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, tafakuri, yoga
🧘🏿	mtu anayetaamali, mtu anayetaamali: ngozi nyeusi, ngozi nyeusi, tafakuri, yoga
🧘‍♂	mwanamume anayetaamali, taamuli, yoga
🧘🏻‍♂	mwanamume anayetaamali, mwanamume anayetaamali: ngozi nyeupe, ngozi nyeupe, taamuli, yoga
🧘🏼‍♂	mwanamume anayetaamali, mwanamume anayetaamali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, taamuli, yoga
🧘🏽‍♂	mwanamume anayetaamali, mwanamume anayetaamali: ngozi ya kahawia, ngozi ya kahawia, taamuli, yoga
🧘🏾‍♂	mwanamume anayetaamali, mwanamume anayetaamali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, taamuli, yoga
🧘🏿‍♂	mwanamume anayetaamali, mwanamume anayetaamali: ngozi nyeusi, ngozi nyeusi, taamuli, yoga
🧘‍♀	mwanamke anayetaamali, taamuli, yoga
🧘🏻‍♀	mwanamke anayetaamali, mwanamke anayetaamali: ngozi nyeupe, ngozi nyeupe, taamuli, yoga
🧘🏼‍♀	mwanamke anayetaamali, mwanamke anayetaamali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, taamuli, yoga
🧘🏽‍♀	mwanamke anayetaamali, mwanamke anayetaamali: ngozi ya kahawia, ngozi ya kahawia, taamuli, yoga
🧘🏾‍♀	mwanamke anayetaamali, mwanamke anayetaamali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, taamuli, yoga
🧘🏿‍♀	mwanamke anayetaamali, mwanamke anayetaamali: ngozi nyeusi, ngozi nyeusi, taamuli, yoga
🛀	bafu, hodhi, mtu anayeoga
🛀🏻	bafu, hodhi, mtu anayeoga, mtu anayeoga: ngozi nyeupe, ngozi nyeupe
🛀🏼	bafu, hodhi, mtu anayeoga, mtu anayeoga: ngozi nyeupe kiasi, ngozi nyeupe kiasi
